 	mia	figlia	vuole	andare	</S>
i	0.680135583897	0.0384237751994	0.0112271910052	0.00987095323	0.260342456934
k	0.27189934848	0.60972198488	0.075299970252	0.010306606589	0.032772061376
i	0.3143013156	0.45210825	0.0876029246	0.0675176294	0.078469885092
a	0.0933821968	0.780923528	0.123435644406	0.00107546183	0.00118314392746
t	0.01851627646	0.47710385232	0.419616262	0.03374870005	0.0510149005683
è	0.2671377516	0.2222152418	0.20134928	0.24985888568	0.059438828828
r	0.18335194404	0.589012646	0.2140799166	0.00709866828	0.0064568288366
a	0.1881540402	0.497790668	0.2223115992	0.0562348032	0.035508911056
m	0.0433444382088	0.4848137996	0.443764928	0.01413022023	0.0139465932434
u	0.1245128818	0.41987019866	0.1881608968	0.2302182826	0.03723775198
i	0.0347807963366	0.3075439832	0.598403566	0.03742736608	0.02184427926
t	0.000969599721358	0.02157554526	0.810386856	0.1341051438	0.032962848706
è	0.0106393577542	0.08742161728	0.4091451886	0.3289268048	0.16386703592
l	0.008961097985	0.069427273184	0.541075632	0.334475226	0.0460607706
i	0.07598044681	0.23276453606	0.2052497896	0.404682568	0.0813226614
n	0.0150277777168	0.0717639934548	0.228029028	0.40515386	0.2800253446
a	0.017080455295	0.001972688248	0.1769978092	0.619792156	0.1841568874
p	0.00736990032447	0.0422200367584	0.1874640548	0.470239082	0.292706921
à	0.010202373088	0.001652996406	0.106928476764	0.694368502	0.18684765768
i	0.0004290599277	0.00121339809	0.07131287996	0.73919271	0.1878519386
</S>	0.00393942378745	0.00137892038994	0.0317237068	0.39915558516	0.563802348
