 	l	ho	sentito	che	veniva	</S>
o	0.611699536548	0.0148165051209	0.0072808782334	0.0013182789274	0.013784229046	0.351100582265
n	0.326587432289	0.25891403874	0.394448979837	0.01253071594	0.0040167435008	0.00350209683333
ì	0.176447235805	0.17913622224	0.23381839824	0.20717876042	0.162523925093	0.0408954709896
k	0.01077849724	0.46680194966	0.4811702572	0.03286286216	0.00766305711897	0.00072336363058
u	0.18830284662	0.2434506646	0.20192794824	0.1704726144	0.095270539708	0.100575420807
s	0.152849203634	0.65672946	0.08549874446	0.0738768806	0.0238681487831	0.00717755240819
a	0.027205627824	0.167224891	0.2224369364	0.53785879	0.0388896267787	0.006384124314
k	0.0041497781807	0.18866744228	0.244738923316	0.50414487	0.045463939086	0.012835022046
a	0.005112370448	0.0580077386	0.2252394124	0.326500649	0.304150782	0.08098906332
è	0.00743595497166	0.0467092636	0.045685836516	0.43620351	0.395312791	0.068652666
r	0.00053640162816	0.0572504760912	0.071649096066	0.22048503218	0.582862057	0.0672169134
k	0.018082242634	0.0276742398	0.1002186156	0.3014063009	0.33089274494	0.22172584478
a	0.026276473472	0.016370742708	0.2735878316	0.25421029	0.234362939938	0.195191697939
t	0.0227025503606	0.0246309482205	0.0119267839648	0.06161386096	0.516173802	0.362952046
o	0.104286381591	0.0455548389384	0.0475552064844	0.187086045	0.4939454186	0.1215721302
</S>	0.000999146074943	0.00779505903801	0.00563266874701	0.060560999952	0.244463162	0.680548986
