 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a	0.522279289252	0.012925896504	0.008498350458	0.02012378212	0.038133671072	0.0546328907383	0.027451511122	0.0028213704188	0.0166170091835	0.021619258454	0.0481115174126	0.0158831546897	0.0634867847776	0.1474155116
n	0.511277092101	0.26435511	0.02746581794	0.1804760541	0.010182858886	2.373300352e-05	0.0004038054652	0.001329499833	0.000988108818838	0.000199090498408	0.000776361611616	0.00154215520699	0.000400869085479	0.000579428714592
è	0.188724186794	0.266699753648	0.32098169839	0.078878286828	0.011284448394	0.0138808200436	0.0117276208337	0.00890361669634	0.0115470778392	0.0019471830027	0.0019459103329	0.0057713985982	0.000361370559026	0.0773466312553
r	0.115954082657	0.602203080388	0.2401945262	0.04036499826	0.00035522101116	0.00022510486212	5.267446468e-05	0.000380736071901	1.79485197157e-05	1.28925667968e-05	6.36037904e-06	2.53172349327e-05	2.12294145406e-05	0.000185817294558
t	0.035638714874	0.26989766818	0.444019154	0.0959444739	0.015302818678	0.0315847542491	0.0283524412778	0.0160922033699	0.010752766072	0.00600477143724	0.00537261149621	0.0218024616493	0.0124969276689	0.00673820187672
i	0.0771675554	0.4107514118	0.3779212674	0.0936472562	0.022435609142	0.00225903228	0.0051959170172	0.0024797552789	0.00091870718268	0.0004139944168	0.000396116475984	0.00324717250807	5.26763129419e-05	0.00311353201416
s	0.0338020317082	0.1781972682	0.40772018	0.279541604	0.080724608106	0.0086473303978	0.008038644392	0.0024428826908	0.00012109971374	0.000145530468674	0.000112276689842	0.000266700976369	3.68005786142e-05	0.000203045963712
e	0.0043982802108	0.15656308865	0.431838734	0.1893798952	0.03110836806	0.043236063976	0.046392427922	0.0130178159476	0.0116243339928	0.00784352349584	0.00610551950434	0.0196598160723	0.018535116372	0.0202970345478
s	0.0241222561648	0.03894123586	0.479924778	0.35431607	0.07458429736	0.009564519694	0.010547996854	0.005408669902	0.0005843672116	0.00039001105098	0.000354170151	0.000926771275068	0.000133710906432	0.000201159356553
e	0.000934837041	0.11769205724	0.373050068	0.235963282	0.0462607814	0.05867119142	0.05116816612	0.0319157473825	0.0124698205926	0.008654094344	0.007224552392	0.013805893051	0.0112697908593	0.0309197362292
t	0.0193199159116	0.0172932966734	0.3441788868	0.4063653188	0.1395365648	0.02268177406	0.02752313012	0.015891036726	0.0031737702932	0.0013303619368	0.0008629151704	0.00128802838376	0.000282284409519	0.000272669064816
t	0.00142341893654	0.056625910588	0.294747484	0.2694241604	0.03879685752	0.092412354	0.04732066148	0.02870025046	0.02324789358	0.016097065512	0.014214028961	0.016982243524	0.0235279418215	0.0764797383052
à	0.0299276047613	0.05081656056	0.20153503912	0.36040146774	0.1242913665	0.02429363094	0.045898650054	0.007353124812	0.023183734598	0.0124316631864	0.010280213226	0.0236151381048	0.00270072147636	0.0832710458192
a	0.0116981954346	0.0428514091551	0.1027445704	0.1803361544	0.2588384728	0.1960359458	0.086698859	0.07323545154	0.01940580088	0.01656870705	0.003898761116	0.0047486789056	0.00049092877522	0.0024480586016
n	0.0105080762503	0.0056923560606	0.03560878854	0.210275378	0.2022078648	0.096475512	0.210811147	0.05499425608	0.09488527714	0.04091122882	0.022451476156	0.006941225386	0.00404015004346	0.00419730215884
d	0.00318690442978	0.02213518372	0.06341101882	0.07359340316	0.0429564384	0.30761162166	0.12812430888	0.1128794796	0.02102217974	0.01456915702	0.012974179108	0.0238819133	0.0856922722402	0.0879619674748
e	0.05623772614	0.03753148452	0.033175925	0.10831868866	0.08469183744	0.0643232456	0.1215677598	0.1678752416	0.120549863	0.04984650308	0.0255011543	0.0817795208	0.01173902432	0.0368620174668
m	0.00570260347897	0.0636941251561	0.027133866272	0.03525085728	0.1123869802	0.1486957812	0.158842652	0.184714831	0.1305914072	0.07574819764	0.01285845758	0.03278164517	0.0016388387912	0.009959757423
i	0.0260799537048	0.0084071846372	0.051695283791	0.070835671232	0.0542282374	0.0807791698	0.09394489778	0.06096653148	0.1522656156	0.0971633798	0.1408971436	0.0361996839	0.10933785376	0.01719937962
n	0.00817428808546	0.0118038276157	0.02319411487	0.022843780018	0.1044434792	0.0848580642	0.198585144	0.18139901	0.2572826028	0.0590195818	0.0256674872	0.008574691996	0.002159675561	0.011994264282
d	0.00087236236384	0.0055409495332	0.025931323748	0.030368681492	0.00948811568	0.250868599	0.06676623908	0.13175486424	0.10136696694	0.0441025164	0.04230719502	0.05936615604	0.183918803728	0.047347239012
è	0.0536385671	0.03867662258	0.013049877658	0.027641089752	0.01601019802	0.03457493832	0.03925441132	0.16759458456	0.2514094404	0.107186934	0.0649803198	0.0917791746	0.0499987214	0.04420513406
l	0.000980345120633	0.0253081368697	0.0053905818036	0.050429093946	0.04035254972	0.1223895702	0.103023214	0.1532706884	0.3433829764	0.0571925352	0.0296808736	0.0438524411	0.01723741576	0.00750960884
a	0.016381117135	0.0027486658004	0.0618248816816	0.071325929348	0.06938599614	0.076397376	0.0432670237	0.030206118	0.3119375774	0.1079327068	0.05185342398	0.04323537127	0.1030459221	0.01045788246
p	0.00478508611502	0.0224197874875	0.00465367294832	0.008315756694	0.0231950841694	0.072189038208	0.0592107597	0.1650566392	0.44039205	0.1004562328	0.0501189722	0.01554862736	0.0191722471	0.0144860663
l	0.00721523361016	0.00159854767204	0.0160624832149	0.0243468793695	0.008780708304	0.024968710256	0.01459313944	0.0444532224	0.3061063628	0.166699268	0.0944133176	0.067844404	0.2045297552	0.01838796516
è	0.023446418712	0.00789848771	0.00886191746	0.019606937612	0.01430717972	0.03020355622	0.04492695176	0.1313202019	0.2834379152	0.0932864463	0.06379207554	0.131826886161	0.110565977126	0.03651904552
o	0.000567359812859	0.018079614077	0.0022020695006	0.017622406211	0.013333376794	0.05464619682	0.03846995692	0.0878301742	0.318666428	0.101550874	0.0548349564	0.080093711	0.1342667052	0.0778361462
k	0.0031417240628	0.00051491890515	0.0151010894788	0.0083595411331	0.0165964231964	0.018194708526	0.042769397704	0.018676991	0.1801744216	0.242464552	0.184237931	0.06049194092	0.1214921002	0.0877842392
a	0.00035376671742	0.0007990328753	0.00467178142747	0.0114808969889	0.0169637435454	0.0434795695586	0.015642772508	0.020880990932	0.10729169954	0.1241165308	0.0956320648	0.10439113392	0.42693486	0.0273611593
e	0.000990165654584	0.00303034872238	0.001795813212	0.0050088891456	0.0106025141986	0.0267792227	0.056185948346	0.07116106192	0.1913775904	0.124776614	0.158484806	0.0842141044	0.1509556425	0.114637287
m	6.93326237511e-05	0.000539664067218	0.005709116597	0.00277116514172	0.0205098246176	0.002387820074	0.013912988608	0.05436705008	0.1021423576	0.134540288	0.262030076	0.1362480236	0.19108315406	0.073689136
