 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.555953194878	0.004920845045	0.002463671361	0.007310464148	0.0262558377455	0.00164670965524	0.100418288319	0.0371276062485	0.263903392803
a	0.544659018	0.1141878214	0.1953979312	0.0863528604	0.0333123488434	0.015990542954	0.00747062327764	0.00059638776232	0.00203249665052
ì	0.2423072388	0.46175713252	0.11925585428	0.137959910571	0.0199714337954	0.0028588801988	0.000245473201973	0.000374199026858	0.0152698567648
s	0.07099611404	0.6382841531	0.0620656634	0.02739888093	0.091526199916	0.109624594401	3.87374311249e-05	3.07623893635e-05	3.49125072334e-05
s	0.11112712654	0.46460946796	0.1063321604	0.13857202416	0.0387433687774	0.130979135865	0.00147542176282	0.00490738964217	0.00325389492372
e	0.05624317378	0.670409588	0.0962373482	0.00713723492	0.0009525689674	0.163264806923	0.00013395231286	5.10942188493e-06	0.00561622861235
r	0.0949072171637	0.4463176244	0.279505718	0.13069845794	0.0423453016932	0.005952858987	5.427722986e-05	4.50321222006e-05	0.00017350186686
e	0.0204632746	0.4523009896	0.199857227	0.11695083612	0.04326503642	0.134070420052	0.0109166898681	0.0138558506984	0.0083196665639
k	0.0412853926256	0.1220926106	0.54465374	0.2065034202	0.07281499622	0.011705046944	0.00036887568094	0.000345719272315	0.000230216229807
a	0.016059976474	0.13045005296	0.304611907	0.16345455228	0.0578971756	0.0681348869	0.19261214679	0.057861802756	0.00891748806
e	0.011786806326	0.02986504726	0.400935848	0.384419382	0.1191895596	0.04702454402	0.003009002094	0.0027042570362	0.0010655484588
s	0.00227745889766	0.01293632105	0.173293498	0.2001573	0.354806714	0.17290339248	0.0150293869686	0.0653863519631	0.00320957340268
ò	0.007626600942	0.044717268248	0.07546423356	0.2315718754	0.24633689884	0.08644610106	0.0948738106	0.148323067942	0.0646401509
z	0.00594164481682	0.011547703124	0.0461376689	0.2117785474	0.4607534472	0.227531689	0.0118873483482	0.0133684862623	0.0110534701803
i	0.09265657806	0.02679363246	0.09730754634	0.106371703	0.2139148852	0.0823696436	0.14663406454	0.122974070032	0.11097787744
k	0.00987951886201	0.0144680576245	0.033089518994	0.2412912278	0.336300648	0.2811825	0.05740035792	0.01736008494	0.009028075012
à	0.020619758866	0.008248176834	0.05170529852	0.08136457984	0.1825262312	0.26931662814	0.278582282	0.10073886882	0.00689819383
i	0.000483102730236	0.0017050618882	0.006989852936	0.03127925246	0.194621334	0.485834548	0.154734373312	0.1063504136	0.0180020532
o	0.00121315273977	0.000727326708604	0.0058786639104	0.01812294882	0.32654277752	0.29248020729	0.097100142394	0.2070806124	0.050854213426
b	0.00032898656426	0.0004771076534	0.010162394362	0.017615305872	0.1277559288	0.27609247106	0.17769636664	0.374813956	0.01505749233
à	0.0029122073939	0.00982805122554	0.130496725877	0.009008000258	0.06113171262	0.084208538	0.2115956474	0.47676897728	0.0140501566612
g	0.000213464930704	0.00028715396122	0.00081575895414	0.002331591914	0.02508459306	0.1228171634	0.253613923411	0.546432425	0.0484039376
n	0.00546439227428	0.002806796298	0.006020475215	0.024310428902	0.01846426568	0.17224852468	0.0854669428	0.5426886973	0.1425295006
o	0.0655592910939	0.0205010229056	0.0096882056404	0.0111553304636	0.01482965138	0.03293712326	0.27502852	0.3770462386	0.1932546104
</S>	0.00104429239385	0.0013503519544	0.0010517643871	0.00160940665466	0.003013086972	0.02102818001	0.0693879967236	0.211810574	0.689704358
