 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
s	0.561903419946	0.132058995664	0.003234618075	0.004134694672	0.0113138235562	0.0054948877466	0.0105523879205	0.0171631718234	0.254143981255
ò	0.7307719114	0.06795361264	0.192648045473	0.00671918748	0.00040374039564	0.000118487873764	0.000168803994233	0.00062685117612	0.000589384664972
z	0.809772116	0.11351009898	0.048802520876	0.0197962029249	0.00725422581852	0.000440242108744	2.53631961082e-05	0.000113751668807	0.000285455087927
i	0.4363764865	0.187790692	0.18878238136	0.100042627775	0.00304671361255	0.00993496355836	0.00442501133156	0.0179025187498	0.0516985579687
m	0.08528208	0.668892948	0.1708825426	0.072964087206	0.0008575799636	0.00063530904006	2.5132115912e-05	0.000331647877791	0.000128657777182
i	0.3025117653	0.1642268556	0.40112079136	0.06540561612	0.004845315526	0.0367349540951	0.0114987215332	0.00896917995495	0.00468681246704
n	0.054377058226	0.465202676	0.344999598	0.12898097166	0.0034710897	0.0009356306702	0.00021760896814	0.000192874576206	0.00162252108573
o	0.15250241456	0.2124623628	0.420957744	0.1352520524	0.011922095922	0.0253428061706	0.0123390969964	0.0023563409626	0.026865124112
m	0.0253225036936	0.226493344	0.532048432	0.204652929	0.008526426494	0.0022542710246	0.000247275788	0.000102783536388	0.000352037429433
i	0.282458183393	0.084373959	0.378836931	0.1431422918	0.01314445782	0.03450628889	0.0444354517806	0.0122394593463	0.006862982328
l	0.0210358400566	0.1486054932	0.445136836	0.3503622	0.023617558086	0.00414895711	0.001302042979	0.000323209718176	0.00546787619089
ì	0.0734504826	0.08996679566	0.4306826	0.2355934692	0.03216433768	0.022098732732	0.03935443182	0.0033928379	0.073296316352
s	0.010291832011	0.1237007738	0.26677565	0.44036634	0.105304314	0.04614692618	0.0051499455328	0.000859971247	0.00140422734434
i	0.02293958268	0.04583104148	0.418987752	0.267432196	0.0494825187	0.05071548966	0.056134390706	0.0384677204326	0.0500093101408
a	0.005721982527	0.0363369325855	0.0739271038	0.545556144	0.297164378684	0.0347053994	0.005378180874	0.0005483077166	0.000661585923896
t	0.00680381911866	0.00866690757446	0.0468796915	0.272820742	0.3860825672	0.2279584982	0.024025184416	0.024311683916	0.00245092733883
ù	0.113427366469	0.0174315058326	0.133301356	0.2582753221	0.17325505214	0.0371998016	0.11344473422	0.032659359614	0.121005517672
t	0.0026652744652	0.006797148616	0.0472055859	0.2512869146	0.43767772948	0.1863160562	0.0417729556	0.0186400519	0.0076382714656
t	0.106891101647	0.0205470984324	0.16331431332	0.2241858158	0.1951823384	0.1109256592	0.05447545352	0.1055152224	0.01896300926
o	0.018011293802	0.0069808676688	0.03706763376	0.1151143778	0.2693031921	0.1512092086	0.325916279	0.041290474128	0.0351066528748
p	0.00179630571474	0.00888377519601	0.009198094387	0.09127328544	0.230162491345	0.354395198	0.21523686648	0.0539731079	0.035080861408
r	0.167016593433	0.00512109467288	0.03824375992	0.16215395948	0.273651977698	0.169179467	0.0944425552	0.080156968	0.010033595994
à	0.024291134584	0.002567573152	0.01474821366	0.05359396432	0.17582517208	0.152514344	0.457345792	0.08144504406	0.03766876121
m	0.00046987032778	0.00127238726198	0.001645758636	0.01897772816	0.109397354137	0.1588181692	0.295353197	0.3136866466	0.1003789158
m	0.0817273145094	0.0376564918858	0.1181777134	0.12580032348	0.20162188494	0.1416659628	0.0866211444	0.177639291	0.029089858554
a	0.0242488647587	0.0023741869346	0.01478707844	0.02600415756	0.2394677422	0.1888175468	0.3482610336	0.081453735688	0.074585608984
m	0.00070729976737	0.00158354444242	0.0015213023624	0.01019970746	0.0249839133524	0.2039075004	0.34415342	0.179904538	0.233038786
e	0.144003609015	0.00674745176206	0.02122965552	0.12397482984	0.218004290226	0.1344740906	0.123190447	0.1742392388	0.05413635736
t	0.00199668186927	0.00466711661953	0.00195990179852	0.00878617599	0.042740715397	0.1786018232	0.360575144	0.1795852552	0.221087202
i	0.093043231096	0.0241240460667	0.0449830970933	0.065056279676	0.057246136306	0.1706397578	0.210618028	0.2678345648	0.0664548856
n	0.000786505548975	0.00199700817664	0.000412594635916	0.0057927910004	0.0937450777502	0.082415376	0.1589468404	0.44193407	0.213969776
A	0.014275597797	0.00221247733564	0.00137187092608	0.002628197364	0.0018060812072	0.0212876101	0.0590353857	0.802411402	0.09497141088
n	0.0001044058541	0.00028006278618	0.00016625656402	0.00044333680188	0.0256464695376	0.0152625627	0.102064617	0.779807222	0.076225056
n	0.00622521194068	0.0012151705542	0.002337673364	0.00234462379	0.00897184746	0.04729701204	0.179445943	0.728433584	0.0237289033
a	0.0264750798496	0.00304678016925	0.0207510731122	0.004866344076	0.01260255354	0.04837137088	0.3638623246	0.324935422	0.1950890496
</S>	0.00453344645246	0.00522357314752	0.00289172821214	0.00378696111604	0.00519344676356	0.015161626846	0.09653087904	0.267949732	0.598728588
