 	se	vieni	a	casa	ogni	sabato	</S>
a	0.561174786986	0.007366225518	0.0131082867518	0.136262688615	0.003686890443	0.0579680974904	0.220433040151
n	0.535689319572	0.2512917414	0.2024980574	0.003556189898	0.0016122355324	0.000729490596	0.00462299691936
è	0.142845812134	0.244071760474	0.2254151022	0.18168003772	0.023449026506	0.001242514549	0.18129576764
r	0.160123674229	0.5664040992	0.2536022943	0.017505698554	0.001732586618	0.000166107458	0.000465535987281
t	0.01676581352	0.27107848972	0.432479308	0.1732123934	0.03183354668	0.0241759393966	0.0504545446111
i	0.0290947236856	0.2997399028	0.483615664	0.05515345626	0.009000785566	0.00103471697	0.122360751414
è	0.0174940292138	0.0814145302	0.534688214	0.260841858	0.10293837144	0.0003318459096	0.00229114504213
s	0.0325543953079	0.09290180584	0.392949266	0.3821702356	0.0974653564	0.000900001448	0.00105894882695
s	0.0017452033784	0.03281884284	0.494557136	0.31411907	0.059380162	0.079906837138	0.017472721748
u	0.0139547774282	0.0811391156	0.4287530072	0.2619737694	0.15841824964	0.01785102764	0.03791007578
k	0.0184939845418	0.032819217608	0.16025582644	0.42666027886	0.335877986	0.01006970836	0.015823018266
u	0.0314239034951	0.028463490566	0.242977476	0.333737961	0.159681867	0.151825086	0.05189020952
à	0.00699975495837	0.0407389515752	0.05540218506	0.25001216306	0.522213112	0.0694757362	0.05515811724
i	0.000518601454386	0.00615232985514	0.01096866656	0.18832414072	0.5855272	0.1808186478	0.027690426512
s	0.0587175403658	0.0156097148626	0.01312015124	0.19201056696	0.3276137528	0.3483646254	0.044563638228
à	0.00095042502234	0.015370419594	0.04595088852	0.09697233974	0.2346993622	0.5355904086	0.0704661854
m	0.00566732466781	0.0029401810523	0.00099760548	0.032030148126	0.1236966863	0.783740262	0.0509277854
b	0.00439988404071	0.01664438975	0.05645671866	0.144897293186	0.04001345584	0.671992272	0.0655959878
a	0.0325041598491	0.0016097766508	0.03012611126	0.0954436438	0.0483320988	0.671314412	0.12066979326
</S>	0.00798365979227	0.0165475331476	0.00287549210273	0.0083907404748	0.11989550204	0.1623840242	0.68192306
