 	stava	ancora	cucinando	</S>
a8	0.175047995	0.25601197	0.43200063	0.136939415
a46	0.141892731667	0.24954857	0.473549076667	0.135009635
a24	0.111419302222	0.25620462	0.508046648889	0.124329448333
a37	0.0894406357407	0.249772353333	0.568298486296	0.092488536111
a20	0.0897363185802	0.244833287778	0.579409975432	0.0860204087037
a31	0.0956725661934	0.242124505926	0.554953871811	0.107249046235
a37	0.103251975398	0.240280828642	0.507080470604	0.149386745412
a31	0.111573193133	0.234140649547	0.469662856868	0.184623335137
a20	0.130785462378	0.221865219849	0.443426042289	0.203923281712
a31	0.156146284126	0.215068746616	0.419117970763	0.209667000571
a6	0.185999794709	0.221453305539	0.375596473588	0.216950423524
a31	0.214142844903	0.23387809518	0.322966907863	0.229012121175
a20	0.230414914968	0.242402668393	0.291178385954	0.236004007058
a46	0.241771504989	0.247124256131	0.267417311985	0.243686922353
a31	0.24640423833	0.24880161871	0.257635137328	0.247159007451
</S>	0.247668174165	0.249315284355	0.254978418664	0.248038123725
