 	il	dito	si	gonfiò	</S>
a39	0.430571025	0.0517676145	0.315301435	0.109522734	0.092837172
a13	0.402526125	0.0359932491667	0.355112688333	0.113083162667	0.093284714
a31	0.390493658333	0.0355208123889	0.368910696111	0.110492040889	0.094582738
a20	0.449016819444	0.038715693463	0.323301622037	0.101225268296	0.0877405626667
a31	0.526516523148	0.0395227481543	0.261509894012	0.0940300940987	0.0784207108889
a11	0.556929457716	0.0426116510514	0.227440998004	0.0952902246996	0.0777276552963
a31	0.541979049239	0.0452965496838	0.217320549335	0.1057960449	0.0896077784321
a39	0.439947369746	0.0601618098946	0.231516146445	0.1361865283	0.132188101144
a31	0.348620736582	0.0930721382982	0.235563892148	0.160107622767	0.162635583715
a41	0.308186705527	0.131629647766	0.224547437383	0.169644347589	0.165991847905
a46	0.248432398509	0.169553199255	0.212191022461	0.185983405863	0.183839975968
a31	0.218360082836	0.188611499752	0.204181534154	0.194633505288	0.194213405323
</S>	0.210159951418	0.193718899876	0.202422877077	0.197021027644	0.196677282662
