 	essendosi	vestito	</S>
a46	0.359459785	0.464606135	0.17593403
a31	0.292648925	0.509474321667	0.197876713333
a18	0.222699061667	0.538391473889	0.238909461111
a31	0.188642213889	0.549780391296	0.26157742037
a20	0.18860024463	0.556258630432	0.25514116679
a46	0.18922130821	0.554969810144	0.255808935597
a20	0.228694259403	0.493355683381	0.277950088532
a31	0.282426773134	0.413023231127	0.304549986177
a0	0.309143264378	0.373299927042	0.317556798726
a46	0.324622051459	0.347901345681	0.327476612909
a35	0.330372020486	0.338297535227	0.331330447636
a46	0.332330290162	0.335018111742	0.332651575879
a24	0.332990220054	0.333911203914	0.333098545293
a46	0.333213240018	0.333536234638	0.333250515098
a24	0.333288036673	0.333410111546	0.333301848366
a31	0.333312528891	0.333368567182	0.333318879455
</S>	0.333319254446	0.333356913591	0.333323799728
