 	lo	sentii	che	arrivò	</S>
a11	0.1898545	0.16978345	0.068313595	0.439120675	0.132927795
a31	0.132954536667	0.14087964	0.05912057	0.542915408333	0.124129845
a28	0.108159780222	0.128181738333	0.05175467	0.593135769444	0.118768035
a37	0.101483914741	0.115153297778	0.034973424	0.658299143148	0.0900902293333
a20	0.0977758349137	0.0912752245927	0.0256686216667	0.729765991049	0.0555143264444
a31	0.0900704216379	0.0736580101976	0.0274096275556	0.766367787016	0.0424941461481
a1	0.0788814572126	0.0658626787325	0.0305928758519	0.784886762339	0.0397762353827
a0	0.0724028504042	0.0562063415775	0.0266347689506	0.80986214078	0.0348939067942
a17	0.0852700201347	0.0552184438592	0.0262377706502	0.788972066927	0.0443016889314
a31	0.0901599153782	0.0544878232864	0.0293431958834	0.768942932309	0.0570660929771
a0	0.0997690817927	0.0671776697621	0.0472224809611	0.69812382077	0.0877069109924
a46	0.126105417264	0.0980260599207	0.082460154987	0.551491040257	0.141917323664
a31	0.142229812421	0.120564543307	0.109286889662	0.461684193419	0.166234557888
a18	0.161436860807	0.145582857769	0.137461416554	0.38091406114	0.174604792629
a31	0.178844283602	0.168390315923	0.162741145518	0.307242593713	0.182781670876
a39	0.189041447867	0.182237581974	0.178233665173	0.263370094571	0.187117203625
a31	0.194521535956	0.191257930658	0.188931575058	0.23280097819	0.192487954542
a46	0.196831211985	0.195159763553	0.193735195019	0.21921792273	0.195055881514
</S>	0.198216830992	0.197202851776	0.19627409251	0.211341396365	0.196964795757
