 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
a31	0.090138335	0.079917483	0.09844452	0.113322615	0.1782051825	0.066621409	0.071049869	0.085573645	0.161305955	0.0554210365
a20	0.086850075	0.073785839	0.0985724633333	0.114611311667	0.2177469675	0.0479189373333	0.054637375	0.0773776936667	0.183750358333	0.0447490165
a31	0.0837513383333	0.068438731	0.0974289577778	0.107761633889	0.239261835833	0.0394555297778	0.0485126323333	0.0786990598889	0.194555082778	0.0421352388333
a21	0.0812876127778	0.061878205	0.0928290509259	0.102293127963	0.255093831944	0.0349396065926	0.0451176397778	0.079610469963	0.211061037593	0.0358894329444
a31	0.0844744842593	0.0543872146667	0.092154638642	0.104095329321	0.252165123981	0.0327616325309	0.0484627412593	0.0915215599877	0.212743715864	0.0272335373148
a13	0.0823598614198	0.0410120188889	0.0832297095473	0.105686633107	0.248768141327	0.030241617177	0.0553223950864	0.112672166663	0.223433995288	0.0172734172716
a31	0.0787085004733	0.033358237963	0.0714597498491	0.103972886036	0.251720690442	0.0315862053923	0.0681871453621	0.123173232221	0.224815495096	0.0130178149239
a6	0.0771209868244	0.0303156199877	0.069635405283	0.110039870345	0.245620036814	0.0323832387974	0.0765517031207	0.128635267407	0.217813381699	0.0118845101413
a46	0.0735238556081	0.0263493469959	0.0663629184277	0.106594083448	0.283851418938	0.0271684272658	0.0638323637069	0.116933845802	0.2252998239	0.0100839655471
a31	0.066245618536	0.0218769329986	0.0592900454759	0.100658064483	0.339071902979	0.0208114054219	0.048856059569	0.099837881934	0.2344666413	0.00888549834903
a46	0.0553647948453	0.0180322049995	0.0508148191586	0.093721528161	0.388614904326	0.0162270273073	0.0394021221897	0.0860729906447	0.243600993767	0.00814865394968
a11	0.0406242102818	0.0156533493332	0.0389687723862	0.0729183727203	0.472340718109	0.0133746352691	0.0299974453966	0.0639661478816	0.243508741256	0.00864761564989
a37	0.0346912267606	0.0193402607777	0.0390912251287	0.0638620775734	0.51010483937	0.0165276780897	0.0286111897989	0.0502626402939	0.222855030419	0.01465381555
a18	0.0425908689202	0.0327937512592	0.0540761927096	0.0797999941911	0.434219536457	0.0304845826966	0.0403681425996	0.0563885034313	0.198252696806	0.0310257201833
a46	0.0583788763067	0.0528707374197	0.0723017092365	0.105125553064	0.302405585486	0.0520551315655	0.0595507535332	0.0716745978104	0.171389405602	0.0542476867278
a31	0.0744337387689	0.0715503808066	0.0835266014122	0.111658227688	0.206650941829	0.0718781705218	0.0770189778444	0.0841018146035	0.145872736867	0.0733084522426
a20	0.0874245895896	0.0857654486022	0.0912125404707	0.105173559229	0.153475817276	0.0860451618406	0.0890824359481	0.0920546835345	0.123607179289	0.0861585940809
a35	0.0948779248632	0.0940562412007	0.0966228868236	0.103088323076	0.122304289092	0.0939400589469	0.0951433386494	0.0963787111782	0.109599021763	0.0939892146936
a6	0.0970806632877	0.0966210837336	0.0982733989412	0.104131369025	0.111003183031	0.0964522213156	0.0969527328831	0.0977002470594	0.105174352588	0.0966107715645
a13	0.0966532894292	0.0963366412445	0.0982805916471	0.107728807675	0.10880228101	0.0961827887719	0.096513800961	0.0973961423531	0.105540399529	0.0965652871882
a28	0.0955931848097	0.0953474550815	0.0978823492157	0.111214519225	0.109251727003	0.0952192795906	0.095561596987	0.0967511307844	0.107330243176	0.0958485390627
a31	0.0964772382699	0.0963023250272	0.0982885130719	0.108859419742	0.107124115668	0.0962227781969	0.0965074306623	0.0974608949281	0.106018194392	0.0967390910209
a10	0.09841169609	0.0982643070091	0.099224933024	0.103757159914	0.103905873223	0.098165994399	0.0983204152208	0.0987548363094	0.102817071464	0.0983776896736
a24	0.0987692953633	0.0982017156697	0.0992155563413	0.102441829971	0.106313892408	0.0978873947997	0.0980350450736	0.0985043001031	0.102593985155	0.0980369412245
a31	0.0989933151211	0.0983136552232	0.0992713454471	0.101686978324	0.106729920803	0.0979427462666	0.0980832233579	0.0985344530344	0.102386356385	0.0980579657415
</S>	0.0994332775606	0.0990450676116	0.0996671527236	0.100865051662	0.103974870401	0.0987853401333	0.0988732441789	0.0991308740172	0.101380158193	0.0988449358707
