 	vuole	pianto	</S>
a39	0.415235925	0.5002039	0.084560155
a31	0.394172125	0.541996066667	0.0638318016667
a41	0.386044141667	0.529410742222	0.0845451305556
a31	0.385086887222	0.508153767407	0.106759370185
a37	0.392193175741	0.511441102469	0.0963657267283
a11	0.37678378858	0.505350804156	0.117865395576
a39	0.337739496193	0.481636398052	0.180624061859
a31	0.324790248731	0.425113939351	0.250095773953
a46	0.333209356244	0.369856169784	0.296934464651
a31	0.333613212081	0.346254733261	0.32013206155
</S>	0.33377669604	0.340031296631	0.326192030775
