 	lo	ho	finito	di	fare	</S>
a8	0.256821875	0.140758695	0.0591022685	0.191930875	0.157926625	0.19345969
a31	0.205308551667	0.125673818333	0.0539875285	0.202906848333	0.183320255	0.228803016667
a20	0.233003443889	0.106754452778	0.0504586528333	0.212412972778	0.181649568333	0.215720932222
a24	0.35374176463	0.0886822675927	0.0538174542778	0.195465264259	0.146901162778	0.161392135407
a18	0.423917111543	0.0897562791976	0.0703904247593	0.171588438086	0.123044290926	0.121303499802
a31	0.400437070514	0.0927426217325	0.0804242049198	0.176627189362	0.129055000309	0.120713926601
a20	0.341903596838	0.0900598525775	0.0836793296399	0.187523616454	0.151719740103	0.1451138522
a10	0.285975302279	0.0913332775258	0.0864547345466	0.191214305485	0.172545876701	0.1724764774
a20	0.235097804093	0.0948901645086	0.0907264048489	0.189333495162	0.1901125189	0.199839572467
a7	0.188159914698	0.0993276868362	0.0973387536163	0.187369875054	0.204903999633	0.222899767489
a31	0.168153778233	0.108672560612	0.108000594872	0.175677638351	0.202123613211	0.237371829163
a20	0.165374572744	0.127857188537	0.127189506624	0.16180147945	0.185189447737	0.232587793054
a18	0.161222724248	0.142810436179	0.142297902208	0.15909535315	0.174897465912	0.219676104351
a24	0.154449231416	0.145045558726	0.144810620736	0.158040147717	0.173815551971	0.223838864784
a46	0.154248963805	0.149451349575	0.149417360245	0.159533782572	0.172445077324	0.214903451595
a31	0.160974427935	0.158791389858	0.158780986748	0.163015430857	0.168879832441	0.189557917198
a33	0.164587385978	0.163688206619	0.163681652249	0.165219806952	0.16742785748	0.175395055733
a8	0.165958675326	0.16559822554	0.16559366075	0.166133868984	0.166919465827	0.169796068578
</S>	0.166311427663	0.16609868777	0.166094820375	0.166377314492	0.166791472913	0.168326244289
