 	forse	non	li	ha	a	casa	</S>
a28	0.21281813	0.119284387	0.179744075	0.16081498	0.12874224	0.154846995	0.0437492885
a10	0.203158456667	0.110292330333	0.179944115	0.164933106667	0.13570258	0.150519115	0.0554503328333
a31	0.181494335556	0.114475845111	0.170170011667	0.158245145556	0.141307343333	0.148649645	0.0856576742778
a21	0.173233798519	0.120578376704	0.165014950556	0.153571778519	0.141645511111	0.145195185	0.100760404759
a37	0.175298896173	0.133308728901	0.162838493519	0.15019943284	0.140279543704	0.144144665	0.093930268253
a31	0.199445638724	0.135075852967	0.17789710784	0.149988787613	0.129315564568	0.140987871667	0.067289224751
a37	0.251686642908	0.123888315656	0.19304244928	0.139268455871	0.108590021523	0.137793207222	0.0457309355837
a31	0.316400164303	0.0998825612187	0.196344876427	0.124788129957	0.0912789105077	0.134739959074	0.0365654048612
a37	0.331473321434	0.0823836984062	0.186834848809	0.127145334652	0.0960604868359	0.133688089691	0.0424142159537
a31	0.307008747145	0.0769350861354	0.16363508627	0.133879311551	0.115709572279	0.146324606564	0.0565076029846
a21	0.262207595715	0.0814953787118	0.147350055423	0.13491739385	0.134542877426	0.170056838855	0.0694298853282
a31	0.200872241905	0.0997285575706	0.138593945141	0.13416293795	0.147164685809	0.186872669618	0.0926049551094
a20	0.171319330635	0.118298240524	0.138019321714	0.135608915983	0.14619626527	0.175917793206	0.11464012837
a31	0.158812273545	0.132079266841	0.141820990571	0.139111908661	0.142732981757	0.155928021069	0.12951457279
a37	0.149661637848	0.138503848947	0.14241688019	0.141178122887	0.142605870586	0.14823013369	0.137403507597
a33	0.146370795949	0.141095572982	0.142873443397	0.142129294296	0.142506953529	0.144514927897	0.140509015866
</S>	0.145076577974	0.141864116491	0.142916871699	0.142429107148	0.142585306764	0.143636378949	0.141491647933
