 	avete	cucinato	le	verdure	</S>
a29	0.441076085	0.090528035	0.257168135	0.085032325	0.12619545
a38	0.440223091667	0.074881555	0.267346131667	0.081272775	0.136276466667
a31	0.446258910556	0.0711701796667	0.255745600556	0.0832416283333	0.143583698889
a11	0.436974596852	0.0763728712222	0.227434383519	0.101562932778	0.157655212963
a37	0.404519978951	0.0877203837407	0.21086551784	0.127969480926	0.168924614321
a11	0.37845599965	0.0959739912469	0.206427905947	0.145358876975	0.173783218107
a31	0.324196589883	0.104495733749	0.203568028649	0.159882572325	0.207857079369
a20	0.247939756628	0.12335148125	0.19588904955	0.168124337442	0.264695376456
a31	0.208845818876	0.15112923375	0.187822396517	0.173460485814	0.278742068819
a39	0.200697539625	0.17592131125	0.191104102172	0.184659085271	0.247617956273
a13	0.199735933208	0.190272070417	0.195928547391	0.193422358424	0.220641088758
a18	0.199709597736	0.196247880139	0.198298212464	0.197370339475	0.208373996253
a39	0.199844919245	0.19858642338	0.199326270821	0.198983149825	0.203259255418
a31	0.199917786415	0.199451241127	0.19972482694	0.199594349942	0.201311811806
a46	0.199969248805	0.199798097042	0.19989648898	0.199848206647	0.200487997269
</S>	0.199985579403	0.199894048521	0.19994549449	0.199919643323	0.200255288634
