 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
a48	0.102664405	0.076131245	0.0597581265	0.05354274	0.0645826075	0.09913716	0.102785915	0.125013902	0.11542598	0.10584313	0.056741143	0.03837365025
a31	0.098041155	0.069388135	0.0428037171667	0.0435089373333	0.0683359391667	0.112834456667	0.115687318333	0.137267330667	0.126140833333	0.12113104	0.0474158063333	0.01744535975
a0	0.112027408333	0.0791645683333	0.0425790317222	0.0453743044444	0.0769566483889	0.109513533556	0.109928086111	0.118595553556	0.111376771111	0.132834266667	0.0513335554444	0.0103163244167
a37	0.137742162778	0.0883893294444	0.0501947725741	0.0468596221481	0.071067501463	0.0950120225187	0.095416534037	0.102802307852	0.0963759903703	0.149120005556	0.0548179018148	0.0122018828056
a25	0.154194020926	0.0931750598148	0.057551950858	0.049075861716	0.0656450371543	0.0843648141729	0.084479156679	0.0924411859507	0.0856623167901	0.159983828519	0.0562790696049	0.0171476812685
a31	0.150625666975	0.0937983632716	0.0604715246193	0.0508686989053	0.0677796357181	0.0846882747243	0.0845482922263	0.0919363486502	0.0856539155967	0.151688449506	0.057375100535	0.0205656757562
a3	0.153281128992	0.0969691110905	0.0656664892064	0.0535397529684	0.0675624005727	0.0817851582414	0.0809335790754	0.0892746228834	0.0816605051989	0.146323949835	0.0567048691783	0.0262984132521
a20	0.171392572997	0.103206850363	0.0715249197355	0.0549670276561	0.0620310105242	0.0727494694138	0.0718110980251	0.0807081642945	0.072621169733	0.148113086612	0.0581462163928	0.0327283944174
a24	0.173595807666	0.105187856788	0.0740985332452	0.0590499258854	0.0639707318414	0.0715270364713	0.070722670675	0.0770729814315	0.0714286645777	0.132919412204	0.0629474047976	0.0374789481391
a18	0.159897539222	0.0959623639293	0.0644655030817	0.0574002186285	0.0687033906138	0.0811655121571	0.0807387148917	0.0853446771438	0.0822897798592	0.123828707401	0.0668063849325	0.0333972093797
a31	0.170767183074	0.0826493063098	0.0444558420272	0.0430751695428	0.0633832318713	0.0896373273857	0.0904370529639	0.0975134457146	0.0946279649531	0.141668849134	0.0608184206442	0.0209662184599
a28	0.178668307691	0.0703148034366	0.0326055936757	0.0318037575143	0.0531183106238	0.0943249624619	0.0967681423213	0.111902811905	0.106862871651	0.160003193045	0.0489663438814	0.0146608966533
a37	0.149525225897	0.0602829908122	0.0322932942252	0.0326224935048	0.0504290808746	0.101009130821	0.104650688774	0.130929607302	0.122480867217	0.155992381015	0.0422517792938	0.0175324410511
a31	0.125110305299	0.0533204876041	0.0309691820751	0.0345103278349	0.0525391526249	0.10934679694	0.111222190925	0.141838849101	0.129064582406	0.154738063672	0.0386509840979	0.018689067017
a20	0.111997941766	0.0525789282014	0.033172688025	0.041819639945	0.063688440875	0.113550532313	0.109369320308	0.135909544367	0.120728845469	0.155629087891	0.0394279306993	0.0221270786723
a13	0.0955311605887	0.0601904027338	0.0465472450083	0.0610069539817	0.086244875625	0.109642880771	0.0993175401027	0.114827454789	0.10263236449	0.138322930964	0.0488631945664	0.0368729682241
a20	0.0838238855296	0.0671088742446	0.0588456250028	0.0758920279939	0.103512350542	0.10461803359	0.0916188467009	0.095210020263	0.08804765283	0.120212811988	0.0591241741888	0.051985691408
a31	0.0805376638432	0.0722080667482	0.0675184200009	0.0800681993313	0.103234943514	0.09772592453	0.087382730567	0.0882368717543	0.0841043242767	0.107935343996	0.0676387013963	0.0634088138027
a44	0.0812815412811	0.0767820342494	0.0744349433336	0.0806838917771	0.0948603961713	0.0906532848433	0.0850879065223	0.0865774922514	0.0843359067589	0.0979465646653	0.0748980454654	0.0724579812676
a31	0.082263250427	0.0799410714165	0.0788023447779	0.081754984259	0.0893947203904	0.0867884482811	0.0840167035074	0.0850358507505	0.083925824253	0.0910718848884	0.0791471688218	0.0778577304225
a23	0.0831686534757	0.0816874204722	0.0810665602593	0.082328489753	0.0860417614635	0.0848207160937	0.0835755311691	0.0843007515835	0.083756294751	0.0873618349628	0.0813358516073	0.0805561034742
</S>	0.0835732117378	0.0823278952361	0.0818609201296	0.0825940448765	0.0849718927318	0.0841836880469	0.0834088655846	0.0838859727918	0.0835520973755	0.0860881974814	0.0820819758037	0.0814711967371
