 	quella	famiglia	non	ha	da	mangiare	</S>
a20	0.19960532	0.260819725	0.104730825	0.153645455	0.072637204	0.15529704	0.053264473
a31	0.215707323333	0.315607971667	0.0845465383333	0.137133511667	0.0574794436667	0.143953453333	0.0455717563333
a37	0.210472637778	0.316280597222	0.0851826294444	0.134660577222	0.0595774585556	0.143629917778	0.0501961704444
a31	0.223773919259	0.333331365741	0.0788916031481	0.134030639074	0.0504896488519	0.139130162593	0.0403526534815
a13	0.239847383086	0.36870260858	0.066251843716	0.134730503025	0.0350074206173	0.129460120864	0.0260000861605
a31	0.251841397695	0.366952049527	0.0615591839053	0.150652724342	0.0240737498724	0.128323253621	0.0165975967202
a43	0.263843615898	0.358612673176	0.0588609569684	0.162836168114	0.0180553759575	0.12642234454	0.0113688405734
a31	0.259355295299	0.342439031059	0.0598439179895	0.177320416038	0.0151493849858	0.13710098818	0.00879098252447
a20	0.269451371766	0.329948060353	0.0557780959965	0.183242988679	0.0120040096619	0.143321402727	0.00625410504149
a31	0.278169323922	0.377443780118	0.0428612526655	0.163748876226	0.0103566512206	0.121437332576	0.0059827988805
a11	0.288751814641	0.417903300039	0.0347810302218	0.144735722075	0.0101701060735	0.0970273625253	0.00663059852683
a31	0.292819588214	0.443951963346	0.0348835320739	0.122238734025	0.0148584963578	0.0794713018418	0.0117762877423
a30	0.275791466071	0.459193647782	0.0401914646913	0.109908938008	0.0228770897859	0.0721832749473	0.0198540515808
a31	0.262918192024	0.397698669261	0.0590284655638	0.113587452669	0.044150143262	0.0812383683158	0.0413786905269
a42	0.237758827341	0.341366359754	0.0781017218546	0.11820460089	0.0667835844207	0.0929353761053	0.0648495588423
a20	0.20425528578	0.297569353251	0.0949322519515	0.12628673363	0.0861405881402	0.106233695368	0.0845821349474
a31	0.176197951927	0.22244887775	0.11813043865	0.133691164543	0.113494062713	0.123411081789	0.112626476982
a20	0.158967017309	0.176152822583	0.132141246217	0.138579108181	0.130166857571	0.134195230596	0.129797758994
</S>	0.154592858655	0.165732976291	0.135387153108	0.13974085909	0.134023868785	0.136760780298	0.133761539497
