 	siete	cucinato	</S>
a20	0.757867625	0.171627	0.070505438
a31	0.835878271667	0.11905306	0.0450687286667
a18	0.862852537222	0.0993237733333	0.0378237025556
a21	0.861092512407	0.0897737144444	0.0491337518519
a37	0.811307650802	0.112200848148	0.0764915039506
a21	0.735278530267	0.144379689383	0.120341811317
a31	0.598133876756	0.206123666461	0.195742487106
a18	0.452493882252	0.275619215487	0.271886902369
a31	0.377947244084	0.311686181829	0.310366574123
</S>	0.357664812042	0.321539980914	0.320795237062
