 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.998691	0.000272877	8.34136e-05	4.09292e-05	0.000106881	0.000805186
s	0.6246	0.290486	0.0666472	0.00437157	0.00190775	0.0119872
o	0.529335	0.406419	0.0608925	0.00184064	0.000867583	0.00064516
s	0.157528	0.806141	0.0355295	0.000790614	9.74257e-06	1.19798e-06
e	0.0913311	0.400551	0.405395	0.0499352	0.0124656	0.0403218
è	0.038861	0.0757516	0.87813	0.00486038	0.00105139	0.00134545
m	0.000500223	0.00135445	0.986727	0.0107733	0.000535589	0.00010985
b	0.000589169	0.00470551	0.977497	0.0164126	0.000648861	0.000147005
i	0.00303703	0.0280133	0.311684	0.121143	0.439516	0.0966071
à	0.00383669	0.00936782	0.0269777	0.930246	0.0127813	0.0167902
t	0.000807846	0.000979154	0.0207992	0.969235	0.00784966	0.000329557
t	0.000642303	0.0017174	0.00474917	0.903844	0.0882224	0.000824391
i	0.000357807	0.00066807	0.001294	0.0701826	0.237064	0.690434
f	0.000584432	0.000878997	0.00087594	0.143769	0.248221	0.605671
i	0.000705405	0.001329	0.000776388	0.417673	0.449854	0.129663
n	0.000542247	0.000811543	0.000203248	0.00757389	0.757716	0.233154
è	0.00155444	0.00289125	0.000862199	0.0503332	0.767009	0.17735
s	0.00224652	0.00242709	0.00421414	0.0112886	0.865612	0.114212
t	0.011179	0.0274951	0.00834439	0.0752162	0.870689	0.00707662
r	0.0086408	0.00776583	0.0144128	0.0534962	0.173938	0.741747
a	0.00143273	0.004033	0.0010352	0.149388	0.578805	0.265307
</S>	0.00113314	0.00120448	0.000267663	0.00681651	0.117636	0.872942
