 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.976999	0.0123556	0.0105085	3.46225e-05	1.74367e-05	7.07984e-07	1.39452e-05	1.94699e-06	1.18181e-05	1.08601e-06	6.6862e-07	5.49086e-05
m	0.241547	0.678931	0.07035	0.0053309	0.000561724	0.000104574	0.00169691	0.00035571	0.00105478	3.41446e-05	1.39418e-05	1.87865e-05
a	0.00338667	0.753677	0.149987	0.0214213	0.0491414	0.000351611	0.0111678	0.00156846	0.00439928	0.00044668	0.00036469	0.00408831
r	0.115087	0.871926	0.00526994	0.00367695	0.000193544	0.000437027	0.00198025	0.000736891	0.000662027	2.18268e-05	3.13502e-06	5.5905e-06
ì	0.0238173	0.569214	0.196552	0.0700677	0.0571304	0.0052135	0.0319788	0.0106461	0.00866929	0.00249832	0.000815709	0.0233969
o	0.0064785	0.846272	0.129694	0.0143354	0.0012956	1.02236e-05	0.000470215	0.000196286	0.000502301	8.61528e-05	9.41468e-05	0.000565068
t	0.00605909	0.00893882	0.977406	0.00724507	6.74937e-05	7.22783e-05	0.000102544	2.85726e-05	3.0713e-05	9.68461e-07	1.39478e-06	4.71229e-05
è	0.00283641	0.049194	0.773609	0.0933403	0.0383002	0.00445318	0.00829419	0.00711572	0.00368634	0.00206186	0.0017589	0.0153499
l	7.2033e-05	0.050604	0.923978	0.0168719	0.00689819	4.8823e-06	0.000328885	9.44865e-05	0.00042266	0.000104784	4.54721e-05	0.000574461
i	0.000561979	0.00559974	0.959383	0.03165	0.001408	0.000265598	0.000841895	0.00012198	0.000117134	1.68167e-06	1.03144e-05	3.88713e-05
f	0.000690098	0.00369101	0.156656	0.819473	0.00414498	0.00389624	0.00553421	0.00418209	0.00159598	7.56575e-05	1.3493e-05	4.68962e-05
a	0.000171074	0.00367804	0.396037	0.358579	0.162638	0.00825922	0.0194879	0.0207724	0.00852339	0.00642631	0.0016862	0.0137414
m	0.000117234	0.000978504	0.0540102	0.879674	0.0260176	0.00712914	0.0129276	0.00986618	0.00421193	0.00109763	0.000154531	0.00381502
è	0.000149996	0.00273664	0.220429	0.481996	0.201659	0.00788887	0.0310587	0.01374	0.00859812	0.00324668	0.00148932	0.0270079
n	2.87603e-05	0.00533352	0.210389	0.727537	0.043966	3.51946e-05	0.0019367	0.000853622	0.00247236	0.000435878	0.000298542	0.00671306
o	0.000152001	0.00203531	0.103668	0.742792	0.0995936	0.01139	0.0267964	0.00926798	0.00266961	0.00014102	0.000897704	0.000596672
a	0.000301092	0.000650307	0.00600718	0.575963	0.159718	0.140421	0.0682969	0.0389321	0.00832103	0.000601237	9.94411e-05	0.000687997
p	1.92021e-05	0.00032865	0.00144143	0.0496662	0.898756	0.0131815	0.0233158	0.00780601	0.00307618	0.000498354	7.77657e-05	0.0018333
p	4.48496e-05	0.000370507	0.00122117	0.0409193	0.846861	0.048099	0.008837	0.0289989	0.00406562	0.00970366	0.0010857	0.00979352
è	0.00170078	0.00107508	0.00412309	0.0438784	0.0583568	0.29682	0.0786902	0.0825052	0.0163268	0.0241964	0.0295112	0.362816
