 	è	possibile	che	è	entrato	da	qui	</S>
i	0.93451	0.057741	0.00717389	0.000147078	3.41656e-06	4.23125e-06	1.69007e-05	0.000403521
s	0.407371	0.543355	0.0378758	0.0105329	0.000758614	5.69079e-05	2.97177e-06	4.73352e-05
o	0.0449316	0.639114	0.205807	0.0823476	0.00952773	0.00718646	0.00031692	0.0107682
g	0.0424869	0.943097	0.01095	0.00204182	0.00103574	0.000353591	1.40797e-05	2.10874e-05
g	0.0152581	0.765684	0.113257	0.0474481	0.0278191	0.00615755	0.000697384	0.023679
è	0.0214069	0.283238	0.114114	0.0371818	0.489864	0.0234404	0.00843208	0.0223233
s	0.00843444	0.0928576	0.41738	0.272051	0.204806	0.000393805	0.00121458	0.00286246
t	0.033807	0.523592	0.423887	0.0137476	0.00444998	4.65818e-05	0.000126357	0.000343598
e	0.00180937	0.0367659	0.183827	0.196342	0.218331	0.00691632	0.0425103	0.313497
k	0.00441943	0.172334	0.763064	0.0533645	0.00083833	0.00505326	0.000625511	0.000300673
a	0.00128768	0.378768	0.494291	0.0381379	0.0570086	0.00580576	0.00502156	0.0196796
m	0.000513181	0.148912	0.668691	0.0581245	0.0943352	0.010349	0.00181333	0.0172614
b	0.00138453	0.0873894	0.605318	0.0884991	0.172914	0.00885046	0.00505196	0.0305924
ì	0.000341027	0.0629547	0.016688	0.0168755	0.703932	0.0228934	0.021473	0.154842
k	0.00158125	0.00362838	0.145253	0.563436	0.277505	0.000668127	0.00466973	0.00325896
e	0.000717841	0.00142139	0.16979	0.324635	0.502322	0.00020336	0.000546169	0.000364384
a	0.000362896	0.0114406	0.0103713	0.0581816	0.0359208	0.812102	0.00645096	0.0651699
p	0.00168959	0.00160717	0.00450556	0.0446415	0.032304	0.817992	0.0706416	0.0266183
ò	0.000727668	0.00254531	0.00174351	0.00546102	0.0118872	0.706128	0.169376	0.102131
t	0.00212353	0.000532298	0.00256306	0.0239356	0.115723	0.163057	0.594513	0.0975525
t	0.00293025	0.0024219	0.00793068	0.0171863	0.0960552	0.293486	0.571415	0.0085752
u	0.000489765	0.000723085	0.00106034	0.00281974	0.0358439	0.0562553	0.0522941	0.850514
</S>	9.29578e-05	0.000202093	0.000197197	0.000763939	2.85299e-05	0.0556162	0.0146722	0.928427
