 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.94114	0.0531642	0.00170528	6.80621e-05	5.84205e-05	0.000804365	0.0030591
t	0.992659	0.00653334	0.00070555	1.74082e-05	1.37794e-05	3.01889e-05	4.09086e-05
e	0.991699	0.00669954	0.00125766	0.000186345	4.23152e-05	0.000100196	1.4734e-05
k	0.126508	0.873257	0.000186104	3.5621e-05	1.19832e-05	7.52383e-07	6.45309e-07
a	0.109483	0.739623	0.0834803	0.0113676	0.00803409	0.00397985	0.0440328
m	0.0254833	0.963586	0.00742341	0.00106473	0.0016553	0.000124528	0.000662286
m	0.0252972	0.909352	0.0278609	0.00528765	0.00298106	0.00310284	0.0261179
è	0.0446988	0.632828	0.161584	0.0282195	0.0607678	0.0141037	0.0577983
n	0.0249293	0.918234	0.0289412	0.0113138	0.00462858	0.00471157	0.00724202
i	0.105629	0.807493	0.0782187	0.00305113	0.00106714	0.000817595	0.00372351
s	0.00316921	0.192914	0.763999	0.0243496	0.0103266	0.000857186	0.00438474
t	0.00466954	0.0254101	0.755978	0.0813561	0.0743115	0.0160145	0.0422605
o	0.000988384	0.00692834	0.393074	0.234357	0.204251	0.0963378	0.0640632
g	0.000589408	0.0157117	0.768076	0.0721519	0.0569908	0.00819931	0.0782813
i	0.00361735	0.00770627	0.765319	0.109581	0.0414471	0.0169341	0.0553952
a	0.000186714	0.00407087	0.751627	0.129085	0.0433143	0.0049192	0.0667974
r	0.00153158	0.00391282	0.58414	0.333574	0.0378385	0.00489359	0.0341097
d	0.00117478	0.00156635	0.327306	0.336129	0.119139	0.13895	0.0757348
ì	0.000190065	0.00212885	0.0842321	0.107575	0.149233	0.354597	0.302044
n	0.012701	0.0589706	0.0716486	0.499594	0.104724	0.0904421	0.161919
o	0.0497017	0.0486117	0.134991	0.521885	0.134868	0.0524702	0.057472
s	0.000190694	0.000880224	0.0285781	0.146782	0.71182	0.0398096	0.0719386
t	0.000666794	0.000391864	0.0118095	0.0985384	0.484588	0.197625	0.20638
o	0.000322771	0.000243572	0.0291724	0.307064	0.233954	0.308362	0.120881
c	8.67334e-05	0.000225775	0.00548757	0.0536968	0.759009	0.0872285	0.0942658
ì	0.000642613	0.000281856	0.00560198	0.0217031	0.371486	0.472485	0.1278
p	0.00100066	0.00151481	0.00101338	0.00519613	0.15415	0.27307	0.564055
o	0.00180693	0.00179469	0.00491991	0.0179579	0.277237	0.493075	0.203208
</S>	0.000439603	0.00103025	0.00125263	0.01042	0.188566	0.545752	0.25254
