 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
t	0.997222	0.00165319	0.000833033	1.31606e-05	1.27351e-05	1.77132e-06	1.12046e-05	9.62316e-06	5.59184e-06	9.78437e-06	3.07431e-05	0.000197633
a	0.989437	0.0101831	0.000273899	4.44679e-05	2.29313e-05	8.38707e-06	6.94951e-06	3.74266e-06	5.43619e-06	4.03478e-06	2.9583e-06	6.81568e-06
p	0.678511	0.30408	0.0161212	6.73522e-05	0.000686145	0.000423676	1.77043e-05	4.37013e-06	4.95464e-05	3.38951e-05	3.54094e-06	1.75622e-06
e	0.296835	0.477572	0.0207351	0.0828085	0.0299419	0.00401915	0.0204893	0.00851797	0.00543002	0.00277665	0.0162729	0.0346015
d	0.899125	0.0147636	0.0734799	0.00231073	0.00440529	0.00259344	0.000956558	0.000247913	0.00111277	0.000956963	2.80333e-05	1.99324e-05
ì	0.0727324	0.0341936	0.0967305	0.453202	0.0918214	0.0110657	0.074146	0.0327279	0.0355827	0.0227601	0.0213785	0.0536591
a	0.142671	0.132551	0.126655	0.539497	0.011817	0.000354968	0.00914223	0.00420599	0.00297607	0.00251339	0.013117	0.0144991
e	0.0958049	0.0003262	0.895861	0.00358768	0.00212086	0.0015547	7.91024e-05	1.98871e-05	0.000114144	9.78713e-05	0.000148837	0.000285022
s	0.0047648	0.00923736	0.464539	0.435908	0.073244	0.00532643	0.00124139	0.000325735	0.00239034	0.00206422	0.000598506	0.000360108
ò	0.00132353	0.00039806	0.00326942	0.822465	0.0785946	0.00711262	0.0303469	0.0133956	0.0194097	0.0121575	0.00223745	0.00928936
z	0.000141029	0.0081455	0.00426025	0.96592	0.00966992	0.000114993	0.00165675	0.00144387	0.000415944	0.00037993	0.00245814	0.0053942
u	0.0173913	0.0088826	0.121346	0.156338	0.506239	0.152477	0.00385989	0.00125202	0.0092085	0.00597462	0.0121713	0.00485957
n	0.000875904	5.50543e-05	0.00491705	0.026519	0.848335	0.106773	0.0046313	0.000942225	0.00379755	0.00252892	0.000224784	0.000399619
e	0.000887577	0.000696359	0.00156371	0.525872	0.296052	0.0443878	0.0250923	0.0138554	0.0436523	0.0292238	0.00361807	0.0150985
f	0.000456659	5.93936e-05	0.00167084	0.053034	0.720857	0.144974	0.0382696	0.00979509	0.0100814	0.00723593	0.00133837	0.0122271
à	0.00121498	0.000563955	0.000679643	0.233052	0.467783	0.0623064	0.0690534	0.0276469	0.0640865	0.0378059	0.00756512	0.0282419
