 	mi	si	gonfiò	il	dito	</S>
m	0.3993	0.204767	0.0141254	0.0346949	0.0229984	0.324115
u	0.0208054	0.705283	0.0925926	0.0033833	0.00809094	0.169845
b	0.150277	0.828033	0.0204615	0.00112326	3.53733e-05	7.00763e-05
r	0.0351485	0.692985	0.237727	0.0117405	0.00275187	0.0196476
i	0.0294697	0.404028	0.328233	0.0331587	0.0015558	0.203555
s	0.0468413	0.556638	0.315244	0.0589708	0.000901859	0.0214045
t	0.0103807	0.54025	0.375641	0.0297126	0.00311528	0.0409008
ì	0.00741818	0.50193	0.0668756	0.0834508	0.00151434	0.338811
o	0.0327002	0.0384568	0.0537614	0.293954	0.569758	0.0113699
d	0.0256776	0.00538658	0.00201257	0.502967	0.451864	0.0120914
à	0.00388364	0.0421989	0.00388317	0.743092	0.0811874	0.125755
t	0.000720734	0.000401556	0.000294771	0.0462314	0.893138	0.0592132
t	0.00121511	0.00106847	0.00026106	0.129526	0.862144	0.00578467
i	6.6482e-05	0.000919436	0.000866461	0.016749	0.0552042	0.926195
l	0.00124896	0.00334273	0.000334949	0.0861346	0.0803237	0.828615
o	0.000520099	0.00260531	0.000166489	0.129842	0.672889	0.193977
</S>	0.00082703	0.00397363	5.24446e-05	0.0339831	0.0162117	0.944952
