 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
e	0.992458	0.000130747	0.0043501	0.00161725	0.000747247	4.03727e-05	6.74281e-05	3.99859e-05	6.11594e-06	5.45575e-05	2.4378e-06	5.26678e-06	8.11733e-06	1.44529e-05	7.78515e-06	6.02071e-06	6.92493e-06	4.52761e-06	1.66571e-06	3.54509e-05	1.57995e-05	0.000379704
m	0.382334	0.120577	0.146132	0.0579092	0.0966348	0.0157197	0.0474269	0.0346508	0.00639402	0.0353655	0.00064736	0.0019222	0.0102727	0.0204978	0.00381628	0.00285319	0.00187018	0.000618752	5.26642e-05	0.012171	0.00183852	0.000295188
ì	0.350484	0.0939423	0.229939	0.0797014	0.175524	0.0409637	0.000849723	0.00493833	0.00598639	0.000535189	0.000260308	0.00115453	0.00159043	0.000264397	0.00107982	0.00427216	0.00148946	0.000766691	0.00116517	0.0026527	0.000528959	0.00191135
s	0.174274	0.00182475	0.790037	0.0125038	0.0206699	0.000181496	0.000125825	0.000242619	9.77142e-06	7.66197e-06	1.59237e-06	1.9691e-05	1.11115e-05	2.97256e-06	3.29353e-06	1.46913e-05	3.9594e-06	6.94468e-07	1.18942e-05	8.76636e-06	1.02097e-05	3.45894e-05
e	0.525881	0.257426	0.103268	0.0587218	0.0282368	0.00303351	0.0150322	0.00215834	0.000409168	0.000951746	5.90859e-05	5.36041e-05	0.000873165	0.000577441	0.000165927	5.03818e-05	5.31731e-05	4.31855e-05	6.45457e-06	0.000280615	0.00227004	0.000449106
g	0.116527	0.564425	0.111396	0.172583	0.00117629	0.00660681	0.018735	1.12406e-05	0.00137341	0.00102864	0.000302655	6.73109e-06	0.00435248	0.000790275	0.000329359	2.25257e-05	0.000100772	2.0517e-05	4.19147e-06	0.000205386	1.00564e-06	1.13751e-06
a	0.0236724	0.753478	0.054666	0.0794097	0.0361512	0.00654894	0.00884894	0.00450837	0.00240271	0.00163008	0.00184869	0.000723126	0.00149304	0.000989944	0.00139797	0.000937262	0.0021426	0.00056076	0.000725171	0.00191731	0.00220616	0.0137414
p	0.0146822	0.479923	0.0772882	0.273346	0.00184905	0.0109639	0.0861911	0.000431854	0.00845709	0.00660354	0.00540107	0.00118627	0.0130912	0.00624713	0.00525605	0.000672893	0.00307251	0.00178007	6.96184e-05	0.00288205	8.0966e-05	0.000523818
ù	0.0109312	0.357018	0.085294	0.340771	0.072057	0.0280437	0.0333149	0.00376864	0.00796061	0.00271629	0.00624462	0.00213344	0.00762318	0.00181544	0.00331327	0.00146189	0.00327269	0.000912571	0.00148403	0.00252637	0.00108457	0.0262531
m	0.00171897	0.00117275	0.593576	0.21427	0.160767	0.00510044	0.0120605	0.00859609	0.000191713	0.000328818	1.97848e-05	0.000320357	0.000749864	0.000234339	5.87213e-05	7.10089e-05	2.62338e-05	2.10576e-05	8.95969e-06	7.86013e-05	0.000400019	0.00022911
