 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.558643	0.405199	0.0200242	0.00131489	0.000534573	0.000166498	0.000984431	0.0131334
t	0.989657	0.000803813	0.00318468	0.00413083	0.00160422	4.63246e-05	0.000213411	0.000359875
i	0.990427	0.00221536	0.00167504	0.00204591	0.00294687	0.000316243	0.000282685	9.1204e-05
p	0.512639	0.39901	0.0681944	0.0186966	0.0010565	0.000355893	4.11195e-05	6.73561e-06
à	0.0221862	0.0138796	0.464197	0.270096	0.112193	0.0162363	0.0666794	0.0345332
s	0.000844307	0.707325	0.269234	0.00383062	0.00266828	1.23022e-05	0.00410805	0.0119777
t	0.00575956	0.010064	0.955461	0.0276382	0.000370633	4.67503e-05	0.000407564	0.000252046
a	0.0234559	0.0171563	0.386583	0.0537148	0.0148931	0.00209356	0.360546	0.141557
v	0.0089638	0.00875369	0.85846	0.119719	0.00190223	0.00194879	0.000184373	6.75545e-05
à	0.00154648	0.00542345	0.723854	0.106865	0.0523698	0.0122567	0.0347688	0.0629149
l	1.71531e-05	0.00810191	0.958085	0.0189293	0.0022422	1.19329e-05	0.00212033	0.0104926
e	9.47383e-05	0.000697225	0.951628	0.045489	0.00156582	0.000103601	0.000195197	0.000226132
à	0.00053632	0.000378266	0.046354	0.894228	0.0435576	0.0119699	0.000839856	0.00213586
l	0.00032304	0.00127358	0.0143713	0.937272	0.0427882	0.00267775	0.00112365	0.000170274
a	5.85683e-05	0.000250119	0.040983	0.916952	0.0372562	0.000844271	0.00308178	0.00057351
e	0.000212777	0.000118998	0.00422127	0.148232	0.498849	0.313565	0.00825374	0.0265466
t	0.000182816	0.000522487	0.000464092	0.0230542	0.73339	0.200049	0.0338836	0.00845392
è	0.000481123	0.000192021	0.000510217	0.0104125	0.647627	0.212699	0.0476468	0.0804316
l	0.000124227	0.00599684	0.0172516	0.0479443	0.397503	0.0199531	0.345299	0.165927
i	0.000672374	0.00158698	0.0159516	0.0794826	0.724072	0.0698294	0.100704	0.00770134
t	0.00014541	5.85913e-05	0.000357287	0.00741677	0.0729952	0.311738	0.275303	0.331986
à	0.000968504	0.000661149	0.00100594	0.000610977	0.0377926	0.194272	0.480401	0.284289
l	2.66908e-05	0.00105444	0.00321794	0.0022066	0.0202871	0.00151716	0.802909	0.168781
a	0.000392857	0.000798431	0.00559202	0.00468669	0.0455306	0.0496857	0.878283	0.0150306
</S>	7.24145e-05	1.95828e-05	0.000105146	0.0003286	0.0031468	0.0665725	0.203069	0.726686
