 	vado	cercando	un	forno	che	fa	rustici	</S>
p	0.935692	0.0605762	0.00281996	8.26469e-05	1.99602e-05	2.86257e-05	0.000276922	0.000504098
à	0.993403	0.00627437	0.000279894	2.72242e-05	5.83354e-06	5.40642e-06	1.0079e-06	3.65808e-06
o	0.762323	0.22616	0.00853434	0.00062227	0.000414531	0.000389121	1.20589e-05	0.00154481
c	0.112169	0.886216	0.00154061	2.13008e-05	4.03388e-06	1.71463e-05	2.5635e-05	6.88138e-06
e	0.165185	0.78425	0.017477	0.0170135	0.00448072	0.00402515	0.00141922	0.00614909
r	0.00962592	0.982646	0.00459775	0.000132367	0.00157428	0.00138277	3.54382e-05	5.17342e-06
k	0.0147318	0.65439	0.127312	0.0731176	0.047748	0.0373077	0.0187573	0.0266352
è	0.110498	0.350416	0.269317	0.0314068	0.121019	0.0560444	0.0207985	0.0405005
o	0.0158884	0.59884	0.285771	0.0174787	0.00590456	0.0180505	0.0559214	0.00214552
n	0.00490135	0.206003	0.787327	0.000951386	8.90756e-05	0.000266043	0.000308123	0.000153946
t	0.00352452	0.0553033	0.298414	0.280778	0.15467	0.0989781	0.0679532	0.0403788
a	0.00228893	0.0306514	0.106962	0.173899	0.205298	0.0501235	0.101683	0.329094
è	0.000333316	0.0301496	0.81524	0.0440685	0.0672005	0.025892	0.007409	0.0097073
n	0.000504203	0.00428779	0.957243	0.030757	0.00189255	0.00204158	0.00316969	0.000104066
a	0.0017128	0.00804678	0.852234	0.0505379	0.0367587	0.0430734	0.00711396	0.000522264
f	0.000113831	0.00796775	0.135962	0.236222	0.540674	0.0665327	0.00460557	0.00792169
ù	0.00174963	0.00187541	0.0219059	0.324064	0.449509	0.165124	0.0161066	0.0196658
r	0.000888519	0.00188236	0.12727	0.404772	0.0871678	0.036883	0.0144901	0.326646
n	0.000320431	0.000932534	0.0586647	0.555471	0.241855	0.128861	0.0110138	0.00288196
o	0.000114855	8.51231e-05	0.00805666	0.432558	0.0322772	0.0311832	0.0427405	0.452984
k	6.94592e-05	0.000474442	0.00609866	0.166883	0.534771	0.267931	0.0164642	0.00730878
a	0.000159844	0.000150733	0.00134115	0.282974	0.58097	0.070695	0.0105241	0.0531849
k	2.18767e-05	0.000249877	0.000628809	0.0492613	0.691317	0.183448	0.00496204	0.0701114
à	0.000497327	0.000368974	0.00151522	0.0419196	0.515265	0.305554	0.0308814	0.103998
n	0.000471115	0.000378553	0.00205121	0.0442244	0.1046	0.408013	0.0311684	0.409093
n	0.00018165	0.000283661	0.00152239	0.0275481	0.179969	0.737579	0.0485835	0.00433296
i	0.000160594	1.62862e-05	0.000374784	0.154823	0.0562011	0.100193	0.0883794	0.599852
r	8.25417e-05	0.000259381	0.000360594	0.0125148	0.0592989	0.314425	0.555223	0.0578353
ù	6.54938e-05	5.15734e-05	0.000205345	0.0126107	0.115663	0.338915	0.0552186	0.47727
s	0.000326005	0.000296678	0.000685776	0.00195644	0.00939061	0.238839	0.201892	0.546613
t	0.000203806	0.000185409	0.000769713	0.00511598	0.0521472	0.532524	0.391874	0.0171804
i	8.79507e-05	5.67903e-06	5.96663e-05	0.0311795	0.026481	0.0446569	0.0943042	0.803225
k	6.34337e-05	0.000164366	0.000149308	0.0011075	0.00584449	0.0555242	0.881983	0.055164
u	0.000127671	9.41487e-05	0.000318602	0.000635798	0.00934442	0.0478429	0.0660764	0.87556
</S>	2.78727e-05	8.40252e-05	8.45833e-05	0.000435069	0.00270962	0.00936568	0.14376	0.843533
