 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.999988	8.10469e-06	1.71771e-06	9.41884e-07	7.71626e-08	1.35729e-07	1.99365e-08	2.12392e-07	7.19943e-07
a	0.369219	0.0609196	0.486048	0.0539751	0.00226029	0.00827276	0.00992705	0.000604918	0.00877287
r	0.106521	0.846607	0.0111248	0.0279492	0.00614337	0.000120735	0.00119508	0.000328312	1.08397e-05
ì	0.0731561	0.391304	0.400797	0.0962375	0.011287	0.00307357	0.00424875	0.00282209	0.0170739
s	0.276923	0.559024	0.158416	0.00230515	0.000261232	0.00118422	0.000642108	4.43334e-05	0.00119938
a	0.704208	0.239984	0.0248383	0.0237043	0.00334389	0.00048755	0.000415737	0.0024525	0.000566001
e	0.00125876	0.921645	0.0176014	0.0479455	0.0101752	0.000169435	0.000782761	0.000409816	1.22318e-05
N	0.00100267	0.169255	0.71367	0.110197	0.00444341	0.000411776	0.000417871	0.000152088	0.00045124
ì	0.00063139	0.0891632	0.821783	0.0567424	0.00545578	0.00784165	0.00797228	0.00115827	0.00925223
c	0.026504	0.0383699	0.885852	0.0163733	0.00112185	0.0250245	0.000837626	0.00029639	0.0056208
h	0.0316426	0.0908714	0.696782	0.144488	0.0197142	0.00674954	0.00337144	0.00498131	0.00139898
o	0.0430836	0.602198	0.0880396	0.0607235	0.0141786	0.031984	0.0345221	0.069919	0.0553514
e	0.00450412	0.0358038	0.0333365	0.723566	0.120423	0.0176669	0.0283378	0.0136283	0.0227338
n	0.00260969	0.0129148	0.0135154	0.140351	0.197615	0.192381	0.416714	0.0147274	0.00917268
è	0.00132859	0.0110793	0.0242435	0.0201101	0.0182916	0.250736	0.474509	0.0425356	0.157166
c	0.00769303	0.00144959	0.0126329	0.00196258	0.00443506	0.755764	0.112366	0.0147799	0.088917
h	0.0513354	0.0147961	0.0974674	0.0245602	0.0603825	0.182904	0.427033	0.0976416	0.0438797
u	0.00244818	0.00579476	0.000960694	0.00158121	0.0107138	0.0377476	0.409309	0.346805	0.18464
n	0.00247008	0.00320792	0.00136732	0.00513049	0.0394217	0.0253922	0.694865	0.0658418	0.162304
f	0.00791959	0.0127561	0.0241885	0.00399157	0.00890052	0.0810043	0.438199	0.0471686	0.375872
a	0.000138606	0.00161141	0.000838456	0.000882989	0.00756125	0.0803855	0.076943	0.434394	0.397245
m	3.83019e-05	0.000690105	0.000128349	0.000778321	0.00368588	0.0195951	0.0344311	0.70978	0.230873
è	0.00440331	0.00360109	0.00945485	0.00319078	0.00694844	0.0393234	0.256096	0.166769	0.510214
n	0.0219099	0.00522336	0.00905902	0.000232541	0.000235905	0.0491015	0.150757	0.401712	0.361769
a	0.0861504	0.0263197	0.0379691	0.00320782	0.00800667	0.031839	0.537537	0.141626	0.127344
m	1.35952e-05	0.000235043	8.88458e-06	0.000122289	0.000580278	0.000508368	0.00783191	0.888297	0.102403
a	0.00782874	0.00429595	0.0257014	0.0014617	0.00148601	0.020923	0.0113735	0.0644267	0.862503
i	7.16494e-06	0.00015065	1.10056e-05	0.000157992	0.000374871	0.000353448	0.000814583	0.731503	0.266627
</S>	0.00054112	0.000283579	0.000313329	0.000139371	0.000166182	0.000991004	0.000913939	0.0482647	0.948387
