 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
ì	0.903437	0.0938271	0.00161562	0.000193606	2.32901e-05	0.000141546	0.000117956	1.17813e-05	2.11145e-05	0.000611203
t	0.996374	0.00182933	0.000283912	7.00112e-05	2.20042e-05	3.09716e-05	0.000940489	1.90294e-05	3.53004e-05	0.000394805
s	0.997208	0.00224187	0.000293604	0.000114493	1.38274e-05	4.26784e-05	3.7874e-05	3.46284e-07	2.80121e-05	1.9556e-05
e	0.999788	0.000186163	1.04493e-05	1.23075e-05	2.31515e-06	7.43826e-08	6.31605e-08	3.97702e-08	1.96076e-07	3.29071e-08
r	0.0314964	0.935546	0.0302264	0.000110813	0.00195588	0.000653284	6.08365e-07	9.58594e-06	3.98082e-07	3.55388e-07
e	0.189634	0.652925	0.101169	0.0256953	0.0128903	0.00380486	0.000881853	0.00461818	0.00101652	0.00736493
k	0.00359321	0.860087	0.100851	0.0038176	0.0244399	0.006546	0.000114154	0.000463372	3.33072e-05	5.46216e-05
a	0.0529055	0.581687	0.221477	0.0664661	0.0294514	0.0160856	0.00449446	0.0112118	0.00237466	0.0138465
k	0.000386064	0.35741	0.499394	0.0189458	0.09901	0.0207316	0.000659123	0.00208332	0.000164546	0.00121547
à	0.0118811	0.24151	0.524195	0.109383	0.0530211	0.0209093	0.0024613	0.00945529	0.00111505	0.0260688
n	0.0206721	0.119078	0.39974	0.432668	0.0132777	0.00324527	0.00676116	4.96903e-05	0.00141429	0.00309334
n	0.0111833	0.125662	0.801143	0.0422696	0.00700531	0.0113169	0.000191064	2.65768e-05	0.00105194	0.00015024
i	0.00384126	0.0107381	0.018994	0.860152	0.0132403	0.00414031	0.0213315	0.000378238	0.0570959	0.0100884
t	1.49352e-05	0.0153491	0.167086	0.183822	0.548928	0.0809071	0.000481545	0.00274754	0.000150531	0.00051218
s	0.000165344	0.00278344	0.250724	0.661583	0.0609283	0.00819047	0.00217891	0.00520545	0.00234097	0.00590003
ì	8.88048e-05	0.0369056	0.0869834	0.107768	0.369661	0.211097	0.00995666	0.0335338	0.00496716	0.139038
c	0.00252193	0.00517478	0.106349	0.599869	0.150954	0.123993	0.00467912	0.000192313	0.00588194	0.000385088
h	0.0307704	0.00875978	0.182308	0.575746	0.156329	0.0312066	0.00602827	0.000522266	0.00785564	0.000474122
r	0.000392717	0.00211315	0.0352718	0.68501	0.22938	0.0254478	0.0128581	0.000285838	0.00289531	0.00634556
a	0.00243857	0.00802286	0.115008	0.276416	0.209388	0.0726764	0.0309382	0.107772	0.0700735	0.107266
c	4.93494e-06	0.000527304	0.00710748	0.00817686	0.409026	0.542723	0.0142757	0.0150553	0.00114148	0.00196117
e	0.00517366	0.00917314	0.0203022	0.05513	0.241746	0.0739851	0.194549	0.256092	0.0339841	0.109865
e	1.672e-05	0.000446433	0.00196197	0.00435944	0.192824	0.590179	0.105001	0.0610695	0.00482662	0.0393153
n	0.00139483	0.00376151	0.00496665	0.0122301	0.0239728	0.145848	0.302128	0.449569	0.0174214	0.0387073
ì	0.00109498	0.00491877	0.00664045	0.0117003	0.0270799	0.0170237	0.235788	0.576396	0.0190142	0.100344
c	0.00463167	0.000447675	0.000728833	0.0102466	0.00116566	0.00887725	0.875578	0.0017328	0.079598	0.016994
h	0.0477497	0.00678466	0.00920522	0.00879734	0.0042013	0.0307455	0.602528	0.0681035	0.21294	0.00894459
e	0.00102856	0.00439061	0.00945664	0.0489126	0.0389595	0.175561	0.229826	0.0780946	0.157483	0.256288
n	0.000230132	0.00112527	0.00132313	0.00176885	0.00137203	0.0101617	0.00771443	0.892571	0.0254253	0.0583076
a	0.00328315	0.00476173	0.00462637	0.00267332	0.00350583	0.00130808	0.0514181	0.747357	0.0812593	0.0998071
n	1.48523e-05	0.000415793	0.000491829	0.000313126	0.000601241	0.00394377	0.00863734	0.672034	0.185493	0.128056
a	0.00187996	0.00377438	0.00379234	0.00246073	0.00194563	0.000913808	0.0231981	0.59148	0.17277	0.197785
t	2.20977e-05	0.000671549	0.000768517	0.000467471	0.000800999	0.00335542	0.00389913	0.484788	0.207237	0.297991
è	0.000672535	0.00130725	0.00130682	0.00131923	0.000972797	0.000224034	0.00790567	0.364559	0.331166	0.290566
t	0.00307858	0.000174154	0.000168016	0.0012355	2.75333e-05	0.000141482	0.0208527	0.00238328	0.946444	0.0254946
s	0.00412502	0.00194161	0.00202558	0.00113502	0.000488627	0.000550943	0.00383879	0.0844144	0.888081	0.0133991
i	0.00058268	0.000263484	0.000327064	0.0021919	0.000332617	0.000324417	0.0594318	0.0330804	0.122322	0.781144
</S>	1.67469e-05	0.00032306	0.000358564	0.000688262	0.000342898	0.00117896	0.00113883	0.0680798	0.0200904	0.907782
