 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.999954	2.49099e-05	5.2153e-07	2.19818e-07	3.68251e-06	2.48986e-06	1.39639e-05
c	0.998032	9.38503e-06	4.93747e-06	4.01135e-06	0.00130314	0.00013371	0.000513118
h	0.987862	0.000117606	2.70773e-05	1.16442e-05	0.00761965	0.00152105	0.0028413
a	0.887783	0.000309875	0.000370086	0.000261277	0.102785	0.00593977	0.00255049
n	0.446361	0.495595	0.0409863	0.00269302	0.00551822	0.00208715	0.00675891
a	0.611022	0.1156	0.0322303	0.0197494	0.115516	0.00830323	0.0975784
a	0.67531	0.0264056	0.0580567	0.0470916	0.192043	0.000821018	0.000272114
g	0.0111267	0.552914	0.370139	0.0311446	0.0291202	0.000820495	0.00473528
o	0.0506288	0.212976	0.478296	0.0960612	0.108801	0.00522929	0.0480076
r	0.00904507	0.0370411	0.461707	0.187285	0.29079	0.00694647	0.00718529
à	0.0169946	0.166247	0.382155	0.116533	0.124245	0.0218173	0.172008
s	0.000758168	0.000763013	0.00474475	0.00503721	0.896211	0.0500378	0.0424478
o	0.00535675	0.267088	0.324645	0.160517	0.140756	0.0579021	0.0437364
o	2.24798e-05	0.0526091	0.102489	0.736176	0.0934574	0.00552854	0.00971718
s	0.000238839	0.00619716	0.0121737	0.134254	0.824326	0.00946114	0.013349
s	0.0011008	0.00866022	0.0313547	0.217722	0.441658	0.117748	0.181757
o	0.000185721	0.49511	0.157131	0.112794	0.0054585	0.0124608	0.21686
m	0.000678336	0.00823031	0.00458607	0.0131572	0.126534	0.20615	0.640664
ì	0.000456102	0.00832628	0.00443621	0.0230289	0.829037	0.0452921	0.0894232
k	4.41798e-05	2.06598e-05	1.43053e-05	0.000119854	0.421836	0.483346	0.0946187
a	0.00463062	0.00343988	0.00121805	0.00265271	0.0760497	0.821792	0.0902174
m	4.71675e-05	0.00747929	0.00285375	0.00965155	0.00763766	0.472697	0.499633
è	0.00377388	0.000281679	0.000354371	0.000538278	0.00733345	0.496226	0.491493
r	1.74802e-05	8.5574e-07	4.48928e-07	1.5735e-06	0.00349425	0.922273	0.0742121
i	0.000453594	0.000441662	0.00010887	0.00018427	0.00263514	0.71412	0.282056
</S>	1.50196e-05	0.000434348	0.000134022	0.000239535	0.000133059	0.0505922	0.948452
