 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a	0.935745	0.0233106	0.0396779	0.000124889	5.85522e-05	0.000144856	4.99605e-06	9.31838e-06	2.25688e-05	1.20464e-05	7.10866e-05	2.22516e-05	6.12645e-06	3.75899e-05	6.79566e-05	0.000684124
n	0.920123	0.0750103	0.00101889	0.000590162	0.00106294	0.000430352	1.51721e-05	0.000281692	0.000351452	0.000187355	0.000753892	4.41869e-05	3.55509e-05	7.60985e-05	8.06912e-06	1.11398e-05
ì	0.00404469	0.983387	0.00234865	0.000360166	0.000920561	0.00446263	4.51399e-05	0.000202893	0.00132147	0.000327627	6.8081e-05	0.000452633	0.000900475	0.000138218	0.000286375	0.000733416
c	0.00125437	0.998406	4.92406e-05	3.01768e-05	5.2769e-05	0.000103573	9.63912e-07	1.66463e-06	2.26596e-05	2.58714e-06	8.21169e-07	2.61438e-05	7.88506e-06	2.57196e-06	1.60807e-06	3.66276e-05
h	0.0270478	0.964361	0.00472054	0.0025417	0.00100034	0.000163314	2.65985e-06	2.8369e-05	2.43646e-05	6.03846e-06	2.25301e-05	2.11923e-06	7.13336e-06	3.00669e-06	3.53274e-06	6.56401e-05
a	0.0134345	0.939638	0.0055738	0.0213816	0.01748	0.00089916	4.93497e-05	0.000736175	0.000333444	0.000118974	0.000102191	6.93322e-05	0.000112435	2.36873e-05	1.64711e-05	3.05475e-05
t	0.0254407	0.140703	0.632459	0.167394	0.0286753	0.000490986	0.000233665	0.00180921	0.000598026	0.000235876	0.000208935	4.7774e-05	0.000908753	7.24192e-05	3.64885e-05	0.000685646
o	0.000382305	0.546552	0.330668	0.055147	0.0311233	0.0156727	0.000974322	0.00330312	0.00390545	0.00158282	0.000419898	0.00186563	0.00181743	0.00150756	0.00138094	0.00369694
r	0.0035415	0.0175644	0.291511	0.453093	0.197766	0.0016402	0.000901238	0.0162128	0.00343457	0.0062591	0.00528804	0.000431649	0.000599161	0.00149648	0.000168156	9.28436e-05
ì	0.00122499	0.414827	0.134421	0.0950161	0.127019	0.107615	0.00422476	0.0151588	0.0250606	0.00729367	0.00402618	0.0124887	0.00690411	0.00951576	0.0113622	0.0238421
s	0.000853977	0.499914	0.014152	0.135114	0.0576458	0.24413	0.000292363	0.00334892	0.00804693	0.0044118	0.00111674	0.00813111	0.000153573	0.00100217	0.00104026	0.0206463
o	0.00939058	0.0952025	0.267719	0.502515	0.0864082	0.0222258	0.0016888	0.0077792	0.00391097	0.000948754	0.00066066	8.83646e-05	0.000533952	0.000134251	0.000196365	0.000597103
n	0.000465007	0.000133033	0.0213358	0.34351	0.57947	0.00190955	0.00661916	0.0323776	0.00317985	0.00706761	0.00312784	7.90536e-05	0.000359532	0.000280851	4.19513e-05	4.2953e-05
t	0.000899535	0.0312768	0.0300132	0.187398	0.411521	0.177706	0.0162319	0.0429244	0.0389133	0.013373	0.0021143	0.0129302	0.00615345	0.00783772	0.00529576	0.0154111
a	0.000393803	0.0041417	0.231996	0.225041	0.134743	0.0149138	0.117058	0.0665851	0.0119478	0.0619649	0.00802739	0.00554419	0.00286291	0.0260662	0.0443971	0.0443171
o	0.000314202	0.00025644	0.0109057	0.211539	0.665917	0.00402723	0.0105196	0.0429601	0.00571567	0.0184168	0.00929614	0.00153732	0.00187294	0.00560764	0.00215824	0.00895577
c	0.000247738	0.00131522	0.000442855	0.00847398	0.880518	0.0695245	0.00496599	0.0191964	0.00678443	0.00211092	0.000969546	0.000636693	0.0023643	0.000514156	0.000324145	0.00161154
e	0.000681472	0.00588428	0.00479159	0.0478058	0.730096	0.0829307	0.0189772	0.0551936	0.019143	0.00741074	0.00269021	0.00273029	0.010912	0.00179736	0.00459402	0.00436152
r	0.000292623	0.000175527	0.00212396	0.0328016	0.762458	0.0135336	0.0358387	0.0797658	0.00543871	0.0291075	0.0122669	0.00145273	0.00135447	0.00601111	0.00184897	0.01553
ò	0.000709401	0.0163538	0.0024193	0.0142984	0.229416	0.370626	0.03214	0.118093	0.0588852	0.030714	0.0055352	0.0178018	0.0146632	0.00821097	0.0485191	0.0316151
ì	3.42547e-05	0.00368133	2.54361e-05	0.000775328	0.0441965	0.914382	0.000359404	0.0045761	0.00761018	0.00375743	0.00051469	0.00165575	9.39151e-05	0.000264485	0.00157864	0.0164941
c	0.00402394	0.00171568	0.000229126	0.00644261	0.24601	0.52113	0.110103	0.0753531	0.0181167	0.00251152	0.00276335	0.0017334	0.00159003	0.000291004	0.000233578	0.00775362
h	7.68775e-05	0.0142736	6.45898e-05	0.000193752	0.00984717	0.937061	0.00827101	0.00999675	0.0157033	0.002705	0.000178651	0.000611797	0.00047107	0.000203423	0.0002031	0.000138411
a	7.76619e-05	0.000316258	0.000123175	0.00283573	0.197276	0.647368	0.0430804	0.0617907	0.0218846	0.0146856	0.00411539	0.000946101	0.000901659	0.000366287	0.00079611	0.00343579
t	8.47381e-05	0.000103435	3.20688e-05	0.000123115	0.00695836	0.116461	0.275702	0.452885	0.101196	0.0238779	0.00245697	0.0046504	0.0119624	0.000624418	0.00043736	0.00244461
o	2.92554e-05	0.000594804	6.20574e-05	0.000114634	0.00364145	0.370787	0.24357	0.137176	0.0863202	0.0786429	0.00156373	0.0287406	0.00627176	0.0108864	0.0146571	0.0169419
r	3.36082e-05	2.20046e-05	8.16052e-06	2.76489e-05	0.00415397	0.026101	0.123859	0.639032	0.057803	0.129113	0.00749279	0.00366133	0.00210489	0.00299144	0.000650827	0.00294511
ì	0.000168831	0.00515901	0.000124727	0.000110469	0.00303822	0.252785	0.108235	0.141919	0.134008	0.118706	0.00613119	0.0606012	0.00641202	0.0374364	0.0716769	0.0534884
s	2.15236e-05	0.00159972	2.69118e-06	1.26265e-05	0.000934018	0.890483	0.00334005	0.0240591	0.0407704	0.0112574	0.00204257	0.00398046	0.00024998	0.00052658	0.00104133	0.0196781
o	0.000275198	0.00435339	0.000124807	0.000136609	0.00348665	0.361327	0.124027	0.166125	0.232258	0.0388053	0.0103258	0.012424	0.0181373	0.00879449	0.0123404	0.00705952
n	2.67102e-05	2.32491e-06	2.09086e-05	7.96758e-05	0.00134718	0.00138573	0.110718	0.451528	0.146937	0.224997	0.0319483	0.00296711	0.0221279	0.00441009	0.000533865	0.000970501
t	7.08336e-05	0.00117483	4.79561e-05	3.70458e-05	0.000508157	0.0448706	0.0590221	0.149302	0.34495	0.179211	0.00706692	0.121888	0.011085	0.0284393	0.0271251	0.0252013
a	5.73929e-05	0.00020347	0.000865148	0.000822477	0.00285317	0.0187059	0.557271	0.0639188	0.0359244	0.123279	0.0101979	0.0214624	0.0038109	0.0300093	0.073735	0.0568831
