 	mi	si	gonfiò	il	dito	</S>
m	0.3993	0.204767	0.0141254	0.0346949	0.0229984	0.324115
u	0.0208054	0.705283	0.0925926	0.0033833	0.00809094	0.169845
p	0.150277	0.828033	0.0204615	0.00112326	3.53733e-05	7.00763e-05
r	0.0418024	0.726885	0.206276	0.00851282	0.00185938	0.0146653
ì	0.031669	0.454353	0.325019	0.0374006	0.0014246	0.150134
s	0.0468349	0.0868228	0.73115	0.0452101	0.0872471	0.00273509
t	0.0799725	0.210918	0.581009	0.0685376	0.05251	0.00705306
i	0.000376732	0.0627263	0.287241	0.0202089	0.0637764	0.565671
t	0.00964423	0.0782769	0.0310153	0.852368	0.00904425	0.0196516
o	0.00161635	0.0340755	0.0204911	0.727407	0.0410277	0.175382
d	0.00109126	0.0113978	0.000409483	0.886075	0.00517224	0.0958547
à	0.00265002	0.0425442	0.00215907	0.767536	0.0430317	0.142079
t	0.00137259	0.000745774	0.000505542	0.0649019	0.863382	0.0690919
t	0.00137012	0.00119994	0.000319895	0.0958406	0.89537	0.00589935
i	0.000102611	0.00116026	0.000846821	0.0102214	0.0357293	0.95194
l	0.00119895	0.00360146	0.000323038	0.0791662	0.0546615	0.861049
o	0.000608144	0.00318611	0.000204635	0.11285	0.676718	0.206433
</S>	0.00108383	0.00449222	5.42017e-05	0.0472964	0.0218202	0.925253
