 	li	vestono	i	genitori	</S>
t	0.939265	0.0170358	0.000303267	0.02202	0.0213762
u	0.979193	0.00435856	0.000656323	0.0105175	0.00527438
s	0.769158	0.230018	0.000559561	0.000243235	2.11459e-05
i	0.0255986	0.0312304	0.0940632	0.593693	0.255415
n	0.56	0.413791	0.0127816	0.00824359	0.00518381
d	0.0132935	0.0296532	0.133759	0.636485	0.18681
ì	0.0213999	0.00401296	0.0787132	0.665351	0.230523
n	0.0365721	0.736306	0.0216939	0.147241	0.0581871
n	0.0577546	0.867159	0.0416378	0.0275461	0.00590216
o	0.000544105	0.000568031	0.00160808	0.817386	0.179893
n	0.0161308	0.26508	0.271446	0.351423	0.095921
e	0.00047581	0.00871192	0.613267	0.210293	0.167252
i	0.00139327	0.0398324	0.798185	0.0818758	0.0787132
g	0.000666839	0.00838691	0.231645	0.665392	0.0939094
e	0.000654819	0.00163973	0.137181	0.799155	0.0613688
n	0.00104116	0.00945244	0.304182	0.347468	0.337856
i	0.000697124	0.00106487	0.111283	0.745276	0.14168
t	0.00102675	0.00505501	0.23545	0.396031	0.362438
ò	0.00010173	0.000163278	0.0307745	0.842472	0.126489
r	0.000329284	0.00122524	0.0029314	0.689397	0.306117
i	0.00055683	0.00215308	0.0101777	0.947713	0.0393997
</S>	0.00165261	0.00481801	0.0328026	0.450597	0.51013
