 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a	0.994255	0.00362068	0.00179292	1.58175e-05	1.49221e-05	2.99909e-05	6.38002e-06	4.63459e-06	1.02731e-06	6.59754e-06	6.16764e-06	3.5491e-06	3.75293e-05	0.000205053
p	0.41618	0.561055	0.0192545	0.00093619	0.0013168	0.000457487	0.000153107	0.000449473	2.19921e-05	2.52139e-05	1.1394e-05	5.63781e-05	6.59588e-05	1.63586e-05
e	0.121508	0.836908	0.0102157	0.0178887	0.00519489	0.000426628	0.00194594	0.00121594	0.000166555	0.000474993	0.000382325	0.000281421	0.000740024	0.00265142
t	0.86064	0.0409516	0.0886754	0.00182785	0.0041347	0.00174992	3.57039e-05	0.00129819	0.000567081	4.02795e-05	1.35381e-05	5.21433e-05	1.19543e-05	1.72514e-06
ì	0.193038	0.0203379	0.0538652	0.375949	0.0933755	0.0180822	0.0297813	0.0769261	0.0208273	0.0272938	0.0121566	0.0152059	0.0130805	0.0500803
a	0.101117	0.309385	0.104954	0.380847	0.00284107	0.000818562	0.0797408	0.00131153	1.65184e-05	0.00240181	0.00232406	0.00122557	0.00118552	0.0118311
e	0.0693692	0.000186303	0.917578	0.004677	0.00674455	0.000625815	0.000157773	0.000226207	8.35723e-05	2.13968e-05	1.33924e-05	1.12859e-05	0.000117664	0.000187649
s	0.0039963	0.00438497	0.60652	0.308748	0.0601674	0.011818	0.000736192	0.00256919	0.000584971	8.33483e-05	4.68559e-05	7.6422e-05	0.000150306	0.00011885
ò	0.0015911	0.000638578	0.00723206	0.815268	0.045396	0.017187	0.0491192	0.0249882	0.00479611	0.0109755	0.00426649	0.0070252	0.00336815	0.0081489
z	0.000360387	0.0207825	0.0145143	0.885872	0.0126395	0.00421421	0.0537154	0.00054802	3.48021e-05	0.000802374	0.00115435	0.000229254	0.000566546	0.00456586
u	0.0158714	0.00547705	0.146846	0.110088	0.587915	0.08838	0.0127682	0.0129253	0.0108453	0.000554817	0.000376521	0.000264695	0.00496351	0.00272481
n	0.000742172	4.16969e-05	0.0049765	0.0297913	0.849294	0.0951924	0.00275365	0.00880805	0.00698329	0.000514434	0.000174416	0.000294105	0.000330635	0.000102918
e	0.00105037	0.000754717	0.00235177	0.439694	0.287343	0.0601206	0.1244	0.0346459	0.0128795	0.00737558	0.00319293	0.0082608	0.00288488	0.0150449
f	0.000345773	4.56259e-05	0.0014788	0.0530785	0.717305	0.160575	0.0247393	0.0139269	0.0103458	0.0068206	0.00201496	0.00232348	0.00168553	0.00531489
à	0.00114906	0.000530581	0.000730129	0.222531	0.37554	0.0294748	0.237782	0.0580304	0.0146219	0.0156757	0.0059351	0.0138734	0.00527389	0.0188531
i	0.000145165	0.0243535	0.000734022	0.362458	0.247624	0.0109984	0.308943	0.00669943	0.000162241	0.00211079	0.0022108	0.000676858	0.00525998	0.0276241
e	0.000743559	0.000252036	0.000977017	0.00109	0.847754	0.0666329	0.0290837	0.0272974	0.0234325	0.00055756	0.000255697	0.000203549	0.000438937	0.00128092
s	0.000232139	0.000365664	0.000426684	0.00382189	0.309314	0.253947	0.325459	0.084471	0.0114963	0.00485105	0.00152967	0.00108776	0.0016777	0.00131997
ò	0.000372075	0.000166702	0.000198884	0.0163416	0.10594	0.0210277	0.587353	0.124805	0.032669	0.0420476	0.0161342	0.014015	0.0152901	0.023639
z	4.9937e-05	0.0162665	0.000191433	0.00843619	0.0212737	0.00744563	0.874128	0.0337847	0.000411572	0.00283987	0.00242852	0.000565626	0.00468493	0.027494
u	0.00125796	0.00294253	0.00255058	0.00422077	0.168567	0.0624408	0.12091	0.502555	0.0979417	0.00475164	0.00184752	0.00370042	0.0160169	0.0102974
n	9.82486e-05	1.68727e-05	0.000123963	0.000136344	0.0156819	0.0344837	0.0117008	0.650002	0.264206	0.0161049	0.00238911	0.00194349	0.00160254	0.00151087
f	0.000458964	0.000273069	0.000247079	0.00320696	0.00786293	0.0128174	0.397655	0.373146	0.0872392	0.0338756	0.00943032	0.0360577	0.0091516	0.0285781
à	0.00022723	0.000114654	7.11368e-05	0.00518044	0.0111285	0.00452897	0.17457	0.242948	0.0879082	0.155268	0.0641636	0.0372993	0.0369074	0.179685
i	0.000140126	0.0125836	0.000125181	0.00677644	0.00304584	0.000840179	0.67894	0.117935	0.000762602	0.0126795	0.00736271	0.00281893	0.066321	0.0896691
o	0.000274948	0.000172078	0.000271088	3.51766e-05	0.00179404	0.00364388	0.00240739	0.372589	0.579986	0.0249654	0.00575255	0.00359379	0.00151069	0.00300386
g	0.000226574	0.000511581	0.0003194	0.000349097	0.00174486	0.00652911	0.0414351	0.511122	0.247804	0.138315	0.0246916	0.00927619	0.0117245	0.00595034
e	0.000296987	0.000195605	0.000135454	0.00101038	0.00139106	0.00364175	0.0489899	0.291638	0.152204	0.306768	0.080436	0.0282678	0.0389381	0.0460862
l	0.000106548	4.07282e-05	0.000171218	5.17884e-05	0.00027627	0.00369852	0.00191123	0.117559	0.190143	0.483075	0.0812805	0.0597613	0.0102831	0.051642
à	0.000500311	0.00032912	0.000228061	0.00195993	0.000877924	0.00131854	0.0148106	0.0717491	0.0813595	0.353578	0.0953559	0.15015	0.0957286	0.132054
o	0.000121645	0.0193675	0.000216042	0.00182619	0.000301902	0.000373306	0.0209095	0.133722	0.00411251	0.22661	0.10406	0.0334052	0.189394	0.265581
p	0.000663216	0.000455211	0.00059814	8.55794e-05	0.000771235	0.000763804	0.000152048	0.0281206	0.205207	0.16501	0.184976	0.253146	0.128176	0.0318745
r	0.000154932	8.47617e-05	3.30128e-05	0.000683211	0.000270067	0.000245658	0.0066205	0.0507539	0.0630638	0.327581	0.118747	0.113877	0.127248	0.190637
ò	9.19124e-05	5.89529e-05	7.26522e-05	0.000123098	0.00030989	0.00173756	0.00253608	0.043091	0.0279975	0.307097	0.109502	0.0368735	0.167489	0.30302
p	0.0001956	0.00125885	0.000524767	0.000246863	0.000203756	0.000621673	0.000322164	0.00702825	0.00928496	0.0512351	0.0956421	0.128231	0.638655	0.0665499
p	0.000543918	0.000521045	0.000227204	0.00057775	0.000679126	0.000419487	0.000682699	0.0228646	0.0316932	0.0837692	0.0744743	0.449352	0.313249	0.0209462
i	8.76911e-06	0.000214754	2.51762e-06	0.000335586	2.41209e-05	1.40977e-05	0.00332147	0.00834414	0.000992094	0.16591	0.155366	0.0106086	0.519303	0.135555
f	4.06838e-05	1.6546e-05	4.01119e-05	1.40353e-05	5.1231e-05	0.00011866	2.86707e-05	0.00114055	0.0089384	0.0514285	0.176381	0.284896	0.382013	0.0948927
à	0.000187862	8.48365e-05	4.23511e-05	0.000677957	0.00021041	8.75921e-05	0.00107813	0.00202554	0.00598311	0.0279103	0.0368704	0.419933	0.245517	0.259391
i	2.35668e-05	0.00567223	5.70461e-05	0.000490178	2.8278e-05	2.12754e-05	0.00050345	0.000815803	0.000195008	0.0169242	0.0586762	0.0842559	0.664715	0.167622
</S>	0.000312354	0.000203356	0.000259532	7.74293e-05	0.000275411	0.000184294	3.95977e-05	0.000795873	0.00700581	0.00736164	0.029344	0.161859	0.561851	0.230431
