 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.970997	0.0128917	0.000474402	0.0153037	7.33947e-06	8.37656e-06	6.59452e-06	2.27626e-06	2.65012e-05	8.25762e-05	0.00019957
d	0.997955	0.000593838	0.00078941	0.000168373	6.60775e-05	0.000221353	9.63468e-05	3.36087e-06	2.33319e-05	2.84026e-05	5.43494e-05
ì	0.998494	0.000954138	0.000296828	0.00020474	1.55429e-05	1.41352e-05	1.18237e-05	2.2341e-06	4.02645e-06	2.71612e-06	1.90269e-07
s	0.115855	0.412637	0.0283274	0.424067	0.00025755	0.0126383	0.00247001	6.22734e-05	0.000134872	4.42612e-05	0.00350586
o	0.693816	0.200706	0.0792199	0.0234421	0.00208082	3.0913e-05	7.3556e-06	2.75343e-06	0.000122743	0.000387683	0.000183717
n	0.0496287	0.663326	0.285901	0.00048888	0.000566092	2.71906e-06	2.94187e-06	6.73509e-06	6.09074e-05	1.58974e-05	1.60665e-07
t	0.208347	0.368443	0.275975	0.0906379	0.00399839	0.0289898	0.00739478	0.00305665	0.00305704	0.00226032	0.00783998
a	0.289508	0.368096	0.166167	0.00504816	0.0245793	0.00776914	0.0130222	0.013576	0.0088456	0.0497173	0.0536717
o	0.0550603	0.220733	0.714723	0.00172775	0.00294674	0.000375462	0.000396119	0.000335746	0.00187791	0.00168539	0.000138557
n	0.00158199	0.00591263	0.934337	0.0529179	0.00190794	0.00132578	0.000281786	0.000204305	0.000353352	0.000269614	0.000907246
a	0.00867202	0.0222082	0.871535	0.0517315	0.0123082	0.0115192	0.00754516	0.00300299	0.00117793	0.00240951	0.00789013
d	0.000812273	0.0140961	0.930564	0.00933652	0.0121157	0.0013487	0.00153304	0.00113897	0.0057616	0.0191104	0.00418308
e	0.0082229	0.0155957	0.64027	0.121672	0.0209249	0.0802427	0.0339698	0.00774161	0.00620966	0.0235391	0.0416112
r	0.00184036	0.0361328	0.768427	0.0205707	0.0833037	0.0029602	0.00383435	0.0064708	0.0142688	0.049879	0.0123118
f	0.0124306	0.0211377	0.531936	0.201526	0.0675396	0.0671448	0.0280894	0.00951842	0.0041681	0.018523	0.0379859
ò	0.0157185	0.123378	0.235104	0.00922472	0.143521	0.071483	0.0386757	0.0226136	0.0266741	0.259003	0.0546041
m	0.000775041	0.00112462	0.0114118	0.942423	0.00323846	0.0132251	0.00328999	7.94629e-05	0.0141169	0.00837449	0.00194096
m	0.00251537	0.000341607	0.00975344	0.98	0.00222819	0.00254119	0.000305862	6.51423e-06	0.000316763	0.000646726	0.00134437
u	0.000801595	3.07767e-05	0.00465355	0.623154	0.00103666	0.039182	0.0149776	7.39945e-05	0.0311434	0.0312456	0.253701
o	0.000172263	0.00445054	0.0505463	0.00221748	0.873486	0.00562019	0.00237088	0.00977047	0.00861163	0.0359202	0.00683365
n	0.000195566	9.08067e-05	0.00197075	0.010861	0.719772	0.246246	0.00892818	0.00185524	0.00111934	0.000754878	0.00820601
ì	0.000397608	0.000129018	0.000530791	0.00194773	0.0931655	0.768721	0.0792142	0.00828342	0.0102689	0.0113648	0.0259768
c	0.000149417	2.90972e-05	0.000130595	0.267885	0.0112854	0.605708	0.0307792	6.65401e-05	0.0172973	0.0048121	0.0618572
h	0.00113563	0.000325517	0.000824072	0.0258658	0.146355	0.740604	0.0342887	0.00448731	0.0134991	0.0180704	0.0145443
a	0.000833297	0.0014546	0.00399947	0.00325805	0.416582	0.190329	0.075032	0.00604149	0.0765174	0.170037	0.0559149
p	0.000333717	0.000147873	0.000414328	0.000206422	0.0522901	0.486343	0.32057	0.117208	0.00501052	0.00240152	0.0150744
à	0.00017416	6.18338e-05	0.000147278	0.000409879	0.00548824	0.81968	0.117	0.0126063	0.0111035	0.0115577	0.0217711
r	6.88458e-05	6.43553e-06	1.19187e-05	0.0159638	0.000351357	0.67836	0.197971	0.00044311	0.0323617	0.00477947	0.0696827
o	0.000396005	0.000132613	0.000262005	0.00256756	0.0113418	0.619357	0.205509	0.0463365	0.0469391	0.0461813	0.0209769
n	7.41187e-05	0.000138239	0.000232461	1.27846e-05	0.0223487	0.0284495	0.212655	0.323469	0.2463	0.148338	0.0179827
t	0.000189395	7.41281e-05	0.000178552	0.000956382	0.00114616	0.49051	0.234225	0.0826432	0.0470836	0.0360886	0.106904
a	0.000327574	0.000475984	0.000184751	1.90148e-05	0.0328992	0.151723	0.133731	0.180512	0.0248753	0.337005	0.138248
d	6.85815e-05	4.5547e-05	0.000124831	8.07256e-06	0.00277043	0.0642747	0.361761	0.280391	0.0765652	0.110008	0.103983
e	0.000172387	2.96487e-05	7.19453e-05	0.000163333	0.000979367	0.131942	0.48948	0.0712965	0.0242041	0.0856176	0.196043
f	0.00012632	0.000103769	0.000147648	7.00211e-06	0.00261127	0.00678601	0.132454	0.37009	0.0938314	0.238197	0.155646
ò	0.00144888	0.000356859	0.000463358	0.00116953	0.00122388	0.0654729	0.244043	0.305329	0.0757537	0.122401	0.182338
r	0.000209051	8.70387e-06	2.78984e-05	0.0058003	3.7722e-05	0.0340834	0.195717	0.00298184	0.349281	0.101725	0.310128
e	0.000539313	0.000111328	0.000257116	0.00178861	0.000866689	0.022612	0.130877	0.108927	0.25734	0.407622	0.0690584
