 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.973559	0.00588354	0.00589856	0.00174007	0.00209505	0.000665529	0.00242604	0.00773239
n	0.726229	0.224346	0.0455595	0.000932271	0.00206956	0.000559339	0.000288534	1.59307e-05
è	0.0121579	0.00680532	0.724645	0.0079696	0.216614	0.0269777	0.00113398	0.00369649
r	0.00289916	0.00274166	0.914414	0.00206572	0.0757125	0.00189267	1.0109e-05	0.00026456
t	0.0277302	0.441324	0.513759	0.0155416	0.000515981	0.000391708	0.000395559	0.000342126
i	0.000831761	0.0289869	0.612643	0.0240521	0.133702	0.0436752	0.0199639	0.136145
s	0.00355119	0.0800382	0.747542	0.168364	0.000233166	0.000107238	0.000163384	8.38794e-07
t	0.00115931	0.056567	0.870902	0.0216393	0.024644	0.00970644	0.00255059	0.012831
e	0.0104178	0.157755	0.497072	0.211497	0.0212866	0.00256137	0.0285824	0.0708279
s	0.00305743	0.0233313	0.720019	0.205378	0.0331527	0.0039568	0.0054874	0.00561734
e	0.00757604	0.0709021	0.566765	0.165077	0.134478	0.0152062	0.00841597	0.0315797
t	0.00448229	0.273943	0.0808323	0.453824	0.0659351	0.00822443	0.0694125	0.0433464
t	0.00098078	0.26789	0.0776329	0.416259	0.109833	0.030249	0.0651444	0.0320111
à	0.00481332	0.37472	0.0476103	0.0330044	0.0172111	0.00486601	0.352821	0.164954
e	0.000577735	0.0477063	0.0183185	0.0160579	0.610364	0.195726	0.0838516	0.0273981
v	0.0077122	0.0458951	0.0153596	0.0225391	0.210847	0.636111	0.0483405	0.0131962
ò	9.81809e-05	0.000989586	0.00753088	0.00107402	0.531308	0.232221	0.111605	0.115173
s	1.94886e-05	0.00014094	0.00063302	6.85061e-05	0.361882	0.489053	0.030917	0.117287
t	0.000640326	0.00157943	0.00193195	0.000508326	0.0512002	0.833596	0.0701622	0.0403812
e	3.53057e-06	0.000203306	0.000382987	0.000159544	0.035359	0.0830948	0.106073	0.774724
m	0.000193035	0.000762552	0.000212135	0.000746722	0.00210228	0.136574	0.823061	0.0363482
a	0.000811183	0.000675553	0.00393018	0.000261482	0.0197362	0.14255	0.206449	0.625587
r	0.000186672	0.0002624	0.000190036	9.61059e-05	0.000125047	0.00400039	0.789794	0.205345
è	0.000202859	0.000306393	0.000696319	9.87112e-05	0.000474533	0.0215353	0.378066	0.59862
o	0.000202502	0.000209047	0.00145237	5.18659e-05	0.00169631	0.0479855	0.593865	0.354537
</S>	0.000781245	0.00130152	0.0010098	0.000459301	0.00030333	0.00444539	0.488471	0.503229
