 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
e	0.318868	0.6803	0.00049429	2.90633e-05	4.79225e-06	2.58913e-06	9.71652e-05	0.000204702
m	0.310396	0.641226	0.0473082	0.000103727	0.000105892	0.000159688	0.000684751	1.55911e-05
a	0.128309	0.201805	0.518673	0.0518154	0.0462233	0.0175196	0.0139349	0.0217196
r	0.356673	0.634348	0.00756978	0.000149716	6.19893e-05	0.00104638	0.000140036	1.15272e-05
a	0.116815	0.537104	0.164604	0.0906013	0.0115652	0.0209752	0.0123332	0.0460021
n	0.259651	0.601167	0.106092	0.00571305	0.00105735	0.0161498	0.00674701	0.00342226
g	0.129981	0.642789	0.172612	0.0186013	0.00131414	0.0084053	0.00282744	0.0234694
i	0.187554	0.126325	0.222831	0.260414	0.0304138	0.0705101	0.0340108	0.0679416
à	0.0707747	0.303314	0.166666	0.139973	0.0180658	0.115645	0.0812336	0.104328
n	0.000185548	0.122732	0.800517	0.0315669	0.0329775	0.000226069	0.00185084	0.00994384
e	0.000556974	0.0757644	0.754695	0.0275866	0.132049	0.000804357	0.00468952	0.00385411
è	0.0294112	0.218809	0.670788	0.0291509	0.00324519	0.0394437	0.00608743	0.00306432
n	0.000151366	0.00565153	0.990189	0.00161032	0.00209355	6.72988e-05	0.000165411	7.20375e-05
e	0.00184702	0.0628344	0.65622	0.0900736	0.152733	0.011718	0.0229302	0.00164423
s	0.00229641	0.0256058	0.328666	0.363945	0.082971	0.149657	0.0225174	0.0243414
e	0.000220792	0.00138841	0.0111182	0.943126	0.0121957	0.013951	0.00819225	0.00980772
g	0.000470139	0.00215946	0.0336073	0.740976	0.103384	0.0610826	0.0123533	0.0459673
i	0.000378144	0.00108087	0.00362337	0.885757	0.0517418	0.0219592	0.012096	0.0233635
r	0.000410805	0.00115525	0.0107608	0.59702	0.22279	0.0853928	0.0102355	0.0722346
è	0.000243088	0.00086151	0.00485405	0.711198	0.148441	0.0398768	0.0280991	0.066426
t	9.72431e-06	0.00040075	0.00215802	0.010917	0.938994	0.00126428	0.020201	0.026055
s	0.000125431	0.00081256	0.0033183	0.0209735	0.878087	0.0454064	0.0445766	0.00670008
i	4.11582e-05	0.000103751	0.00207793	0.00113124	0.191016	0.00888518	0.38933	0.407415
d	0.000310952	0.00062358	0.00389813	0.0428081	0.0168829	0.726433	0.0657369	0.143307
ò	0.000133716	0.000284878	0.000542748	0.13421	0.502857	0.161203	0.0419853	0.158784
p	5.61149e-06	0.000169163	0.000460971	0.00240361	0.892262	0.00628625	0.0579379	0.040475
u	0.000116654	0.00075956	0.0012424	0.0161209	0.558485	0.229152	0.163745	0.0303781
e	0.0001472	0.000228107	0.000333795	0.00107769	0.00862669	0.809704	0.149169	0.0307135
m	0.000132775	0.000649629	0.000633715	0.00311388	0.0124589	0.62527	0.247353	0.110388
a	0.000822543	0.00095262	0.000695822	0.0329921	0.0292623	0.465384	0.235503	0.234387
r	0.000196202	0.000401206	0.000327141	0.00404046	0.00218139	0.330733	0.259608	0.402513
è	0.000272713	0.0005725	0.000466452	0.0109237	0.00660249	0.157014	0.345007	0.479141
i	2.03852e-05	0.000281286	0.000370172	0.000156997	0.0384669	0.00968945	0.835677	0.115338
</S>	0.00114559	0.00155654	0.00126238	0.000259615	0.000986572	0.123854	0.166968	0.703967
