 	non	aveva	da	stare	</S>
e	0.816648	0.0800366	0.0312539	0.00959096	0.0624704
n	0.831558	0.157651	0.0101719	0.000270995	0.000348558
ì	0.0163464	0.408588	0.55707	0.00695206	0.0110435
c	0.000846214	0.998274	0.000564245	1.39569e-05	0.000301905
h	0.0223492	0.962452	0.0134458	0.000448539	0.00130492
e	0.000459077	0.989508	0.00420896	0.000735497	0.00508834
n	0.00817592	0.0120479	0.968797	0.00655745	0.00442149
a	0.000935463	0.039583	0.472812	0.326422	0.160248
s	0.0025837	0.00504256	0.780489	0.18497	0.0269152
t	0.00228904	0.00914498	0.132404	0.766164	0.0899975
a	0.000200818	0.000248478	0.0349607	0.7761	0.18849
s	0.00160424	0.00190135	0.0201121	0.719142	0.25724
ì	0.00428406	0.110851	0.0238916	0.626871	0.234102
</S>	1.94822e-05	0.00129585	0.00213878	0.0213742	0.975172
