 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
e	0.938107	0.0262304	0.000607509	0.0313727	0.000424352	0.000116223	1.65709e-05	2.65014e-05	8.80895e-05	0.000369154	0.000543074	1.96261e-05	2.67742e-05	0.00018001	0.00187162
v	0.959724	0.0106987	0.00609894	0.00579283	0.00526164	4.39129e-05	0.000163411	0.000500693	0.00256078	0.00478238	0.00372299	5.28192e-05	2.91791e-05	0.000545018	2.26281e-05
ò	0.929755	0.0476471	0.00248295	0.00966624	0.000393179	0.000664186	0.000101781	0.00316362	9.97694e-05	0.00116874	0.00408117	0.000175781	3.56681e-05	6.33869e-05	0.000501184
s	0.532266	0.252117	0.000754242	0.211738	0.00010355	9.19461e-05	4.41276e-06	0.000334606	1.69138e-05	0.000189988	0.00215992	9.752e-06	1.3005e-05	5.95971e-05	0.00014142
t	0.029631	0.87035	0.0756565	0.0193934	0.0007284	9.7185e-05	0.000251165	9.39777e-05	0.000323397	0.000753862	0.000772723	2.14095e-05	1.20429e-06	0.00181328	0.000112667
o	0.0670332	0.633918	0.00984231	0.200934	0.00101227	0.0175353	0.000832932	0.030163	0.000639674	0.000673081	0.00454547	0.00139882	3.55586e-05	0.0218097	0.00962602
d	0.000122105	0.167318	0.822056	0.00273238	0.00244608	0.000109205	0.00167091	0.000128073	0.00171083	0.00143704	0.000212	4.93088e-05	6.62501e-06	7.89462e-07	4.98603e-07
e	0.00560616	0.426042	0.278454	0.142632	0.0236585	0.0227958	0.00674043	0.0138153	0.0124192	0.0257001	0.01891	0.00506568	0.00215507	0.00136203	0.0146434
r	2.81063e-05	0.0246385	0.944587	0.00363457	0.0081564	0.00151132	0.00414054	0.00126667	0.00629691	0.00383127	0.000371765	0.000843812	0.000397282	2.30247e-05	0.000272481
f	0.00134151	0.12707	0.418095	0.203959	0.038498	0.0465557	0.0156899	0.0398264	0.0256235	0.0316977	0.0153788	0.00819483	0.00386847	0.000714735	0.0234863
ò	0.000442895	0.0779976	0.168792	0.0335291	0.092379	0.149689	0.101714	0.086324	0.0941672	0.0504339	0.00385953	0.0172	0.0203914	0.000683721	0.102396
m	0.00812474	0.00966212	0.00564348	0.897145	0.00222123	0.00134147	0.000130839	0.00828893	0.00138335	0.0015768	0.0157472	0.00024762	2.99579e-05	0.0470625	0.00139441
u	0.132126	0.0365072	0.414764	0.398214	0.0031277	0.000336898	0.000677017	0.00101985	0.00115424	0.00359048	0.00506161	1.45307e-05	3.47855e-06	0.00313391	0.000269157
e	1.87837e-05	0.00095984	0.25432	0.0355349	0.206692	0.05604	0.218941	0.0105192	0.154584	0.057762	0.000909475	0.00187023	0.00109842	0.000188743	0.000561348
n	0.00106252	0.000983149	0.0496378	0.249454	0.162085	0.331029	0.0652415	0.0377541	0.0269081	0.05195	0.0147406	0.0017814	0.000813801	0.00024979	0.00630904
t	0.000268575	0.00260726	0.0198008	0.0330869	0.0187485	0.55216	0.0860417	0.17874	0.0232038	0.0185246	0.0125618	0.0320394	0.00586791	0.000577189	0.0157715
u	2.24646e-05	0.000959095	0.089544	0.00140343	0.0355365	0.175046	0.326586	0.0323122	0.136706	0.0396268	0.000817971	0.0247204	0.0260163	0.00310813	0.107594
t	4.99059e-05	0.000266535	0.00926484	0.00377035	0.0828065	0.498521	0.108922	0.110628	0.0706786	0.0392127	0.00379699	0.0110442	0.0110773	0.000503579	0.0494579
ò	0.000442296	0.000990231	0.00778356	0.00868763	0.015574	0.728044	0.0782344	0.0907049	0.0165497	0.0157142	0.0079824	0.0122701	0.00279956	0.000197493	0.0140251
g	0.00832965	0.00202841	0.00118522	0.396691	0.0161973	0.084625	0.00617357	0.225699	0.0290029	0.019536	0.0318978	0.00101865	0.000256937	0.160768	0.0165903
