 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
p	0.806622	0.189617	6.7854e-05	0.000859579	2.02627e-05	0.000728861	1.02384e-05	1.81862e-05	0.000231978	7.79676e-06	2.81105e-05	0.000478962	0.00130921
ù	0.99952	0.000397565	2.89156e-05	1.30128e-05	5.57831e-06	1.37137e-05	1.38058e-06	5.14199e-06	1.88281e-06	4.1337e-07	2.88394e-07	5.75568e-06	5.90465e-06
r	0.869954	0.127476	5.33297e-05	0.000627485	9.584e-06	0.000889661	1.30617e-06	0.000534345	1.59535e-05	1.81614e-06	8.17671e-07	2.49025e-05	0.000410954
u	0.339255	0.644377	0.00238645	0.00955198	0.000373061	0.00103834	0.000167676	0.000846207	0.000128297	1.14689e-06	4.06862e-06	0.00145661	0.000414326
k	0.0654901	0.926104	0.00250699	0.00266516	0.000453942	0.00160521	0.000963676	6.13062e-05	0.000118687	1.05749e-05	2.76736e-06	1.71542e-05	4.39436e-07
a	0.0368703	0.738562	0.0626124	0.0848152	0.00808788	0.0203893	0.00366876	0.0147349	0.00304161	0.00465911	0.000777689	0.00273232	0.0190486
s	0.00409384	0.825818	0.0713696	0.0447342	0.00812336	0.0154356	0.0143189	0.000691613	0.0114944	0.000790962	0.000632829	0.00220757	0.00028929
ì	0.00443018	0.569741	0.105678	0.181957	0.0171208	0.0322518	0.00943985	0.0229661	0.00583473	0.00614911	0.00131328	0.00369307	0.0394249
t	0.00158746	0.735188	0.0012789	0.217785	0.000156285	0.0281818	0.000379328	0.0124308	0.000500392	8.62725e-06	2.96202e-05	0.000593029	0.00188156
a	0.00249052	0.680703	0.157494	0.125848	0.0049841	0.0116746	0.00250734	0.0126731	0.000153659	5.78831e-06	1.95865e-05	0.00105566	0.000391577
m	9.36151e-05	0.0243389	0.334636	0.424127	0.104913	0.0339224	0.0689052	0.00139005	0.00512381	0.000158141	0.00102921	0.00128314	7.92748e-05
i	0.00198504	0.0308253	0.521668	0.235581	0.0562932	0.0361934	0.0115568	0.0351058	0.00434952	0.00968731	0.00166921	0.00718735	0.0478981
a	2.11569e-05	0.00277026	0.359499	0.382026	0.150159	0.0184156	0.0472931	0.00121168	0.011403	0.00204429	0.00317784	0.0180154	0.00396386
f	0.000223386	0.00358932	0.078452	0.508676	0.326247	0.0443847	0.0143542	0.0147927	0.00210979	0.000704985	0.000301018	0.00155812	0.00460687
o	0.000701406	0.00414788	0.131228	0.298274	0.41827	0.0298321	0.0520192	0.0219151	0.00288203	0.0154047	0.00441675	0.00319743	0.017712
r	1.5893e-05	0.000620512	0.0567793	0.216967	0.432764	0.0891434	0.127874	0.00517213	0.0158222	0.00296104	0.00545568	0.0364567	0.00996822
à	0.000983523	0.00865319	0.071741	0.237911	0.276476	0.089014	0.0805136	0.0910897	0.0119493	0.0248	0.0119703	0.0127616	0.0821361
s	0.000263828	0.00514478	0.000582322	0.448439	0.00240118	0.371589	0.00296746	0.141543	0.000794638	1.27615e-05	0.000164408	0.00751494	0.0185833
o	0.000768532	0.0128756	0.0516866	0.16013	0.12752	0.305405	0.0388971	0.271417	0.00381982	0.000297359	0.00089425	0.0170327	0.0092554
l	9.47597e-06	0.000138324	0.00774421	0.0132723	0.0757178	0.424247	0.441182	0.0132539	0.00993616	0.000667804	0.0044813	0.00798969	0.00136021
a	0.000280646	0.00308828	0.00843922	0.0323773	0.127686	0.265382	0.178914	0.284587	0.00653518	0.0182177	0.0215463	0.00322496	0.0497221
m	7.27977e-06	9.97442e-05	0.00288583	0.00397075	0.0675645	0.250263	0.592602	0.0210019	0.00934302	0.00437166	0.0126926	0.0247375	0.010461
è	0.000687996	0.00567844	0.00296243	0.0142968	0.0517921	0.119185	0.277505	0.386155	0.00988678	0.0301656	0.0250215	0.0066281	0.0700353
n	0.000102157	0.00102271	6.81801e-06	0.0079153	9.3947e-05	0.628705	0.00365647	0.337902	0.000642537	7.09526e-06	9.63664e-05	0.00731292	0.0125362
