 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a	0.937314	0.0253385	0.0361064	0.000140147	0.000308185	1.2336e-05	0.000202766	4.75774e-05	5.24644e-05	0.000477854
n	0.917164	0.0760683	0.00191904	0.00226	0.00152473	6.77273e-05	0.000660962	0.000195425	0.000132488	7.60474e-06
ì	0.00323007	0.967124	0.00169341	0.00257248	0.0134518	0.00430308	0.00608921	0.000656312	0.000311661	0.000568036
c	0.00138979	0.997822	6.33348e-05	0.000120606	0.000308414	7.42176e-05	0.000153333	2.7184e-05	1.02903e-05	3.04184e-05
h	0.0297046	0.955754	0.00675168	0.00578733	0.000759342	1.10685e-05	0.000165126	1.40474e-05	0.00101601	3.64744e-05
a	0.0170515	0.938724	0.00858173	0.0335507	0.00153234	0.000201826	0.000129124	0.000117691	4.922e-06	0.000105799
d	0.0188013	0.130473	0.588429	0.24472	0.0107659	0.00102105	0.00504235	0.00027122	1.58897e-05	0.00046126
ò	0.00098245	0.746331	0.120779	0.0885509	0.0178142	0.00812879	0.00490645	0.00438368	0.000472718	0.00765027
n	0.00115458	0.892585	0.034026	0.047601	0.0128802	0.000964537	0.00090699	0.000865434	0.0036643	0.00535195
t	0.00995116	0.185549	0.56159	0.166228	0.0659124	0.00108692	0.00767617	0.000476841	0.00140133	0.000127734
a	6.31777e-05	0.861338	0.0112638	0.00571267	0.0163812	0.00468786	0.000281743	0.000765843	0.0818901	0.0176152
t	0.00129564	0.000691304	0.0789156	0.879194	0.0336975	0.00304229	0.0022152	0.000917821	2.23697e-06	2.88215e-05
a	0.000294877	0.0464223	0.12315	0.576069	0.140983	0.048485	0.00915689	0.0143651	0.00212992	0.0389452
s	0.00024206	0.000435268	0.0124631	0.936399	0.0397323	0.00521599	0.00275333	0.0013253	0.000186832	0.00124702
ì	0.000719861	0.0443877	0.0130931	0.350266	0.362611	0.115869	0.025784	0.0359177	0.00167895	0.0496723
n	0.000400815	0.0811599	0.00137521	0.32978	0.412977	0.016023	0.00266055	0.00348582	0.0904264	0.0617114
n	0.00130033	0.013255	0.00593409	0.207242	0.724893	0.0162934	0.0199509	0.00317017	0.00763114	0.000330594
e	2.36585e-05	0.140703	0.000952324	0.0093291	0.0850363	0.0354103	0.0027959	0.00995271	0.603655	0.112141
f	0.000473249	0.000160572	0.00465462	0.186908	0.608202	0.152464	0.0303671	0.00984839	0.000185768	0.00673593
a	0.000213078	0.00490933	0.000394781	0.059392	0.733577	0.135885	0.0162556	0.0154174	0.00187039	0.0320846
ì	0.000462536	0.000147737	0.000724748	0.116363	0.565954	0.245886	0.0345188	0.00744709	0.00418598	0.0243101
c	0.000816457	0.00168608	0.000255093	0.00284635	0.854758	0.0802125	0.049857	0.00678175	0.00256994	0.000217095
h	0.000218129	0.0181643	0.000186186	0.00546168	0.761446	0.165819	0.00776401	0.0165887	0.0239099	0.000441893
a	0.000598073	0.00139257	0.000447866	0.0548641	0.622741	0.219014	0.0204809	0.0129473	0.0300903	0.0374246
a	0.000173415	0.00018194	5.2621e-05	0.00130903	0.067032	0.703722	0.206808	0.0170671	7.23943e-05	0.00358161
n	0.000571049	0.00308248	0.000105737	0.00149215	0.0560047	0.594828	0.235839	0.101743	0.000879042	0.00545424
o	0.000177932	0.00369184	0.000230712	0.00164887	0.0394184	0.813658	0.0198928	0.072021	0.000698371	0.0485616
ì	0.000288846	0.000272731	3.89102e-05	0.00129229	0.0155782	0.554553	0.262071	0.0700129	0.0639157	0.0319759
s	0.00117545	0.0228785	0.000396046	0.000429002	0.016271	0.106583	0.322622	0.240063	0.286185	0.00339693
o	0.000278799	0.00583548	0.000143527	0.00189935	0.209584	0.651124	0.0465811	0.0647781	0.018732	0.00104293
n	0.000494515	0.000121452	8.71748e-05	0.00209485	0.0135501	0.154938	0.246811	0.342108	0.134731	0.105063
t	0.000672826	0.0119209	0.000389193	0.00198212	0.0231025	0.38596	0.0898551	0.355986	0.00847641	0.121654
a	0.000519195	0.00138449	0.00603937	0.00577968	0.0237584	0.34588	0.00952468	0.0496345	0.117235	0.440244
k	0.000476946	0.000290369	8.52693e-05	0.000880585	0.0045269	0.145687	0.198113	0.226816	0.0687772	0.354347
a	0.000574071	0.0147501	0.000454886	0.00153272	0.0101971	0.203148	0.0753963	0.325332	0.0198222	0.348793
v	0.000615154	0.000338742	0.000139351	0.00101351	0.0013248	0.0531557	0.121838	0.117491	0.430306	0.273778
r	0.000694295	0.0159697	0.000291674	0.00123239	0.00654215	0.0866874	0.0720559	0.288274	0.0409423	0.48731
è	0.000299065	0.000809251	0.000682325	0.00112148	0.00296972	0.0416485	0.00819574	0.00452151	0.360363	0.57939
c	0.000324628	0.00199533	8.04067e-05	0.000112683	0.001059	0.00107836	0.0208259	0.0662271	0.864483	0.0438134
h	0.000159091	0.0600741	7.2611e-05	0.000247901	0.00263501	0.00327423	0.00473752	0.0340211	0.891838	0.00294021
i	0.000304266	0.00257602	0.000142622	0.000590957	0.00380888	0.0202336	0.0394075	0.0758405	0.380295	0.476801
</S>	0.000245511	0.000422047	6.78185e-05	0.000274658	0.000535171	0.00261655	0.0283054	0.0441585	0.00555228	0.917822
