 	lui	sapeva	che	oggi	stava	per	fare	freddo	o	freddo	e	non	poteva	fare	il	bagno	</S>
c	0.0896689	0.760026	0.139374	0.0106912	0.000127579	5.64261e-06	3.13228e-05	2.20245e-06	5.81616e-07	1.57978e-06	1.20604e-06	1.05347e-05	3.97356e-06	8.74249e-06	4.64103e-07	1.19941e-07	4.5405e-05
ì	0.995714	0.00367343	0.000436736	2.54991e-05	7.96136e-05	4.17844e-06	1.63196e-05	9.36781e-06	9.90195e-07	7.0786e-06	3.11832e-06	2.7962e-07	7.17971e-06	1.22555e-05	7.16447e-08	1.64883e-07	9.38736e-06
n	0.990382	0.0094217	0.000184931	6.60799e-06	2.2017e-06	1.41143e-07	5.58421e-07	1.5647e-07	1.38388e-08	9.98539e-08	6.47717e-08	6.20011e-09	3.5279e-07	2.78396e-07	2.20112e-09	9.40507e-09	3.92899e-07
o	0.968343	0.0273866	0.00321418	0.000929358	6.34016e-05	1.50811e-05	2.06569e-05	7.40724e-06	3.86387e-07	2.58236e-06	1.60686e-06	6.68046e-06	2.30861e-07	3.73812e-06	2.3643e-08	3.04646e-07	5.00889e-06
ì	0.580453	0.290935	0.123384	0.000454688	0.000811223	0.00273887	0.000265706	1.20283e-05	0.000425539	1.99387e-05	0.000184856	0.000257008	3.30315e-06	4.04914e-05	1.09184e-05	3.25712e-06	9.07577e-07
t	0.0558986	0.828717	0.10527	0.00888699	0.00034866	0.000137981	0.000412207	6.24334e-05	1.10606e-05	2.7688e-05	7.2762e-06	0.000138297	1.11677e-06	4.3726e-05	1.43645e-06	6.05436e-06	2.94527e-05
s	0.0516964	0.883676	0.0535587	0.00921867	0.00140965	0.000247598	7.56535e-05	3.54139e-05	6.14703e-06	1.88573e-05	7.48635e-06	1.07618e-05	5.8132e-07	2.92819e-05	6.50137e-07	3.65669e-06	4.26648e-06
e	0.113529	0.418382	0.0357283	0.291823	0.0637503	0.00246988	0.00484655	0.0496256	0.000593186	0.00955131	0.00116796	0.000293636	0.000218468	0.00133379	2.93396e-05	0.000308418	0.00635029
r	0.0013852	0.00286265	0.97521	0.00233909	0.00661514	0.00725167	0.000435224	4.54069e-05	0.0019652	8.79372e-05	0.00109699	0.000536807	2.21349e-05	9.9873e-05	3.35614e-05	6.87207e-06	5.86182e-06
e	0.0139715	0.276975	0.507811	0.0902945	0.0753379	0.0182098	0.00146554	0.00170946	0.00249742	0.00141267	0.00258524	0.00113106	0.00130495	0.0010229	0.000390003	0.000275331	0.00360606
k	0.000186263	0.00122444	0.958855	0.00672487	0.005535	0.00874354	0.00332729	0.000553167	0.00280734	0.00087462	0.0049676	0.0035583	0.000560089	0.00168645	0.000145477	1.4441e-05	0.000236342
a	0.00416522	0.0306577	0.635417	0.161186	0.105341	0.027059	0.00361799	0.00363976	0.00348504	0.00380826	0.00381662	0.00224069	0.00234879	0.00395322	0.00139992	0.000440288	0.00742344
s	0.000109148	0.000559885	0.790356	0.0581903	0.0240256	0.0400745	0.014314	0.00262504	0.0120459	0.00332854	0.0226447	0.0174637	0.00284779	0.00786684	0.000763431	6.87446e-05	0.00271606
ì	0.00250249	0.00762332	0.362455	0.24491	0.273193	0.0527513	0.00439209	0.00667367	0.00828995	0.006342	0.00771278	0.00283712	0.00327571	0.0038596	0.00155909	0.000386295	0.0112369
m	0.000246943	0.0150882	0.0349165	0.937369	0.00861723	0.000264853	0.00113253	0.00168263	6.53994e-06	0.000255295	4.99994e-05	3.34157e-05	7.86112e-05	0.00010273	5.14032e-07	2.81064e-06	0.000152633
m	0.0210021	0.0338996	0.131617	0.700287	0.100874	0.00559356	0.00183037	0.00252905	0.000188595	0.000647836	0.000246891	0.000275502	4.01649e-05	0.000510718	6.87503e-06	0.000121148	0.000329336
e	0.000773731	0.00715533	0.0162203	0.433577	0.156334	0.00493742	0.0422937	0.248448	0.000462266	0.0599335	0.00443998	0.000173499	0.00197674	0.00325388	6.96714e-06	0.00130192	0.0187118
r	6.43187e-05	7.366e-05	0.0566352	0.0194499	0.103586	0.341477	0.0584018	0.00879044	0.167044	0.0131298	0.154218	0.0551665	0.00518715	0.00707143	0.00648427	0.000974017	0.0022478
i	0.000425466	0.000855395	0.03433	0.272009	0.387028	0.142637	0.0142181	0.0156008	0.0303195	0.0142278	0.0319442	0.0093105	0.0158513	0.00145035	0.0017042	0.0041995	0.0238887
ì	2.6743e-05	1.53882e-05	0.00566913	0.0114477	0.374581	0.344584	0.0470356	0.0175019	0.0673605	0.0148472	0.0721225	0.0207143	0.00872985	0.00654173	0.00194176	0.000229513	0.00665192
c	0.000315638	0.00229558	0.00108267	0.108437	0.717427	0.139337	0.0199418	0.00474617	0.00198708	0.00106667	0.000774987	0.00168548	4.84093e-05	0.000384987	4.30438e-05	0.000345958	8.09159e-05
h	0.00136483	0.0103117	0.0011635	0.0842117	0.808456	0.0680949	0.00926329	0.00535876	0.00217734	0.00229761	0.00312634	0.00055059	0.000328286	0.00180872	9.71122e-05	0.00126561	0.000124238
e	0.000403184	0.000591791	0.00402336	0.0439097	0.535798	0.109798	0.0913979	0.152837	0.00491479	0.0338572	0.0104292	0.00597465	0.00110598	0.00162529	6.05478e-05	0.000166841	0.00310618
n	0.000240286	6.11544e-05	0.000536871	0.000290835	0.214049	0.643787	0.0117194	0.0248144	0.0816644	0.00556683	0.0116148	0.00145224	0.0010131	0.000279757	0.000392593	0.000286304	0.0022312
a	0.00163816	0.00167645	0.00148221	0.00374683	0.344129	0.403055	0.0223111	0.0451688	0.0495684	0.0328503	0.0408213	0.00354292	0.0163781	0.0178977	0.00489083	0.00157815	0.00926489
k	6.99928e-06	7.12055e-06	8.76351e-05	6.73722e-05	0.0179477	0.64863	0.107737	0.0878377	0.059271	0.0167859	0.0418488	0.00781433	0.00602526	0.00359269	0.000471763	4.44278e-05	0.00182425
à	0.00219954	0.0027829	0.00175963	0.00371195	0.14695	0.467727	0.029454	0.0785004	0.0559579	0.0578783	0.0543539	0.00735575	0.0280146	0.0370862	0.00795099	0.00171639	0.0165997
m	0.000448206	0.00448448	0.000113351	0.0178774	0.0963949	0.0287776	0.251345	0.566458	0.000225025	0.0269294	0.00109349	0.000378576	0.00159322	0.0024469	4.60347e-06	0.000102618	0.0013273
i	0.00288602	0.0221195	0.000777504	0.0193128	0.244494	0.490484	0.0395649	0.0985158	0.0162025	0.0276746	0.0143398	0.00461633	0.00361362	0.00456214	0.000572262	0.00801317	0.00225141
f	2.52216e-06	1.47344e-06	3.9902e-05	6.22618e-06	0.000419053	0.085898	0.0459055	0.0515904	0.534676	0.0617787	0.171527	0.0327802	0.00481743	0.00294047	0.00473045	0.000283586	0.0026035
r	0.00110888	0.00166846	0.00083644	0.00144666	0.0105648	0.189154	0.013394	0.149663	0.21172	0.186905	0.113927	0.00709467	0.0554696	0.0254042	0.00854118	0.0040773	0.0190249
ì	3.25094e-05	5.74949e-05	0.000257166	0.000189467	0.00348101	0.050623	0.0136031	0.0658898	0.207745	0.065232	0.170767	0.0645085	0.0437836	0.0127235	0.0723116	0.00477826	0.224017
s	0.000269796	0.00275869	0.000243149	0.00289716	0.00149675	0.0411458	0.0703587	0.267902	0.0575456	0.384351	0.0536568	0.0567959	0.00778328	0.0357729	0.002411	0.00730616	0.00730567
k	0.00165074	0.00443803	0.00110947	0.00236628	0.00847588	0.183467	0.0222467	0.0943944	0.265213	0.210397	0.126872	0.0175676	0.00957119	0.0192397	0.00938783	0.0188298	0.00477288
o	0.000208104	0.000356296	2.88047e-05	0.000624105	0.00507582	0.00181813	0.0116067	0.627391	0.0022142	0.247066	0.00448474	0.00010177	0.00226832	0.0175611	0.000184446	0.00279058	0.0762204
o	3.11884e-06	1.10467e-06	3.07618e-05	1.93318e-06	6.79266e-05	0.0190973	0.00704534	0.0148159	0.534742	0.100003	0.244391	0.0356777	0.013747	0.00593532	0.0185561	0.00042974	0.00545506
t	7.63442e-05	6.31615e-05	8.17469e-05	5.26431e-05	0.000293939	0.0105523	0.00134088	0.0233851	0.349006	0.248752	0.255561	0.0251652	0.060097	0.00583491	0.00809422	0.00265729	0.00898608
s	6.92915e-05	6.47684e-05	5.95112e-05	6.41976e-05	0.000228078	0.00428308	0.00115234	0.0320194	0.270912	0.40562	0.128043	0.00379416	0.0731383	0.0123472	0.028568	0.00680883	0.0328283
ì	2.05746e-05	3.41719e-05	0.000125453	5.07159e-05	0.000671348	0.0581452	0.00750478	0.0596885	0.262139	0.0587208	0.144693	0.0612759	0.0349456	0.00956129	0.0811639	0.00411037	0.217149
c	0.000268384	0.00345792	0.000186498	0.00291833	0.000458592	0.00508771	0.0114593	0.0465851	0.0568927	0.521039	0.100999	0.0745228	0.031659	0.101235	0.0105637	0.0167975	0.0158695
h	0.00559744	0.0544164	0.00106275	0.0226995	0.00613741	0.0123662	0.00558528	0.0376785	0.116118	0.327847	0.168817	0.0127697	0.0798881	0.0491785	0.0107261	0.083456	0.00565563
r	0.000240796	0.000352771	0.000132332	0.000252827	0.000402541	0.0044636	0.00662016	0.159033	0.0443212	0.628293	0.0840432	0.0163292	0.0109475	0.0220065	0.0013495	0.00098107	0.0202302
a	0.000343154	0.000688241	0.000254485	0.000483966	0.000959884	0.013476	0.00202161	0.0157338	0.0973648	0.28176	0.147771	0.0141674	0.0824988	0.120065	0.0607718	0.0228902	0.13875
c	2.58745e-06	8.9118e-07	1.97657e-05	9.67785e-07	8.42803e-06	0.00156048	0.000357305	0.000871076	0.138795	0.0667595	0.329478	0.144737	0.0748556	0.0672392	0.157362	0.00397888	0.0139734
e	0.000794428	0.000995159	0.000597973	0.000742645	0.00095057	0.00236284	0.000615825	0.00316514	0.0518203	0.104278	0.157386	0.00757571	0.427349	0.0629421	0.0991822	0.0271746	0.0520673
e	3.95229e-06	4.71845e-06	2.56081e-05	3.72254e-06	8.10722e-06	0.000945939	0.000189936	0.000922111	0.13948	0.0536944	0.333978	0.0982898	0.211513	0.0382322	0.0988829	0.00369298	0.0201331
n	0.000220523	0.000205822	0.000218957	0.000157746	0.000255079	0.000643698	0.000208151	0.00248433	0.020519	0.083889	0.114176	0.0432014	0.410787	0.0900166	0.121559	0.0311015	0.080356
ì	0.000274806	0.000212924	0.000229375	0.000164691	0.000379494	0.00166156	0.000352303	0.00452478	0.088206	0.202679	0.165775	0.007192	0.272869	0.05723	0.130843	0.013929	0.0534775
