 	l	ho	sentito	quando	veniva	</S>
t	0.741622	0.00677674	0.0015523	0.000649153	0.219568	0.0298318
o	0.879549	0.000803106	0.00635423	0.00948794	0.0940529	0.00975283
n	0.432107	0.540165	0.0254189	0.00107252	0.00120056	3.6066e-05
ì	0.000468314	0.00763669	0.368537	0.557028	0.0568037	0.00952606
k	0.00163085	0.727779	0.123029	0.0295618	0.0712419	0.0467573
u	0.0770643	0.890249	0.0198352	0.00276951	0.00897986	0.0011023
s	0.146465	0.80271	0.0411743	0.00179402	0.00763747	0.000219184
a	0.000982921	0.0669617	0.611365	0.241771	0.0452995	0.0336191
m	0.0269059	0.238552	0.406934	0.180906	0.0443015	0.102401
ò	9.84108e-05	0.00483245	0.114898	0.814246	0.0369916	0.0289339
t	1.56604e-05	0.0342801	0.0190871	0.747806	0.13824	0.0605708
t	0.000104005	0.0138124	0.0165799	0.693876	0.272532	0.00309656
e	7.05484e-05	0.00109919	0.003038	0.341653	0.509024	0.145115
è	0.000639626	0.00488689	0.00459697	0.0147559	0.883668	0.0914524
r	6.95422e-05	0.00489614	8.93661e-05	0.00854606	0.985057	0.00134201
k	0.000135449	0.00867425	0.000134514	0.0111411	0.977384	0.00253042
a	2.38297e-05	0.000729665	0.00115158	0.353917	0.497496	0.146683
t	0.000607656	0.00179981	0.000671464	0.00238974	0.783598	0.210933
o	4.35469e-05	0.000355132	0.000140642	0.00651809	0.581597	0.411346
</S>	0.000165261	0.00131108	0.000413714	0.00159076	0.122206	0.874314
