 	io	nella	mia	vita	ho	sempre	lavorato	</S>
e	0.982479	0.00963691	0.00105368	0.00249078	0.000175296	5.56411e-05	0.000626569	0.00348191
v	0.94332	0.0233034	0.0202191	0.0107524	0.00222995	9.67052e-05	3.91873e-05	3.96762e-05
ò	0.833356	0.0916156	0.0473852	0.0176938	0.00368783	0.00438087	0.000945199	0.00093565
s	0.424521	0.518993	0.0261367	0.0291834	0.000461696	0.000331628	3.73689e-05	0.000335719
t	0.038859	0.557657	0.378064	0.023865	0.0008103	0.000114688	0.000260434	0.000369351
i	0.0964812	0.232184	0.0837465	0.152965	0.0149528	0.00916438	0.333696	0.0768105
z	0.000127042	0.112403	0.880359	0.00615051	0.000903705	4.86321e-05	5.70067e-06	2.65804e-06
o	0.00491631	0.108333	0.713538	0.0868622	0.0407509	0.0147825	0.00310897	0.0277085
ì	4.39522e-05	0.0138237	0.951691	0.0131243	0.0179452	0.000548184	0.000509526	0.00231404
m	0.0043033	0.00432727	0.263911	0.720595	0.00561425	0.000787992	0.000268565	0.000192734
m	0.00835468	0.0104153	0.484489	0.491944	0.00299163	0.000708153	0.000488898	0.000608201
u	0.00261215	0.00860499	0.058207	0.738138	0.0436765	0.00705781	0.0693304	0.0723727
ì	9.79308e-05	0.00489103	0.196122	0.116474	0.653298	0.0128297	0.00516709	0.0111198
m	0.0101123	0.00248919	0.0122166	0.70079	0.251271	0.018708	0.00255232	0.00186089
e	0.0297491	0.0145643	0.0241518	0.480326	0.337781	0.0827547	0.0224941	0.00817955
p	8.82563e-05	0.000931862	0.00609619	0.00645559	0.284048	0.47594	0.0958711	0.130569
à	0.000537194	0.00325382	0.0030439	0.00707119	0.0788286	0.805019	0.0259011	0.0763453
n	0.00967424	0.00260508	0.00125561	0.0651452	0.0844695	0.37004	0.293834	0.172976
t	0.00292352	0.00676087	0.00490635	0.0159913	0.0233482	0.870957	0.058637	0.0164754
a	0.000255013	0.000142363	0.000122565	0.00058791	0.00267156	0.0587755	0.608256	0.32919
p	4.1275e-05	0.000324071	0.000546612	0.000360785	0.0124061	0.169083	0.618685	0.198553
o	4.5172e-05	0.000244163	0.000150624	0.00045422	0.00467754	0.473112	0.151634	0.369681
l	2.51535e-05	0.000227746	0.000285628	0.000116325	0.00433788	0.0707876	0.557204	0.367015
e	0.000113974	0.000780863	0.000430464	0.000950791	0.00341377	0.202623	0.348902	0.442785
m	3.03216e-05	0.000300853	0.000310599	0.00012812	0.00294804	0.0209282	0.438484	0.53687
i	0.000573416	0.00102363	0.000549826	0.000807115	0.00152422	0.0488299	0.748	0.198692
m	4.11543e-05	0.000649981	0.00054624	0.000190768	0.00295181	0.00669768	0.3116	0.677322
m	0.0012284	0.00178789	0.00095248	0.00103644	0.0012747	0.0118711	0.843792	0.138057
è	0.000512436	0.00232972	0.00186525	0.000676561	0.010181	0.00909916	0.374209	0.601127
n	0.0712942	0.0306158	0.0081229	0.0637458	0.00212121	0.00101225	0.522639	0.300449
a	0.00508043	0.0106061	0.0058751	0.0163808	0.00541213	0.0359796	0.861418	0.0592474
</S>	1.44379e-05	0.000100412	9.79732e-05	3.52195e-05	0.000193139	0.000569674	0.130472	0.868517
