 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
t	0.980594	0.00439882	0.0147962	8.28774e-06	6.94564e-06	3.15195e-05	3.71584e-06	1.23602e-05	0.000147964
ù	0.998546	0.00127007	0.000167621	7.48757e-06	2.17334e-06	3.58467e-06	4.17925e-07	1.75176e-06	1.14452e-06
o	0.95137	0.0238485	0.0236587	7.06507e-05	0.000150147	0.000360565	1.35924e-05	5.66147e-05	0.000471117
o	0.451568	0.536235	0.0118255	0.000138886	4.40425e-05	0.000133424	1.36555e-06	7.42999e-06	4.62409e-05
f	0.00762439	0.834692	0.149737	0.00182318	0.000972127	0.00492174	3.16672e-05	2.77993e-05	0.000170193
r	0.00783527	0.855882	0.0741526	0.0187036	0.0119963	0.0125842	0.00358221	0.00115421	0.01411
a	0.0660704	0.269277	0.078962	0.360539	0.0319733	0.0514741	0.0565825	0.0215365	0.0635854
b	0.00367088	0.437565	0.399709	0.0943849	0.0226212	0.0255916	0.00907961	0.00119591	0.00618204
b	0.0188039	0.724124	0.208638	0.0316443	0.00428803	0.00749659	0.000625058	0.000415024	0.00396497
i	0.0449876	0.096951	0.0889196	0.346176	0.0687974	0.0610402	0.038669	0.120613	0.133846
k	0.00234025	0.132813	0.487791	0.261357	0.0511156	0.0456483	0.012015	0.0018194	0.00510029
è	0.00647644	0.155757	0.784974	0.0360863	0.00391608	0.0103511	0.000239586	0.000586197	0.00161343
s	0.000384769	0.0491216	0.935665	0.00240098	0.00205872	0.00184662	0.000134947	0.00149248	0.00689481
s	0.00551567	0.21722	0.602276	0.0500169	0.0449143	0.0573167	0.000602558	0.0159108	0.00622673
a	0.00517653	0.077945	0.0437115	0.0368763	0.0887019	0.0341213	0.00353355	0.590344	0.11959
n	0.00102734	0.0246636	0.0951165	0.642372	0.115623	0.10105	0.0138681	0.00354997	0.00272919
o	0.000395539	0.0145797	0.0838969	0.573775	0.205707	0.0373735	0.032839	0.011686	0.0397479
m	7.49773e-05	0.00166149	0.00507056	0.917019	0.0307371	0.0267113	0.00912569	0.00227782	0.0073223
a	0.000528029	0.00857428	0.031847	0.609053	0.194047	0.0466485	0.0363387	0.0112167	0.0617465
s	3.70894e-05	0.000520567	0.000753151	0.862344	0.0628489	0.0447645	0.0148092	0.00313712	0.0107856
t	0.000198321	0.00356541	0.00660967	0.326216	0.337465	0.0710315	0.0668342	0.0540957	0.133984
ò	0.000686705	0.00699552	0.00171806	0.0916641	0.155387	0.0434359	0.185405	0.285569	0.229139
r	0.000349156	0.00531571	0.0617241	0.0312542	0.419525	0.214074	0.00165097	0.138505	0.127602
i	0.000225224	0.0028382	0.0108096	0.147073	0.443026	0.365737	0.00316983	0.0135727	0.0135486
k	5.07093e-05	0.000190923	0.000115474	0.0644124	0.212167	0.690904	0.0220076	0.00512929	0.00502339
a	0.000284024	0.0027781	0.00210052	0.0428504	0.605974	0.114209	0.101428	0.0382706	0.0921043
ì	2.60587e-05	0.000131691	3.45257e-05	0.042834	0.205621	0.576211	0.126098	0.0165542	0.032489
a	5.97331e-05	0.000232019	0.000659519	0.000533717	0.102781	0.878792	0.0065561	0.00826113	0.00212512
n	0.000582316	0.00286198	0.00188884	0.00504369	0.1183	0.693511	0.0608248	0.108831	0.00815686
e	0.000279114	0.00167475	0.000707943	0.00470705	0.116924	0.0478314	0.138671	0.412903	0.276301
e	1.90418e-05	0.000142287	3.3817e-05	0.00212828	0.031618	0.223357	0.452211	0.213382	0.0771093
f	0.000150294	0.00141318	0.00077252	0.000910433	0.00866136	0.0316653	0.21732	0.626912	0.112195
r	0.00042404	0.00175894	0.000510356	0.00250938	0.0292113	0.0214201	0.217249	0.565214	0.161703
a	0.000226936	0.000817585	7.63588e-05	0.0207932	0.0305068	0.0299006	0.0454627	0.197087	0.675128
b	3.88004e-05	0.00023362	0.000103107	0.000425852	0.00663026	0.0162607	0.0729704	0.390011	0.513326
b	0.000300327	0.00100142	0.000418646	0.00148973	0.0197676	0.0365797	0.0856794	0.687475	0.167288
i	0.000284769	0.00104352	0.000209783	0.00450565	0.0442293	0.0317408	0.0293314	0.345607	0.543048
k	0.000102477	0.000433446	0.000170502	0.000629408	0.0061646	0.0174842	0.0972977	0.377391	0.500326
a	0.000567836	0.00233107	0.000946091	0.00127074	0.0056833	0.00972676	0.0672124	0.821469	0.0907929
t	0.00020811	0.000708615	7.78449e-05	0.00150518	0.00351458	0.0185855	0.239237	0.367567	0.368596
ò	9.49493e-05	0.000310675	0.000103173	0.000251483	0.00181707	0.00297586	0.0441007	0.779321	0.171025
r	0.000222946	0.00222227	0.00310808	0.0002137	0.0051553	0.00600983	0.00793905	0.721534	0.253595
i	0.00103926	0.00913781	0.00682296	0.00152408	0.0186388	0.0156389	0.0502644	0.839903	0.0570311
</S>	0.000238658	0.000424506	0.00010191	0.000630607	0.00211127	0.0148512	0.0506527	0.177729	0.75326
