 	lo	posso	finire	di	scrivere	</S>
o	0.992939	0.00101239	0.00488227	0.000208952	0.00012487	0.000831968
s	0.444602	0.543166	0.00181634	0.00985669	0.000425245	0.000133885
ò	0.00337089	0.986018	0.00144224	0.0042378	0.000445406	0.00448611
z	0.00100829	0.989378	0.00604438	0.00137815	0.000390964	0.00180029
o	0.435011	0.495162	0.0402541	0.0108091	0.015946	0.00281771
s	0.141866	0.0717034	0.780079	0.00584093	0.00031759	0.000192675
p	0.0640387	0.322175	0.368054	0.0704295	0.0425131	0.132789
i	0.129312	0.319655	0.43129	0.0344971	0.00474865	0.0804975
c	0.013905	0.00658004	0.873188	0.0703933	0.00162833	0.0343055
c	0.0189029	0.019315	0.857605	0.0628978	0.00172036	0.0395586
è	0.107312	0.175234	0.40008	0.0855383	0.121677	0.110159
t	0.000748554	0.0119192	0.316068	0.0285089	0.621952	0.0208035
s	0.00314551	0.0119884	0.579484	0.0590685	0.337512	0.00880215
i	0.00712583	0.0426321	0.0490938	0.0609732	0.256889	0.583286
à	0.00190595	0.000185548	0.106173	0.834687	0.00487377	0.052175
t	0.000390389	0.000469573	0.0447441	0.831918	0.12021	0.00226754
s	0.000185634	0.000930687	0.00443273	0.54721	0.439792	0.00744867
e	9.30941e-05	0.00507162	0.0366029	0.0238953	0.197847	0.73649
g	0.000210048	0.000124008	0.00675322	0.380174	0.0348899	0.577849
r	0.000246877	0.00106804	0.00312358	0.217544	0.459911	0.318106
à	0.0030621	0.000203576	0.0299436	0.0302131	0.0457049	0.890873
t	0.000117422	0.000269291	0.000784107	0.0160267	0.819093	0.16371
s	3.28947e-05	0.000128043	0.000215855	0.0271455	0.949626	0.0228519
i	7.07279e-05	0.000861879	0.00227342	0.0105785	0.0238252	0.96239
</S>	0.000107097	6.58675e-05	0.000514604	0.0117751	0.00898479	0.978553
