 	lo	sentii	che	arrivò	</S>
t	0.978868	0.0109714	0.000289596	0.000465141	0.00940582
o	0.993164	0.00109877	0.00158002	0.00123851	0.00291873
n	0.354085	0.632619	0.0125819	0.000671317	4.27501e-05
ì	0.0140825	0.0730119	0.482311	0.230531	0.200063
k	0.00310636	0.876519	0.0157205	0.0216358	0.0830187
u	0.0809775	0.887368	0.0168557	0.0138892	0.000909861
s	0.122761	0.68053	0.192613	0.00327199	0.000823845
a	0.00433838	0.087039	0.70143	0.0915878	0.115605
k	0.013179	0.140973	0.774746	0.0188175	0.0522848
a	0.000539935	0.0140018	0.748968	0.0915622	0.144928
ì	0.00514614	0.0880667	0.497569	0.214436	0.194783
r	4.72776e-05	0.00235103	0.0126485	0.983784	0.001169
t	4.29066e-05	0.00280573	0.0404644	0.953934	0.00275263
e	7.28348e-05	0.000701919	0.0233724	0.218604	0.757249
</S>	0.000359593	0.00430343	0.103782	0.0105452	0.88101
