 	mio	padre	ha	lavorato	sempre	</S>
o	0.990067	0.00202504	0.00442881	8.40954e-05	0.000910061	0.00248453
c	0.27732	0.69485	0.0274666	0.0003214	1.92824e-05	2.24849e-05
i	0.0253668	0.918434	0.0323263	0.0132467	0.00359089	0.00703565
ù	0.203697	0.792894	0.00304075	0.000312503	4.46171e-05	1.09592e-05
r	0.024215	0.518305	0.441686	0.00741099	0.00771127	0.000671372
i	0.0261136	0.391248	0.561686	0.0112712	0.00838361	0.00129821
m	0.0757001	0.178653	0.73695	0.00694691	0.000828362	0.000922049
m	0.00749333	0.117771	0.335548	0.342035	0.109858	0.0872952
u	0.0384988	0.246867	0.0923282	0.0557698	0.0143455	0.552191
è	0.0172955	0.0992879	0.54595	0.111837	0.0160606	0.20957
p	0.000280062	0.00105617	0.983154	0.0133503	0.00191678	0.000242915
o	0.000927376	0.00504617	0.765089	0.208086	0.0198244	0.00102681
l	0.00539199	0.0106853	0.141379	0.712796	0.0267083	0.10304
e	0.000710309	0.00171891	0.00925673	0.918409	0.0444858	0.0254194
m	0.00209912	0.00186555	0.00763057	0.56268	0.048547	0.377178
i	0.000372323	0.000907737	0.00194561	0.782993	0.159231	0.0545496
m	0.00243405	0.00138859	0.00254853	0.271007	0.0933207	0.629301
m	0.000330062	0.000773899	0.00155442	0.449306	0.445068	0.102968
è	0.000743225	0.000853843	0.00104277	0.0656485	0.0352176	0.896494
n	0.00153635	0.0026277	0.00460306	0.00579109	0.963659	0.0217833
a	0.00132641	0.0039643	0.0244635	0.134596	0.827036	0.00861365
p	0.00133504	0.000901772	0.00141306	0.0446764	0.717747	0.233927
à	0.00111696	0.0021812	0.00627897	0.109918	0.399105	0.4814
n	8.60547e-06	0.000132828	0.0031221	0.0375731	0.621586	0.337578
t	0.000157123	0.000316405	0.00231768	0.0189127	0.968988	0.00930823
a	7.96612e-06	0.000137942	0.00024934	0.0540327	0.554354	0.391218
</S>	0.00107329	0.00072806	0.000824383	0.00595957	0.365218	0.626197
