 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
t	0.990723	0.00580586	0.00284106	4.31117e-05	1.73175e-05	7.61482e-05	1.71906e-05	0.000189245	0.000286814
a	0.978824	0.0190994	0.0019953	9.75191e-06	1.15394e-05	4.52077e-05	2.77519e-06	6.85165e-06	4.6304e-06
p	0.712283	0.24649	0.0372412	0.000848761	7.69283e-05	0.00305392	4.43714e-06	4.42544e-07	1.09537e-06
e	0.360401	0.514781	0.0342066	0.0113948	0.0154571	0.0228446	0.00388856	0.0165272	0.0204995
d	0.882453	0.0109283	0.0947831	0.00588506	0.00121365	0.00460641	9.71713e-05	2.13584e-05	1.1926e-05
ì	0.118286	0.0584121	0.227091	0.100428	0.193531	0.122157	0.069419	0.0528086	0.0578673
a	0.214982	0.327292	0.336077	0.011382	0.0306428	0.00463264	0.0079664	0.0167627	0.0502624
m	0.0186839	4.41021e-05	0.976235	0.00267897	0.000389171	0.0019334	2.40353e-06	4.99453e-06	2.84226e-05
i	0.0413904	0.134693	0.457975	0.0759706	0.176247	0.0571197	0.011029	0.0322783	0.0132974
n	0.0107716	0.000101008	0.786761	0.118055	0.0527668	0.0259013	0.00311342	0.000510512	0.00201908
c	0.00639686	0.00168055	0.142858	0.0966613	0.572372	0.0851286	0.0604068	0.00531655	0.0291797
i	0.0300894	0.000740777	0.0453165	0.0344879	0.221781	0.064021	0.180046	0.0580203	0.365497
à	0.00804237	0.00207341	0.142766	0.0757897	0.352892	0.071892	0.0771888	0.0472163	0.222139
e	0.00518225	0.64414	0.0419303	0.0493473	0.190524	0.0401307	0.00624846	0.00816782	0.0143295
n	0.0062521	0.116868	0.0221099	0.0426285	0.387004	0.412547	0.00760726	0.00106142	0.00392172
i	0.00130433	0.0166149	0.00174866	0.0135919	0.68953	0.0119032	0.11755	0.100591	0.0471665
n	0.000222271	0.000121221	0.00265626	0.20782	0.531348	0.1744	0.0725443	0.000983982	0.00990335
d	0.00072677	0.000635674	0.000771733	0.0218906	0.754266	0.0158774	0.166643	0.00895956	0.0302299
ì	0.00105601	0.000388911	0.00283713	0.00689701	0.0105114	0.00936619	0.0909518	0.295625	0.582367
n	0.00312954	0.0360193	0.00280681	0.235318	0.238528	0.315826	0.0909468	0.0365762	0.0408491
n	0.00717145	0.0122193	0.00553386	0.0739685	0.379095	0.454221	0.0561667	0.00511856	0.00650537
u	6.06269e-05	0.00170733	2.89341e-05	0.000741162	0.0102257	0.000160112	0.022335	0.375953	0.588788
t	0.00098486	0.000163413	0.00165468	0.0706751	0.137892	0.17226	0.202851	0.103449	0.31007
t	0.000111626	3.39425e-05	5.10034e-05	0.000846986	0.0565188	0.0148849	0.546549	0.0589186	0.322085
e	0.000651893	2.12118e-05	0.000385381	0.0063704	0.0194815	0.00580057	0.285012	0.074043	0.608234
m	0.000147173	5.58429e-05	0.000281738	0.00764212	0.0471553	0.11123	0.577317	0.0182406	0.237929
a	0.00141391	0.00134891	0.000801911	0.00355454	0.0693318	0.0290711	0.586063	0.112801	0.195613
n	0.000765093	0.000115266	0.00113524	0.0075141	0.0116336	0.1268	0.361647	0.102329	0.388061
i	0.000576361	0.000327824	0.000292679	0.00112882	0.0181379	0.0154603	0.565358	0.11354	0.285178
c	0.000647319	9.13579e-05	0.000756356	0.00304999	0.00562281	0.0640034	0.265405	0.148701	0.511723
h	0.00132943	0.00053894	0.000485263	0.00100005	0.0116177	0.00958552	0.323208	0.295895	0.35634
ò	0.000527517	0.000177707	0.000487381	0.00160756	0.00278321	0.0251633	0.105703	0.18965	0.673901
t	0.0018831	0.0305675	0.00138326	0.00416058	0.00172291	0.0611438	0.0325181	0.753033	0.113588
t	0.00686441	0.0132463	0.00217755	0.00299682	0.0121873	0.0349424	0.0826621	0.723464	0.121459
o	4.52496e-05	0.000401857	4.18169e-06	1.41779e-05	0.00123471	0.000114213	0.00861005	0.425336	0.56424
</S>	0.000528943	0.000129621	0.000595962	0.00121138	0.00231907	0.0325343	0.0502249	0.189674	0.722782
