 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
c	0.155168	0.799343	0.0408236	0.00451446	2.3575e-05	6.06905e-06	4.10557e-06	3.12586e-06	1.97001e-06	1.61313e-05	1.17891e-05	9.01284e-06	7.83804e-07	2.03229e-07	7.33249e-05
ì	0.997202	0.00233621	0.000373067	2.40565e-05	2.07436e-05	9.33435e-06	2.85277e-06	6.21132e-06	2.51454e-06	2.89959e-07	5.6954e-06	7.81955e-06	5.43292e-08	1.58593e-07	9.17234e-06
n	0.992262	0.00762997	9.56123e-05	9.27772e-06	1.51095e-06	2.42445e-07	1.49042e-07	1.43283e-07	8.48762e-08	1.0591e-08	3.74005e-07	3.66715e-07	2.9556e-09	1.43055e-08	5.6415e-07
o	0.956009	0.0377244	0.00488987	0.0012327	8.35043e-05	1.23515e-05	1.49294e-05	4.70705e-06	4.40981e-06	1.12752e-05	1.02566e-06	4.55009e-06	3.12039e-08	4.91134e-07	6.59138e-06
ì	0.575451	0.306776	0.105624	0.000697186	0.0071424	5.25944e-05	0.00259499	2.9747e-05	0.000709026	0.000695475	4.81782e-05	0.000162358	1.09361e-05	4.62355e-06	1.03729e-06
t	0.0443796	0.849343	0.0948431	0.0101887	0.000720281	9.99223e-05	8.24121e-05	4.70713e-05	1.7116e-05	0.00019825	1.10896e-05	3.25568e-05	1.43248e-06	7.13095e-06	2.79851e-05
s	0.0448873	0.880607	0.0588109	0.0137832	0.00153577	9.29518e-05	0.000137226	3.20921e-05	2.23777e-05	2.38993e-05	5.51407e-06	5.08761e-05	7.56179e-07	5.0284e-06	4.78461e-06
e	0.102942	0.357749	0.0399083	0.321115	0.0121826	0.116412	0.00482339	0.0301915	0.00326467	0.000463184	0.000325707	0.00103223	3.35219e-05	0.000452916	0.00910316
r	0.00140618	0.00258483	0.95489	0.00348285	0.0219513	0.000531212	0.00799207	0.000194809	0.00465703	0.00142051	0.000364301	0.000471815	3.57843e-05	9.45885e-06	7.48527e-06
e	0.0121585	0.213452	0.55814	0.117872	0.0488384	0.0130161	0.0114209	0.00337426	0.00667056	0.00264512	0.00460584	0.00322035	0.000419154	0.000305743	0.00386215
