 	il	dito	si	gonfiò	</S>
o	0.956009	0.0422403	0.000621868	9.1751e-05	0.00103701
d	0.498651	0.465969	0.0334422	0.000272482	0.00166596
à	0.00855775	0.887626	0.0597011	0.00631561	0.0378
t	0.000192408	0.992458	0.00378361	0.00298797	0.000578113
t	0.0230393	0.947245	0.0229322	0.00447052	0.00231319
i	0.000896336	0.302918	0.0154383	0.489872	0.190875
l	0.0267324	0.0446654	0.917355	0.0079762	0.0032705
o	0.0492114	0.633776	0.1378	0.0960509	0.0831612
è	0.00944763	0.00466028	0.838988	0.0764982	0.0704055
p	0.000803149	0.0353487	0.476018	0.481315	0.00651428
r	0.00017066	0.0120526	0.825659	0.151082	0.0110359
i	0.000215373	0.010651	0.0186794	0.0566712	0.913783
m	0.000431611	0.000966459	0.162688	0.0264563	0.809458
m	0.00059526	0.00245775	0.049248	0.603596	0.344103
è	0.000277757	0.000101387	0.0140574	0.0605421	0.925021
n	0.000162532	0.00710976	0.00781569	0.345065	0.639847
o	0.000642559	0.0123309	0.107345	0.179483	0.700198
</S>	1.19619e-05	4.63514e-06	0.000269103	0.00111152	0.998603
