 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a	0.914299	0.0447723	0.0387557	0.00185675	3.87709e-05	7.29895e-05	6.37618e-06	7.74595e-06	1.47888e-05	3.86943e-06	0.000171422
n	0.727697	0.26594	0.00117294	0.00370731	0.000273908	0.000900911	6.8476e-05	6.57649e-05	8.07284e-05	8.66088e-05	6.60279e-06
e	0.00126751	0.982038	0.00149685	0.00637279	0.00515934	0.00226249	0.000312644	0.000603484	0.000108305	9.46337e-05	0.000283489
v	0.0541083	0.938789	0.00189831	0.00261271	0.000644298	0.00146809	0.000285342	3.80681e-05	0.000152413	2.86103e-06	8.38985e-07
ò	0.000834086	0.978985	0.00140975	0.00493053	0.00252578	0.00641759	0.00180588	0.000871882	0.000840299	9.77051e-05	0.00128171
ì	0.000659293	0.995417	7.17791e-05	0.00327807	0.000138663	4.69149e-05	2.56884e-05	0.000151757	2.19168e-05	4.64567e-05	0.000142632
c	0.271461	0.459405	0.240981	0.0210998	0.000297815	0.0040013	9.8393e-05	0.000121152	0.000108071	0.000433324	0.00199428
h	0.0012851	0.980931	0.00551774	0.0114629	0.000286338	0.000167964	1.83977e-05	1.51658e-05	4.89205e-06	0.000298424	1.2439e-05
a	0.00866322	0.711651	0.102481	0.172779	0.00265491	0.000708541	0.000260519	0.000251374	0.000147408	4.85673e-05	0.000353925
d	0.00319684	0.0600105	0.686306	0.225363	0.00893176	0.0138346	0.0010986	0.000345131	0.000335775	1.51627e-05	0.000563415
ò	0.000636733	0.251017	0.313682	0.265428	0.0742108	0.0148507	0.0359928	0.0155216	0.0112334	0.000612011	0.0168143
n	0.000181264	0.183214	0.0170884	0.783151	0.0063645	0.00107836	0.000230353	0.00236133	0.00014449	0.00143306	0.00475283
t	0.00257223	0.0968768	0.364195	0.464744	0.0224394	0.0446291	0.00205327	0.00094666	0.000301013	0.00111372	0.000129001
a	3.48276e-05	0.589343	0.0173089	0.070264	0.135391	0.0025077	0.0056961	0.0216898	0.000484931	0.110375	0.0469039
s	0.000709368	0.00138393	0.114366	0.77569	0.0603964	0.0372435	0.00786618	0.00074927	0.001517	1.6958e-05	6.10918e-05
ì	0.000287071	0.0115794	0.0541147	0.600383	0.160577	0.0615517	0.0547835	0.0294631	0.00772761	0.00133074	0.0182018
n	4.08974e-05	0.00659148	0.000613496	0.975153	0.0116249	0.000715744	0.000202052	0.0010605	5.33048e-05	0.00202294	0.00192181
d	0.000341015	0.00441056	0.0146468	0.844058	0.0636121	0.0586435	0.00826052	0.00361901	0.000629419	0.00155094	0.000228679
