 	non	sono	ancora	vestita	</S>
e	0.605368	0.0932646	0.140368	0.0674331	0.0935664
n	0.232836	0.138711	0.627808	0.000529814	0.000114729
ì	0.00913996	0.893495	0.0624581	0.0287296	0.00617699
m	0.00068657	0.998788	0.000285242	4.92509e-05	0.000191373
e	0.00869017	0.924699	0.0644248	0.00160617	0.000580143
a	0.0132705	0.0649269	0.921291	0.000442147	6.92181e-05
n	0.0064159	0.033854	0.950909	0.00569441	0.00312621
k	0.00574025	0.0938811	0.223426	0.226975	0.449978
ò	0.00132933	0.00757736	0.00900064	0.263736	0.718357
r	0.000926525	0.308207	0.0103276	0.467504	0.213035
a	0.00289279	0.0227432	0.747646	0.202974	0.0237442
e	0.00319194	0.00069972	0.603152	0.316072	0.0768853
n	0.0063695	0.0103638	0.0303612	0.682691	0.270215
d	0.00129897	0.00990512	0.0076345	0.438596	0.542565
i	0.000808257	0.000347934	0.0469545	0.108714	0.843175
m	0.00033452	0.000344883	0.00480572	0.464737	0.529778
è	0.00213449	0.00452838	0.00634946	0.819839	0.167149
n	0.000493731	0.00995045	0.00183813	0.800592	0.187126
i	0.00725732	0.0774399	0.0677169	0.814617	0.0329686
</S>	0.000739058	7.53001e-05	0.00416153	0.195757	0.799267
