 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
c	0.182159	0.782724	0.0319334	0.00293355	1.80012e-05	6.44728e-06	2.28454e-06	1.97033e-05	1.00474e-05	4.36675e-06	2.66344e-05	0.000162823
ì	0.99724	0.00228831	0.000371712	2.51837e-05	2.25699e-05	8.93285e-06	3.38344e-06	3.78619e-07	9.4136e-06	1.563e-05	3.21728e-06	1.09336e-05
o	0.992543	0.00734733	9.37881e-05	9.44037e-06	1.6256e-06	2.28665e-07	1.27957e-07	1.7501e-08	7.48176e-07	1.77342e-06	1.66298e-07	2.18885e-06
ì	0.934053	0.050915	0.0144176	0.00015567	0.000297961	2.89444e-05	4.32386e-05	4.57096e-05	3.06153e-06	6.67069e-06	1.54917e-05	1.77487e-05
s	0.0317168	0.927522	0.034985	0.00562485	0.000100467	9.78159e-06	2.96641e-06	2.51491e-05	1.11064e-06	1.97432e-06	1.1709e-06	8.59326e-06
s	0.098346	0.719287	0.153765	0.0260725	0.00200817	0.000175892	7.07461e-05	0.000128621	1.1124e-05	2.50151e-05	7.87111e-05	3.10017e-05
e	0.0834723	0.350166	0.0410452	0.374803	0.0134684	0.117593	0.00919682	0.00103989	0.000958759	0.00149023	0.00515809	0.00160871
r	0.00176141	0.00369682	0.954469	0.00375462	0.020874	0.000554923	0.0115149	0.00263783	0.000322415	0.000205482	0.000204922	3.46348e-06
e	0.0153249	0.286327	0.482373	0.12243	0.0380323	0.0122806	0.0121261	0.00371225	0.00577569	0.00910444	0.00378148	0.0087327
k	0.000220641	0.00120787	0.942944	0.00735577	0.0155709	0.00156941	0.0217528	0.0063837	0.00139913	0.000306766	0.00098411	0.00030501
a	0.00382361	0.0259753	0.642344	0.18111	0.0555824	0.0197201	0.0137543	0.00516202	0.00901587	0.0127118	0.0139841	0.0168171
s	0.000102732	0.000472579	0.759718	0.0541078	0.0606292	0.00656144	0.0818562	0.0248297	0.00418935	0.000780964	0.00323008	0.00352212
ì	0.00222246	0.00634859	0.429518	0.263286	0.12578	0.0467059	0.0381159	0.00773674	0.0128115	0.018108	0.0287663	0.0206008
m	0.000325162	0.0175885	0.0429057	0.929624	0.00298255	0.00491128	0.000405284	0.00015172	0.00014814	0.000122026	6.79574e-05	0.000767572
b	0.0108291	0.024142	0.117679	0.817954	0.0233193	0.0037022	0.000864963	0.000390325	0.000119009	0.000450364	0.000401485	0.000148169
e	0.0013907	0.00676973	0.00976847	0.0679718	0.0526375	0.690911	0.0385214	0.0116106	0.0105995	0.00975242	0.0539785	0.0460881
r	0.000108355	4.49432e-05	0.0221482	0.00905377	0.567301	0.0937444	0.188302	0.0628584	0.033497	0.015696	0.00562589	0.00161992
