 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.99551	0.00238354	0.000102141	3.11372e-05	0.000353813	0.000244137	0.00017518	0.00119981
n	0.920468	0.000880929	0.000377946	0.000158552	0.0402444	0.0128526	0.00488311	0.0201341
a	0.805436	0.0234177	0.00168604	0.000399151	0.143276	0.0210139	0.00261407	0.00215708
v	0.901	0.0440068	0.0213037	0.00567684	0.0237626	0.0036031	0.000544439	0.000102865
o	0.0451618	0.652645	0.132872	0.0230081	0.079083	0.0269655	0.00460698	0.035657
r	0.0309934	0.100421	0.465618	0.136475	0.243014	0.0218332	0.00109643	0.000548276
à	0.00249304	0.0779107	0.20978	0.0939616	0.416198	0.0689748	0.0104494	0.120232
s	0.00342644	0.00299549	0.0104581	0.00197937	0.920312	0.0501094	0.00610731	0.00461227
o	0.0210316	0.319182	0.476008	0.0579572	0.0954507	0.0213214	0.00451924	0.00453031
o	0.000196194	0.0432574	0.198134	0.674952	0.0771465	0.00477471	0.000969782	0.000569653
t	0.00018585	0.00684791	0.0187725	0.13644	0.824617	0.0106104	0.000621103	0.00190473
s	0.00024622	0.00135237	0.016387	0.192831	0.709823	0.0297771	0.0164412	0.0331427
o	4.25549e-05	0.385009	0.26494	0.231166	0.00986034	0.00345616	0.00766148	0.0978642
m	0.000398398	0.0151931	0.0151812	0.0209762	0.484942	0.112475	0.087772	0.263062
ì	0.0002163	0.00290014	0.00445207	0.0136107	0.930646	0.0321327	0.0025628	0.0134789
k	0.000250447	0.000164424	8.09436e-05	8.03713e-05	0.798982	0.105192	0.0754429	0.0198066
u	0.0207935	0.013102	0.00630112	0.00400694	0.195272	0.554969	0.172984	0.0325712
à	0.000209077	0.020596	0.0117409	0.0135481	0.0196133	0.626904	0.143078	0.16431
i	0.00201862	0.0010848	0.000439815	0.000283213	0.016054	0.638027	0.298302	0.0437898
k	0.00127422	0.00106433	0.000618335	0.000238696	0.00257475	0.196718	0.7292	0.0683115
u	0.00055271	0.000101417	0.00024955	0.000187676	0.00188505	0.0305733	0.573276	0.393174
à	0.000125508	0.000522955	0.000269402	0.000128452	0.000115075	0.00847223	0.632585	0.357782
i	0.000875369	0.000168721	8.53455e-05	4.14769e-05	0.00069578	0.0101502	0.86823	0.119753
m	0.00138585	0.000851796	0.000425297	0.000140148	0.00103578	0.0187017	0.630542	0.346917
è	0.000640327	9.43225e-05	0.000161848	9.97321e-05	0.001259	0.00596188	0.673347	0.318436
r	0.000496887	2.55501e-05	1.19023e-05	4.65997e-06	0.000860216	0.00234098	0.786035	0.210225
i	0.00163667	0.000347328	0.000213908	9.65495e-05	0.00074469	0.00350718	0.539139	0.454315
</S>	5.4886e-05	0.000269278	0.00010452	4.70783e-05	2.40649e-05	0.000104409	0.0227425	0.976653
