 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
e	0.953103	0.0190209	0.00373773	0.00035926	0.00277286	0.000235912	0.000160974	7.3943e-05	0.00107233	0.000179506	0.00194465	0.0173392
n	0.575554	0.326135	0.0468743	0.00158761	0.0348792	0.000967093	0.00018367	6.68936e-05	0.00927693	0.000475321	0.00379482	0.00020445
è	0.0479188	0.766703	0.126367	0.00140171	0.00621477	0.00242581	0.000849182	4.58847e-05	0.0269777	0.00216325	0.0123052	0.00662809
n	0.0106331	0.971976	0.0158958	0.000178447	0.000597736	3.998e-05	1.29541e-05	1.52103e-06	0.000360753	1.36224e-05	6.96869e-05	0.000220679
a	0.0908617	0.351759	0.533393	0.0118512	0.0111309	0.000209916	1.37588e-05	7.80673e-06	0.000265568	1.23859e-05	0.000150192	0.000344854
l	0.0032326	0.0120628	0.933983	0.0198384	0.0276378	0.00226037	0.000244295	9.14484e-05	0.000328433	0.000304296	1.46587e-05	2.11375e-06
l	0.00337412	0.0160947	0.359886	0.439117	0.0646685	0.0425932	0.0230274	0.00603287	0.00606913	0.00732743	0.00459303	0.0272169
i	0.000654881	0.00256322	0.230689	0.415816	0.0793698	0.0606132	0.0290297	0.0858168	0.0266869	0.00949512	0.00216503	0.0570996
m	0.00203547	0.00434524	0.394068	0.153483	0.214892	0.102599	0.0278224	0.011839	0.056565	0.0147129	0.00411478	0.0135228
o	0.00854538	0.0149818	0.137473	0.454797	0.142751	0.0963382	0.0233167	0.00265368	0.0110451	0.0153925	0.0040576	0.0886476
n	0.00162013	0.000721397	0.0345634	0.407401	0.275143	0.12652	0.0397118	0.0384583	0.0226923	0.0240015	0.00168648	0.0274811
ì	0.00376184	0.0062081	0.0859295	0.226388	0.217233	0.251715	0.0716295	0.0136526	0.0246715	0.0227325	0.00521378	0.0708654
s	0.00105897	0.00427142	0.0237929	0.0704229	0.61959	0.0173723	0.00343563	0.00268476	0.107609	0.00105071	0.0800788	0.0686326
u	0.00465252	0.0113321	0.112444	0.274294	0.317822	0.130187	0.0351707	0.00672465	0.0235598	0.00825394	0.058075	0.0174849
m	0.000218567	0.000145787	0.00270097	0.0221462	0.729346	0.170598	0.0224257	0.0202731	0.0257837	0.0037453	0.00187314	0.000743435
e	0.00183128	0.00601569	0.00509262	0.0264105	0.125812	0.406352	0.164386	0.0537719	0.0750985	0.0250891	0.0238964	0.0862433
m	0.000153088	6.42574e-05	0.000496632	0.00307612	0.249522	0.505719	0.125749	0.0610875	0.0371304	0.00767267	0.0012888	0.00804032
a	0.000914965	0.00216563	0.00330825	0.00465787	0.0517682	0.468903	0.207976	0.0678186	0.0745078	0.0196905	0.0169665	0.0813232
i	0.000148251	5.43263e-05	0.000342502	0.000727877	0.0488802	0.458213	0.274416	0.138199	0.0554723	0.0101682	0.00152931	0.0118489
t	0.000231707	0.000315287	0.000509645	0.000224084	0.00576371	0.265706	0.41099	0.125781	0.158506	0.0116255	0.00568417	0.0146625
u	5.31251e-05	0.000249912	0.000613228	0.000154168	0.00211677	0.131213	0.404707	0.255007	0.13526	0.0109435	0.0225594	0.0371227
s	9.38825e-05	5.1226e-05	0.000163065	8.16271e-05	0.00457784	0.117609	0.4055	0.159622	0.269362	0.0268131	0.00383954	0.0122872
t	0.00028566	0.000757735	0.00165489	0.000426894	0.00289426	0.0873302	0.294138	0.149471	0.19568	0.0242765	0.0777758	0.16531
a	0.000370719	0.000274639	0.00443184	0.0134332	0.0128722	0.0507181	0.109682	0.260584	0.0470221	0.0921464	0.0429313	0.365534
c	0.000151621	0.00019648	0.000729182	0.000118661	0.00106531	0.0243169	0.108111	0.0754637	0.205013	0.113729	0.0904349	0.380671
i	0.000863958	0.00110669	0.00306243	0.000430647	0.00336109	0.0883675	0.256245	0.192077	0.245593	0.112991	0.0274285	0.0684729
ù	0.000319897	0.000119978	0.000778597	0.000406636	0.00182647	0.0452291	0.194862	0.408907	0.122229	0.116152	0.00911748	0.100051
r	0.00129641	0.00332631	0.00162721	0.000372453	0.00211443	0.00152532	0.00512891	0.016056	0.248698	0.111675	0.572913	0.035267
i	0.00117383	0.00474662	0.00436357	0.000942136	0.00780072	0.0514614	0.120181	0.061876	0.282866	0.108953	0.311952	0.0436839
