 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.922345	0.0433024	0.00878051	0.017683	0.000136429	0.000612182	0.000247195	0.000131627	0.0067619
n	0.558559	0.431118	0.00582889	0.00262995	0.00037863	0.00043406	0.000792178	0.000190516	6.81393e-05
e	0.0125574	0.972068	0.00566456	0.00169085	0.00159396	0.0005228	0.00451571	0.000284984	0.00110191
s	0.0234657	0.851353	0.123932	0.000362352	0.0001896	9.33824e-05	0.000596333	3.89506e-06	3.854e-06
p	0.00106906	0.0404889	0.944944	0.00197901	0.00382901	0.000330949	0.0031977	0.000189161	0.00397271
ì	0.00400102	0.0231436	0.7619	0.023406	0.0765416	0.0666239	0.0120057	0.00136945	0.0310086
c	0.000845666	0.0403645	0.952859	0.000485217	0.00422853	0.000697911	0.000125073	0.000314764	7.88763e-05
c	0.00372865	0.0913192	0.90129	0.00155189	0.00118555	0.000131516	4.24354e-05	0.000553511	0.00019672
e	0.000334922	0.052892	0.655938	0.000477589	0.0533089	0.0212908	0.00313473	0.143245	0.0693779
t	0.0244549	0.132831	0.0418745	0.499638	0.0355996	0.250537	0.0140652	0.000394773	0.000605483
s	0.000765897	0.0166276	0.822221	0.0385803	0.0602805	0.0170028	0.0106996	0.00466601	0.0291565
a	0.00345285	0.0307453	0.224018	0.239032	0.0980931	0.3062	0.0199058	0.00175383	0.0767989
o	0.00259978	0.0200482	0.00704449	0.413051	0.449251	0.0550291	0.0346039	0.000505248	0.0178675
s	0.00111612	0.00228089	0.00124836	0.684859	0.296259	0.00684037	0.00462454	0.000246175	0.00252567
ò	0.0002093	0.000676594	0.00199422	0.0736578	0.829831	0.0533927	0.0122986	0.00153026	0.0264092
z	8.76126e-05	0.00187465	0.00611929	0.00787361	0.942292	0.0138286	0.00066692	0.015324	0.0119332
o	0.00344952	0.00608178	0.00608388	0.645513	0.275609	0.019646	0.0112708	0.0272622	0.00508302
s	0.000256857	0.000283214	2.00023e-05	0.091518	0.0472237	0.849458	0.00910003	0.000799987	0.00133992
p	0.000438315	0.00128862	0.00262766	0.0938862	0.43687	0.24963	0.109431	0.0234354	0.0823938
i	0.000337239	0.000340789	0.00293535	0.207071	0.290818	0.342187	0.0175693	0.0127688	0.125972
c	0.000397096	0.000452493	3.71484e-05	0.00581298	0.0179119	0.780105	0.0689037	0.00370473	0.122675
c	0.000407137	0.000590322	0.00133806	0.008444	0.0788762	0.79742	0.0490519	0.00590468	0.0579671
è	0.000231724	0.000230883	0.00426285	0.0292206	0.340205	0.244545	0.0291532	0.048029	0.304122
t	0.000486943	0.00209573	0.120321	0.000772424	0.0183752	0.261761	0.0252811	0.509537	0.0613698
s	0.000791914	0.00207551	0.024672	0.00338498	0.0237243	0.38173	0.0959692	0.446166	0.0214863
i	2.40089e-05	8.37393e-05	0.00291138	0.00312236	0.0744798	0.0481393	0.0218823	0.1956	0.653757
t	0.000286412	0.000242189	6.82242e-06	0.000550796	0.000171575	0.0856482	0.790452	0.00711447	0.115527
s	6.5259e-05	0.00024854	0.000735589	0.000248571	0.00151357	0.300142	0.437199	0.0863056	0.173542
e	0.00051932	0.000168834	0.00123393	0.0292675	0.00653776	0.332563	0.0529937	0.0520466	0.524669
g	0.000127718	0.000134599	1.60755e-05	4.46254e-05	5.59141e-05	0.0104418	0.428685	0.0262261	0.534268
r	0.000428154	0.000692687	0.0039218	0.000363485	0.00178106	0.0990983	0.640281	0.0847214	0.168712
à	0.000523324	0.0001411	0.00578508	0.00789369	0.0029598	0.107751	0.0270534	0.154573	0.69332
t	0.000498942	0.000770511	0.00274827	0.00012268	0.000180869	0.00621938	0.12702	0.752564	0.109876
s	0.000146425	0.000513107	0.0050465	4.68021e-05	7.62043e-05	0.00282275	0.274505	0.707115	0.00972811
i	9.60663e-06	4.24227e-05	0.00622839	5.90693e-05	0.00169754	0.0124383	0.0216813	0.119982	0.837861
</S>	0.00022197	0.000197765	9.24449e-06	6.09766e-05	3.80535e-05	0.00227269	0.10824	0.0269119	0.862048
