 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
z	0.751302	0.100542	0.0666591	0.0273406	0.00101196	0.000879981	0.000558798	0.000716497	0.0128907	0.0380985
ì	0.881635	0.0578703	0.0545628	0.00448984	0.000204864	0.000350295	0.000250045	5.11297e-05	0.000469426	0.000116161
s	0.037337	0.831254	0.116505	0.00195817	0.000885152	0.00655947	0.00135514	0.000416247	0.000344132	0.00338621
o	0.0615752	0.599335	0.198186	0.139255	0.000307926	2.18308e-05	1.48542e-05	5.48749e-06	0.00109686	0.00020152
n	0.00727715	0.393738	0.587435	0.0114589	6.23038e-05	3.6915e-06	2.57869e-06	4.30325e-06	1.78011e-05	2.03798e-07
t	0.0522419	0.249429	0.612392	0.0352111	0.0213956	0.0129971	0.00514462	0.00394799	0.00229794	0.00494287
a	0.0436564	0.597929	0.142665	0.0647813	0.0484402	0.00401511	0.00372892	0.00610828	0.0221513	0.0665248
e	0.00381073	0.0436905	0.894542	0.0516783	0.00472641	0.000134329	0.000173011	0.000311592	0.000857649	7.54189e-05
k	0.00228987	0.00266464	0.572311	0.40188	0.0145636	0.00237579	0.000917085	0.00077746	0.000804964	0.00141554
i	0.0116545	0.0148808	0.512628	0.34039	0.0643639	0.0203997	0.00897541	0.0067677	0.00673076	0.0132093
a	0.000200438	0.00308269	0.0958135	0.79377	0.0859405	0.00104258	0.00128234	0.00238929	0.00916022	0.00731896
t	0.00232359	0.00259211	0.0220951	0.769451	0.171653	0.0131382	0.00450529	0.0028508	0.00777256	0.0036181
è	0.00221259	0.0044128	0.0183776	0.101787	0.583166	0.119007	0.0712711	0.0513067	0.0345088	0.013951
r	0.0387847	0.00995812	0.158837	0.156691	0.286678	0.071576	0.0595396	0.0021722	0.0386516	0.177113
a	0.00636067	0.00776724	0.0481888	0.707187	0.183017	0.0161797	0.00441524	0.000703006	0.0234037	0.00277727
m	9.37201e-05	0.00102559	0.00484205	0.293207	0.668261	0.0114634	0.00343047	0.00153289	0.0107366	0.00540769
u	0.00247356	0.00227062	0.00361846	0.0102975	0.635089	0.210058	0.0600616	0.0306729	0.026818	0.0186405
i	8.72758e-05	0.000351826	0.000553528	0.0634387	0.852888	0.0255795	0.00524137	0.00406411	0.0103914	0.0374048
n	0.000720814	0.000507744	0.000663411	0.00397946	0.634843	0.301608	0.0361525	0.00636137	0.00890408	0.00625991
ì	0.00149291	0.00136443	0.000964016	0.00257334	0.394831	0.422517	0.0902017	0.0253696	0.0468883	0.0137987
c	0.0153264	0.00169644	0.00428122	0.00326067	0.150739	0.447053	0.150823	0.00145613	0.0617269	0.163637
h	0.012776	0.00477655	0.00766478	0.00823788	0.229387	0.507805	0.140814	0.00679941	0.0746494	0.00708957
a	0.00515905	0.00477383	0.00451609	0.056557	0.112896	0.0932799	0.0685715	0.00723052	0.495209	0.151808
p	0.00111038	0.000658921	0.000553702	0.00167946	0.0220272	0.408966	0.499615	0.0344602	0.00844221	0.0224873
à	0.000543383	0.000839632	0.00105736	0.000264856	0.0305622	0.458651	0.369447	0.062689	0.0491143	0.0268317
r	0.00424879	0.000379643	0.000714776	6.09042e-05	0.00313682	0.218717	0.627063	0.00244561	0.0339118	0.109322
o	0.00102673	0.00104322	0.00136838	0.000634832	0.0218621	0.247973	0.579307	0.0433349	0.0923597	0.0110893
n	0.000222169	0.000609681	0.000460896	0.00163649	0.0148235	0.0255709	0.296482	0.243354	0.326897	0.089943
t	0.000281312	0.000464554	0.000740451	0.000160774	0.0069395	0.149119	0.563212	0.14942	0.0566092	0.0730532
a	0.000366072	0.00147177	0.000693737	0.000397114	0.0474442	0.159952	0.14146	0.0998265	0.15498	0.393409
s	0.000121399	0.000266589	0.000187917	0.000341949	0.00449699	0.0294306	0.232889	0.262437	0.129064	0.340764
t	0.000330129	0.000367716	0.000258372	6.93489e-05	0.0040547	0.0635678	0.418176	0.186866	0.10674	0.21957
i	0.000357996	0.00145368	0.000715637	0.000302422	0.0291406	0.0732797	0.115318	0.145352	0.163433	0.470647
n	8.46065e-05	0.000165944	0.000123334	0.00018026	0.00177096	0.00779543	0.0775806	0.348343	0.181202	0.382753
a	0.000915103	0.000939649	0.000604277	0.000155355	0.00421235	0.0315898	0.221002	0.377123	0.204395	0.159063
g	0.000211622	0.000470771	0.000244721	0.000504045	0.0023577	0.00320239	0.0299539	0.276281	0.180342	0.506432
l	0.00263359	0.00240049	0.00157587	0.00032229	0.00473333	0.0145231	0.0707751	0.39797	0.372189	0.132877
i	0.000824576	0.00103396	0.000347138	0.000795641	0.0109867	0.0162213	0.0321925	0.0277568	0.0711259	0.838716
s	0.000158014	0.000184876	0.000127071	9.98426e-05	0.000549556	0.00126872	0.00677663	0.14991	0.23302	0.607906
ì	0.00135668	0.000597587	0.0002858	0.000149862	0.00161105	0.0075531	0.0417835	0.24112	0.55016	0.155383
a	0.00335005	0.000695634	0.000981133	9.90104e-05	0.000351357	0.000671593	0.0132865	0.0254365	0.759395	0.195733
</S>	0.00405788	0.00162236	0.000966902	0.000722074	0.000606653	0.000413638	0.00221721	0.0714575	0.609545	0.308391
