 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a	0.766103	0.204023	0.0200582	0.00204087	0.000102104	0.000631303	6.12517e-05	0.000112363	0.00078829	0.00607972
t	0.465897	0.527702	0.00494604	0.00020686	1.78035e-05	0.000946551	3.91915e-05	9.24255e-05	0.000130054	2.17091e-05
e	0.00364613	0.97937	0.00534067	0.00410293	0.000133603	0.000103808	0.000138201	0.00022693	0.00285018	0.00408754
l	0.00662265	0.99114	0.00202213	0.00012891	9.62572e-06	5.04287e-05	1.78893e-05	6.5494e-06	1.66971e-06	5.62741e-07
ì	0.000446307	0.882442	0.0287226	0.053834	0.00379168	0.00148269	0.00180547	0.00143738	0.0175001	0.00853742
s	0.000215797	0.995576	0.0023228	0.000723848	2.59369e-05	7.11594e-05	1.7845e-05	0.00011903	0.000448612	0.00047878
i	0.0989262	0.670327	0.21721	0.0092615	0.000493217	0.00110942	0.000181985	6.99426e-05	0.00191934	0.000502347
n	0.0383407	0.029795	0.897013	0.00586319	0.00638961	0.0184758	0.00369895	0.000313819	1.01992e-05	0.000100123
a	0.00986642	0.338416	0.331628	0.227416	0.0333318	0.0105892	0.0110316	0.00501415	0.00364547	0.0290625
m	0.0113875	0.0129409	0.874609	0.0199917	0.0157944	0.0429176	0.00850512	0.00209423	0.00132829	0.0104311
ì	0.00439011	0.0822791	0.227759	0.49814	0.0430556	0.0145459	0.0207303	0.0101725	0.0183292	0.0805983
n	0.000326978	0.186968	0.587346	0.122973	0.00295252	0.00460838	0.001077	0.0046486	0.0500418	0.0390578
i	0.00298169	0.0181449	0.7345	0.214458	0.0126965	0.00738181	0.00326618	0.000745146	0.00425735	0.00156867
p	0.00143458	0.000622341	0.245124	0.265888	0.346154	0.113655	0.0237172	0.00166344	0.000180175	0.00156062
à	0.000351277	0.00183652	0.0416838	0.774139	0.107917	0.0175522	0.0242336	0.0131744	0.00152007	0.0175918
n	5.83914e-05	0.0111745	0.0500508	0.83317	0.015761	0.00675887	0.0017985	0.00448733	0.0538226	0.0229182
t	0.000441164	0.0014122	0.0334853	0.873725	0.0692689	0.00826888	0.00767186	0.00146145	0.0027406	0.00152465
a	2.46608e-06	0.00132405	0.00376127	0.295534	0.0375743	0.00101284	0.0197813	0.018316	0.527339	0.0953548
l	0.000225686	7.00171e-05	0.00322336	0.150919	0.637851	0.125839	0.0761237	0.0041752	5.40564e-05	0.00151932
e	5.758e-05	0.000137209	0.00181161	0.814173	0.118073	0.0131315	0.0183397	0.00990858	0.00161142	0.0227565
t	0.000137931	2.69293e-05	0.00102574	0.183424	0.539778	0.182811	0.0770956	0.00513456	0.000836064	0.00973058
t	6.66288e-05	0.000371156	0.00131629	0.375319	0.278311	0.0210103	0.137335	0.0572024	0.00601553	0.123053
ò	0.000139188	2.76451e-05	0.00143226	0.0401297	0.716743	0.0340796	0.102601	0.00720761	0.0106886	0.0869511
m	0.000208597	0.00484714	0.00212888	0.377378	0.119895	0.0702833	0.0494664	0.0225621	0.311069	0.0421609
i	0.000251311	0.00257711	0.00228257	0.65892	0.15147	0.0211865	0.0478529	0.0115352	0.0989521	0.00497312
f	0.000251539	2.19597e-05	0.000317508	0.00560012	0.0660743	0.304026	0.525908	0.0710707	0.00417671	0.0225532
à	0.000342352	0.00141587	0.00235018	0.0275538	0.0268254	0.0170985	0.487609	0.242301	0.0217937	0.17271
i	4.13474e-05	0.00587421	0.00102549	0.0255344	0.00374436	0.0193673	0.114	0.227015	0.491229	0.112169
t	0.000716668	0.000602153	0.000846671	0.00480805	0.00360006	0.0093914	0.373804	0.550522	0.00900874	0.0467002
o	2.8093e-05	0.000197756	0.000339956	0.00238756	0.00204833	0.00312114	0.295194	0.361745	0.0546238	0.280314
v	0.000163511	3.73581e-05	0.000216441	0.000691738	0.000976352	0.0135986	0.0988641	0.506614	0.194017	0.184821
r	0.000228521	0.00102714	0.0013397	0.00370699	0.000958055	0.00146609	0.0405835	0.366457	0.203229	0.381004
à	0.000221908	3.78008e-05	0.000460824	0.00484886	0.0384722	0.0084667	0.0550592	0.0120216	0.379254	0.501157
i	0.000111896	0.000405418	0.000317254	0.000351136	9.46781e-05	0.00117416	0.00352556	0.0321073	0.89033	0.0715822
</S>	0.00116875	0.00113279	0.00174524	0.00391532	0.000973859	0.00125241	0.0212098	0.127986	0.126783	0.713833
