 	è	che	stanno	ancora	svegli	</S>
è	0.99387	0.0013208	0.00241086	0.0012515	6.86431e-05	0.0010779
n	0.808702	0.10921	0.0254849	0.00561589	0.000357928	0.0506298
a	0.281482	0.639828	0.0429857	0.0332553	0.000271652	0.00217749
s	0.110397	0.836935	0.0412357	0.0111704	0.000260695	7.26239e-07
t	0.0276904	0.430747	0.419446	0.0614659	0.0433861	0.0172643
a	0.030371	0.587092	0.17194	0.0189228	0.114713	0.0769607
t	0.0133181	0.0882816	0.867401	0.0113475	0.019571	8.05077e-05
ù	0.00106383	0.0375081	0.735597	0.00981661	0.154443	0.061572
n	0.00158086	0.011054	0.966205	0.00184972	0.00301546	0.0162955
e	0.00706464	0.0279864	0.775081	0.178431	0.0111799	0.000257122
a	0.000994938	0.0101646	0.132045	0.792143	0.0642167	0.000435949
n	0.00204117	0.00318256	0.0261963	0.785333	0.181965	0.00128228
k	0.0024734	0.0241903	0.0729122	0.0986749	0.692259	0.109491
ò	0.000150602	0.00285084	0.0133825	0.00556714	0.018496	0.959553
r	0.00919225	0.0305671	0.181248	0.0234289	0.13816	0.617404
a	0.00294141	0.00781383	0.0493789	0.861168	0.0544437	0.0242541
a	0.00128064	0.00343971	0.00963484	0.831503	0.12419	0.029952
t	0.00335781	0.00680192	0.00534945	0.0241226	0.9252	0.0351683
s	0.0016042	0.0062138	0.00591527	0.0014776	0.650663	0.334127
ù	0.000101202	0.000763863	0.00066554	0.0271205	0.00298635	0.968363
n	0.00575291	0.0102804	0.010186	0.0214974	0.714341	0.237943
n	0.00776996	0.0339096	0.0272751	0.0324125	0.846857	0.0517758
i	0.000106433	0.000726629	0.00234631	0.000445921	0.00278608	0.993589
t	0.000923918	0.00184705	0.00129497	0.0284294	0.485128	0.482377
i	3.86798e-05	0.000281936	0.000215903	8.64124e-05	0.0468169	0.95256
</S>	0.000207929	0.000497691	0.000241934	0.00248961	0.14076	0.855803
