 	non	ha	mangiato	mai	un	rustico	</S>
e	0.889007	0.0585877	0.023578	0.00209046	0.00199602	0.0044886	0.0202521
n	0.554558	0.392579	0.0315859	0.0179189	0.0031139	0.000136305	0.000107879
è	0.00536705	0.902965	0.0737844	0.00239847	0.0145977	0.000228699	0.000658177
c	0.00261626	0.970465	0.02529	0.000362606	0.000528762	5.58324e-06	0.000732105
h	0.0227594	0.393827	0.561971	0.01948	0.000605339	0.000233957	0.00112362
i	0.00105312	0.0603303	0.921867	0.011125	0.00126247	6.9049e-05	0.0042932
f	0.00658407	0.0300559	0.812767	0.144694	0.00442195	0.000990695	0.000486106
a	0.00172548	0.0225435	0.464321	0.25202	0.140288	0.0493717	0.0697294
m	0.000931102	0.0023831	0.0145856	0.949662	0.0286442	0.0023717	0.00142263
è	0.00783823	0.0355658	0.0229722	0.21322	0.420405	0.198867	0.101132
n	0.00191631	0.0119561	0.0595959	0.303672	0.0807705	0.0036809	0.538409
a	0.008849	0.0383728	0.104894	0.245194	0.558799	0.0306843	0.0132073
m	0.00094092	0.000465585	0.00133462	0.467375	0.489338	0.0371237	0.00342231
à	0.0018508	0.0130956	0.00430095	0.0275529	0.731567	0.0820645	0.139568
i	0.000301122	0.002084	0.00484214	0.0169919	0.263518	0.00137936	0.710884
è	0.0039736	0.00312999	0.00581469	0.0215557	0.578823	0.370762	0.0159412
n	0.00458641	0.00727374	0.00413836	0.00992177	0.427771	0.538194	0.00811504
a	0.00164234	0.0144399	0.0155334	0.0254638	0.811358	0.090577	0.0409854
n	0.000498741	0.000297438	0.000454784	0.00259768	0.0325314	0.852359	0.111261
r	0.00122739	0.011174	0.00723995	0.00694052	0.0429552	0.0904006	0.840062
ù	0.000222516	0.000109477	0.000294535	0.00235177	0.0137402	0.276964	0.706318
s	0.00463946	0.0165543	0.00924656	0.00887198	0.065149	0.520512	0.375027
t	0.00202058	0.0140783	0.0213465	0.00902074	0.091327	0.818726	0.0434807
i	6.49114e-06	0.00069569	0.000701857	6.19972e-05	0.00864028	0.0181546	0.971739
k	0.00047571	0.000219785	0.000310958	0.000898715	0.00377903	0.839382	0.154934
o	0.000119563	0.00084932	0.00122956	0.000437033	0.00231664	0.0312124	0.963836
</S>	0.000194469	6.93325e-05	0.000118813	0.000289742	0.00047146	0.146707	0.852149
