 	se	vieni	a	casa	ogni	sabato	</S>
a	0.936738	0.00704236	0.0313728	0.00707113	0.00437597	0.000188841	0.0132109
n	0.674761	0.238623	0.0800435	0.00281204	0.0032847	0.000447237	2.87221e-05
è	0.0141163	0.00793202	0.62141	0.233776	0.110163	0.00325581	0.00934667
r	0.000801734	0.00100603	0.850414	0.137967	0.0095036	0.000184635	0.000123056
t	0.0283282	0.455111	0.48217	0.0297844	0.00327742	0.000708742	0.000619972
i	0.000407838	0.0137454	0.244378	0.422625	0.0513832	0.0728047	0.194656
è	0.00291599	0.0540122	0.920163	0.0205502	0.00234032	1.08873e-05	6.99309e-06
s	0.000245057	0.0457322	0.700162	0.247736	0.00559262	0.000380104	0.000151631
s	0.000611546	0.0321065	0.447229	0.480043	0.0315288	0.00766146	0.000819835
u	0.000723009	0.0176354	0.088288	0.156905	0.117637	0.200951	0.417861
k	0.0056003	0.0435692	0.13719	0.214445	0.58569	0.00135409	0.0121518
u	0.000655546	0.0224778	0.0695902	0.578313	0.146389	0.0249461	0.157628
à	0.002365	0.0336756	0.0262533	0.0348472	0.815307	0.0160435	0.0715089
i	0.00035508	0.00283767	0.00303455	0.00660497	0.917598	0.0667661	0.00280353
s	0.00100112	0.00233867	0.00329522	0.00348927	0.928303	0.0497357	0.0118368
à	0.000743468	0.0015145	0.00270001	0.00390361	0.1701	0.321024	0.500014
m	8.1073e-06	3.63951e-05	0.000257804	0.000272268	0.0237827	0.962456	0.013187
b	9.6401e-05	0.000102347	0.000595709	0.000854941	0.0429304	0.936385	0.0190355
a	3.52455e-05	0.000611404	0.000112492	0.000184721	0.00174971	0.0268152	0.970491
</S>	0.000173884	0.000244391	0.000200843	0.000117824	0.00218416	0.00368239	0.993397
