 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
t	0.993827	0.00560748	0.000173516	9.70629e-05	1.83272e-05	1.1843e-05	3.3978e-05	0.000230861
ù	0.999554	0.000215621	0.000197604	2.0373e-05	7.79012e-06	1.71351e-06	1.47627e-06	1.46909e-06
t	0.792657	0.202196	0.00169576	0.00249131	0.000303168	6.80105e-05	4.41616e-05	0.000544554
t	0.900662	0.0887367	0.00800775	0.00242937	1.09822e-05	3.26085e-06	9.51281e-05	5.47329e-05
o	0.989664	0.00866236	0.000532595	0.000566958	7.54712e-06	6.27092e-05	0.000467459	3.65683e-05
s	0.18608	0.811636	0.00187497	0.000401764	6.36067e-06	4.4609e-07	6.47555e-07	1.39337e-07
p	0.0701722	0.579402	0.224588	0.0479122	0.0359262	0.0201171	0.00621997	0.015662
ì	0.527721	0.241696	0.106115	0.0266203	0.015859	0.00440208	0.0166491	0.0609385
t	0.0084859	0.950516	0.0128917	0.0274199	0.000125353	0.000112561	0.000282233	0.000166503
i	0.0253988	0.464799	0.384818	0.122876	0.00135948	3.33161e-05	0.000447467	0.000268183
t	0.00286147	0.0448787	0.893669	0.0577894	0.000679306	7.2845e-06	9.13476e-05	2.31941e-05
o	0.000439607	0.0140517	0.838164	0.0789671	0.0366067	0.0130812	0.00656953	0.0121204
f	0.000124939	0.00741904	0.894793	0.0885959	0.0059616	0.000157046	0.000686615	0.00226143
a	0.000229287	0.00473547	0.794863	0.121471	0.0349308	0.0168801	0.00780228	0.0190879
b	0.000124681	0.00453368	0.631471	0.318532	0.0254678	0.000722681	0.00258884	0.0165586
b	0.000265774	0.00486797	0.492311	0.390552	0.0581369	0.013087	0.012822	0.0279571
r	0.00232633	0.0186013	0.0891156	0.112943	0.211265	0.0386782	0.128953	0.398118
i	0.000285567	0.0048668	0.0243973	0.0332075	0.0784387	0.0301815	0.222029	0.606593
k	0.000370544	0.00280061	0.0973066	0.492344	0.33239	0.0112371	0.0266616	0.0368891
è	0.00156673	0.00392387	0.0707331	0.794019	0.0744774	0.00968748	0.0297063	0.0158857
t	0.000273171	0.00991075	0.0251198	0.832184	0.0119176	0.00472588	0.0347144	0.0811537
s	0.000785497	0.0057919	0.0991377	0.69052	0.0932783	0.00754441	0.0906332	0.0123091
a	0.000153024	0.000549583	0.013744	0.00647983	0.00691448	0.0321431	0.780065	0.159951
n	0.000319614	0.00127514	0.0178071	0.118774	0.714	0.0218689	0.0421034	0.083852
o	0.00012813	0.000540556	0.00389676	0.0221516	0.862023	0.0533341	0.0212269	0.0366992
p	5.39382e-05	0.000327808	0.0015721	0.0121882	0.854937	0.00949743	0.0103455	0.111078
e	8.48085e-05	0.000531827	0.00222861	0.00931126	0.733286	0.0782675	0.0643631	0.111927
t	6.01802e-05	0.000306031	0.0009716	0.00393024	0.827538	0.0191036	0.0155786	0.132511
t	8.90955e-05	0.00024585	0.000900021	0.0015679	0.772474	0.0831149	0.0439935	0.0976145
ì	0.000185643	0.000285857	0.0034963	0.00241414	0.0498529	0.0301434	0.100963	0.812659
n	0.000738553	0.00915096	0.00232301	0.0235274	0.14325	0.0727497	0.496335	0.251925
t	0.00089919	0.00801879	0.00577166	0.0277458	0.548082	0.107566	0.27745	0.0244662
a	3.84614e-05	5.89717e-05	0.000273025	0.000612217	0.00928098	0.136971	0.512211	0.340554
c	0.000282827	0.000687637	0.00105485	0.00228189	0.188136	0.26603	0.32442	0.217107
h	3.32178e-05	0.000154781	0.000326006	0.000316277	0.147435	0.467218	0.147365	0.237152
r	8.81674e-05	0.00029647	0.00039949	0.000416688	0.205429	0.2326	0.0899058	0.470865
ò	1.22469e-05	5.68224e-05	0.00011282	0.000165239	0.0193287	0.341889	0.28943	0.349005
n	0.000116314	0.00197706	0.000316243	0.00119593	0.00237165	0.0837018	0.766795	0.143526
u	0.0012369	0.0111561	0.00537505	0.00891377	0.0334886	0.202503	0.712616	0.0247103
a	0.000106482	0.000237819	0.000215914	0.000162451	0.00947469	0.0833814	0.686383	0.220039
m	2.85236e-05	0.000240619	0.000248745	0.00022338	0.00196371	0.0631822	0.727089	0.207024
p	0.000208532	0.00043443	0.00117078	0.000429175	0.0371621	0.581517	0.319554	0.059524
ì	0.000158535	0.000225072	0.000479751	0.000125741	0.0178734	0.0921642	0.0961953	0.792778
</S>	0.000306774	0.00294301	0.00055601	0.00155145	0.000364715	0.00800424	0.828297	0.157976
