 	quando	venne	Giovanni	Anna	aveva	già	dormito	</S>
m	0.049316	0.933387	0.0123157	0.00333159	0.000492427	2.05857e-05	0.000484609	0.000652432
ò	0.998778	0.00102993	7.12319e-05	7.54193e-05	2.34677e-05	1.10356e-05	7.37077e-06	3.37665e-06
t	0.936937	0.0627258	5.33975e-05	0.000198808	3.16447e-05	1.845e-05	7.98859e-06	2.66083e-05
t	0.933616	0.0636418	0.00227914	0.000421515	1.913e-05	1.01355e-06	1.35204e-05	7.93672e-06
i	0.996873	0.00303787	2.04926e-05	2.88759e-05	1.38026e-05	4.66603e-07	2.21236e-05	3.53583e-06
ì	0.13277	0.713991	0.1524	0.000679539	0.000123884	3.34902e-05	1.72591e-06	1.21474e-06
r	0.0348965	0.898851	0.0602306	0.00544601	0.000526105	1.22123e-05	1.75908e-05	2.00929e-05
t	0.0303104	0.927411	0.0319407	0.0100949	0.000183006	2.12726e-05	2.54115e-05	1.35147e-05
e	0.455187	0.357854	0.00774097	0.0200376	0.021443	0.00076976	0.114954	0.0220133
o	0.000271905	0.0133872	0.98363	0.00184381	0.000776097	6.77789e-05	1.74369e-05	5.42839e-06
G	0.00059577	0.0223623	0.950906	0.0220337	0.00247784	0.000692572	0.000308356	0.000623588
i	0.000946639	0.00705978	0.928445	0.0363492	0.00258682	0.0159117	0.00226626	0.00643437
o	6.20262e-05	0.000682855	0.947954	0.0189416	0.0145768	0.00673768	0.00487415	0.00617044
v	0.000794313	0.0015337	0.0413918	0.874691	0.0558612	0.0215706	0.00225494	0.0019028
à	0.00180361	0.00196862	0.7421	0.128642	0.0191131	0.0702896	0.0258823	0.010201
n	0.00342474	0.0666839	0.0172671	0.585105	0.296108	0.00595794	0.00936134	0.016092
n	0.00906193	0.0159432	0.130772	0.82602	0.0162938	0.000623144	0.00108503	0.000201571
i	0.00284214	0.00795752	0.00426782	0.20306	0.154249	0.00808083	0.544298	0.0752445
e	7.58472e-05	0.000221994	0.479872	0.264826	0.131855	0.0446698	0.0454084	0.0330707
A	0.000258804	0.000492935	0.0473554	0.863109	0.068545	0.0139457	0.00231423	0.0039786
n	0.000222481	0.000493669	0.00192637	0.636774	0.358791	0.00144031	0.000251444	0.000100298
n	0.00465022	0.0104297	0.018827	0.859233	0.101734	0.00328039	0.0015879	0.000257895
a	0.0015142	0.00180853	0.00215316	0.134875	0.106897	0.0190059	0.626606	0.107141
g	5.40425e-05	8.08862e-05	0.0658476	0.0671619	0.185141	0.356242	0.196522	0.128949
i	0.00292403	0.00156353	0.00471852	0.264786	0.0903571	0.541303	0.0385764	0.0557717
à	6.32722e-05	5.46302e-05	0.0136836	0.0125626	0.0939003	0.581996	0.0936385	0.204101
ì	0.00337214	0.00558606	0.000771184	0.104097	0.804817	0.0637775	0.0155829	0.00199672
c	0.00428945	0.0608726	0.000937545	0.170394	0.168971	0.470476	0.0950825	0.028977
h	0.0943183	0.10864	0.00326981	0.123947	0.477799	0.0882835	0.0956956	0.0080476
e	0.000363555	0.000327253	0.00157738	0.0172219	0.0802155	0.0673906	0.76678	0.0661238
p	0.000383119	0.00036272	0.00113473	0.00363693	0.00720604	0.177097	0.723103	0.0870769
l	0.00355193	0.00406066	0.00232278	0.00455429	0.0134648	0.343686	0.382913	0.245446
ò	0.000264479	0.000170224	0.00582289	0.00213482	0.00586069	0.283947	0.206639	0.49516
s	0.00473874	0.00789999	9.87419e-05	0.00925295	0.047554	0.0217007	0.799013	0.109742
o	0.00842313	0.0091074	0.00120689	0.0370318	0.0337848	0.270689	0.605403	0.0343545
n	2.27302e-05	2.37083e-05	0.00043754	0.00016204	0.00149161	0.0175778	0.856891	0.123393
t	0.00109273	0.00185856	0.000463401	0.00215814	0.00377642	0.0675768	0.542709	0.380365
a	0.000159414	9.48812e-05	0.00138504	0.000554787	0.00217053	0.324134	0.280797	0.390704
</S>	9.56037e-06	8.71433e-06	0.000131387	3.13712e-05	0.000188671	0.0263193	0.609267	0.364044
